dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000065,16.083330,0.000200,0.020000,1.000000,50.000000,0.000010
0.020000,0.000754,16.083330,0.000889,0.034455,0.722740,-13.862976,0.000112
0.020000,0.002132,16.083330,0.002267,0.068917,1.723107,50.018327,0.000317
0.020000,0.004200,16.083331,0.004335,0.103394,1.723842,0.036728,0.000623
0.020000,0.006958,16.083334,0.007093,0.137893,1.724940,0.054916,0.001031
0.020000,0.010406,16.083338,0.010542,0.172421,1.726403,0.073156,0.001540
0.020000,0.014546,16.083346,0.014681,0.206985,1.728226,0.091158,0.002150
0.020000,0.019378,16.083358,0.019513,0.241593,1.730406,0.109013,0.002859
0.020000,0.024903,16.083376,0.025038,0.276252,1.732942,0.126758,0.003667
0.020000,0.031122,16.083401,0.031258,0.310969,1.735825,0.144179,0.004572
0.020000,0.038037,16.083436,0.038173,0.345750,1.739054,0.161420,0.005573
0.020000,0.045649,16.083483,0.045785,0.380602,1.742620,0.178322,0.006670
0.020000,0.053959,16.083543,0.054095,0.415532,1.746520,0.194982,0.007860
0.020000,0.062970,16.083620,0.063106,0.450547,1.750744,0.211229,0.009142
0.020000,0.072683,16.083716,0.072819,0.485653,1.755288,0.227174,0.010515
0.020000,0.083099,16.083833,0.083236,0.520856,1.760141,0.242670,0.011976
0.020000,0.094221,16.083975,0.094360,0.556162,1.765297,0.257806,0.013524
0.020000,0.106052,16.084144,0.106191,0.591577,1.770746,0.272428,0.015156
0.020000,0.118592,16.084345,0.118733,0.627106,1.776479,0.286650,0.016871
0.020000,0.131845,16.084581,0.131988,0.662756,1.782486,0.300381,0.018667
0.020000,0.145813,16.084854,0.145959,0.698531,1.788757,0.313548,0.020540
0.020000,0.160498,16.085171,0.160648,0.734437,1.795282,0.326253,0.022489
0.020000,0.175904,16.085533,0.176057,0.770478,1.802050,0.338376,0.024511
0.020000,0.192032,16.085945,0.192190,0.806659,1.809049,0.349967,0.026603
0.020000,0.208885,16.086412,0.209050,0.842984,1.816269,0.360961,0.028763
0.020000,0.226466,16.086937,0.226639,0.879458,1.823697,0.371401,0.030989
0.020000,0.244778,16.087526,0.244961,0.916085,1.831321,0.381235,0.033276
0.020000,0.263824,16.088182,0.264018,0.952867,1.839131,0.390484,0.035623
0.020000,0.283607,16.088911,0.283815,0.989810,1.847113,0.399089,0.038027
0.020000,0.304130,16.089717,0.304353,1.026915,1.855255,0.407136,0.040484
0.020000,0.325395,16.090605,0.325637,1.064186,1.863547,0.414563,0.042991
0.020000,0.347406,16.091580,0.347669,1.101625,1.871974,0.421367,0.045546
0.020000,0.370165,16.092647,0.370454,1.139236,1.880526,0.427581,0.048145
0.020000,0.393677,16.093812,0.393994,1.177019,1.889189,0.433182,0.050784
0.020000,0.417944,16.095078,0.418294,1.214978,1.897954,0.438224,0.053462
0.020000,0.442968,16.096451,0.443356,1.253115,1.906808,0.442695,0.056173
0.020000,0.468754,16.097936,0.469185,1.291429,1.915738,0.446514,0.058916
0.020000,0.495304,16.099540,0.495783,1.329924,1.924737,0.449930,0.061687
0.020000,0.522622,16.101265,0.523155,1.368600,1.933790,0.452686,0.064482
0.020000,0.550710,16.103119,0.551304,1.407458,1.942890,0.454987,0.067298
0.020000,0.579572,16.105105,0.580234,1.446498,1.952026,0.456801,0.070132
0.020000,0.609210,16.107230,0.609949,1.485722,1.961188,0.458101,0.072980
0.020000,0.639628,16.109498,0.640451,1.525129,1.970369,0.459034,0.075839
0.020000,0.670829,16.111914,0.671746,1.564720,1.979558,0.459484,0.078706
0.020000,0.702816,16.114483,0.703836,1.604495,1.988750,0.459575,0.081577
0.020000,0.735592,16.117210,0.736725,1.644454,1.997936,0.459315,0.084448
0.020000,0.769160,16.120100,0.770417,1.684596,2.007111,0.458715,0.087317
0.020000,0.803522,16.123158,0.804915,1.724922,2.016268,0.457854,0.090180
0.020000,0.838683,16.126388,0.840224,1.765430,2.025401,0.456693,0.093034
0.020000,0.874644,16.129795,0.876346,1.806120,2.034509,0.455368,0.095875
0.020000,0.911409,16.133384,0.913286,1.846992,2.043585,0.453792,0.098700
0.020000,0.948981,16.137158,0.951047,1.888044,2.052627,0.452131,0.101505
0.020000,0.987362,16.141121,0.989632,1.929277,2.061635,0.450365,0.104288
0.020000,1.026556,16.145279,1.029046,1.970689,2.070604,0.448485,0.107044
0.020000,1.066566,16.149633,1.069292,2.012280,2.079536,0.446609,0.109771
0.020000,1.107393,16.154189,1.110373,2.054048,2.088432,0.444774,0.112466
0.020000,1.149042,16.158949,1.152292,2.095994,2.097291,0.442931,0.115124
0.020000,1.191515,16.163917,1.195055,2.138116,2.106116,0.441286,0.117744
0.020000,1.234814,16.169096,1.238663,2.180415,2.114910,0.439689,0.120321
0.020000,1.278944,16.174489,1.283121,2.222888,2.123677,0.438356,0.122852
0.020000,1.323906,16.180097,1.328432,2.265537,2.132421,0.437206,0.125334
0.020000,1.369704,16.185925,1.374599,2.308360,2.141149,0.436370,0.127765
0.020000,1.416341,16.191973,1.421626,2.351357,2.149865,0.435831,0.130140
0.020000,1.463819,16.198243,1.469517,2.394529,2.158579,0.435684,0.132456
0.020000,1.512142,16.204737,1.518274,2.437874,2.167298,0.435958,0.134711
0.020000,1.561313,16.211457,1.567902,2.481395,2.176032,0.436673,0.136900
0.020000,1.611335,16.218402,1.618404,2.525091,2.184790,0.437931,0.139022
0.020000,1.662211,16.225575,1.669783,2.568963,2.193585,0.439753,0.141072
0.020000,1.713945,16.232974,1.722043,2.613011,2.202429,0.442174,0.143047
0.020000,1.766540,16.240601,1.775188,2.657238,2.211335,0.445288,0.144944
0.020000,1.819999,16.248454,1.829221,2.701644,2.220317,0.449126,0.146760
0.020000,1.874326,16.256534,1.884145,2.746232,2.229392,0.453735,0.148491
0.020000,1.929525,16.264838,1.939966,2.791004,2.238576,0.459203,0.150134
0.020000,1.985599,16.273365,1.996685,2.835961,2.247887,0.465567,0.151685
0.020000,2.042553,16.282114,2.054307,2.881108,2.257345,0.472906,0.153142
0.020000,2.100391,16.291082,2.112836,2.926448,2.266971,0.481278,0.154500
0.020000,2.159117,16.300267,2.172276,2.971983,2.276786,0.490758,0.155755
0.020000,2.218735,16.309664,2.232630,3.017720,2.286815,0.501428,0.156905
0.020000,2.279251,16.319271,2.293903,3.063661,2.297082,0.513364,0.157945
0.020000,2.340668,16.329083,2.356099,3.109814,2.307615,0.526642,0.158872
0.020000,2.402993,16.339095,2.419223,3.156182,2.318442,0.541360,0.159681
0.020000,2.466230,16.349303,2.483279,3.202774,2.329594,0.557627,0.160368
0.020000,2.530385,16.359699,2.548271,3.249596,2.341105,0.575525,0.160929
0.020000,2.595463,16.370279,2.614204,3.296657,2.353009,0.595183,0.161360
