dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000085,13.916670,0.000200,0.020000,1.000000,50.000000,0.000010
0.020000,0.000996,13.916670,0.001111,0.045545,1.277260,13.863006,0.000112
0.020000,0.002818,13.916670,0.002933,0.091083,2.276892,49.981593,0.000317
0.020000,0.005550,13.916672,0.005665,0.136606,2.276159,-0.036640,0.000623
0.020000,0.009192,13.916675,0.009307,0.182107,2.275059,-0.055006,0.001031
0.020000,0.013744,13.916681,0.013858,0.227579,2.273597,-0.073079,0.001540
0.020000,0.019204,13.916691,0.019319,0.273015,2.271774,-0.091167,0.002150
0.020000,0.025572,13.916707,0.025687,0.318407,2.269593,-0.109080,0.002859
0.020000,0.032847,13.916730,0.032962,0.363748,2.267059,-0.126694,0.003667
0.020000,0.041028,13.916764,0.041142,0.409031,2.264174,-0.144219,0.004572
0.020000,0.050113,13.916810,0.050227,0.454250,2.260946,-0.161398,0.005573
0.020000,0.060100,13.916871,0.060215,0.499398,2.257379,-0.178370,0.006670
0.020000,0.070989,13.916950,0.071105,0.544467,2.253480,-0.194940,0.007860
0.020000,0.082778,13.917051,0.082894,0.589453,2.249255,-0.211269,0.009142
0.020000,0.095464,13.917175,0.095581,0.634347,2.244712,-0.227147,0.010515
0.020000,0.109046,13.917328,0.109164,0.679144,2.239858,-0.242706,0.011976
0.020000,0.123522,13.917513,0.123640,0.723838,2.234702,-0.257770,0.013524
0.020000,0.138889,13.917733,0.139009,0.768423,2.229253,-0.272486,0.015156
0.020000,0.155145,13.917993,0.155267,0.812893,2.223519,-0.286653,0.016871
0.020000,0.172287,13.918298,0.172412,0.857244,2.217513,-0.300338,0.018667
0.020000,0.190313,13.918652,0.190441,0.901468,2.211241,-0.313591,0.020540
0.020000,0.209220,13.919058,0.209352,0.945563,2.204716,-0.326237,0.022489
0.020000,0.229005,13.919523,0.229143,0.989522,2.197948,-0.338393,0.024511
0.020000,0.249665,13.920052,0.249809,1.033341,2.190949,-0.349959,0.026603
0.020000,0.271197,13.920648,0.271350,1.077015,2.183729,-0.360987,0.028763
0.020000,0.293597,13.921317,0.293761,1.120541,2.176301,-0.371398,0.030989
0.020000,0.316864,13.922065,0.317039,1.163915,2.168677,-0.381238,0.033276
0.020000,0.340992,13.922897,0.341182,1.207132,2.160867,-0.390462,0.035623
0.020000,0.365979,13.923817,0.366185,1.250190,2.152885,-0.399132,0.038027
0.020000,0.391821,13.924832,0.392047,1.293085,2.144742,-0.407134,0.040484
0.020000,0.418514,13.925947,0.418763,1.335814,2.136451,-0.414544,0.042991
0.020000,0.446054,13.927167,0.446331,1.378374,2.128024,-0.421369,0.045546
0.020000,0.474438,13.928498,0.474746,1.420764,2.119472,-0.427578,0.048145
0.020000,0.503662,13.929945,0.504006,1.462980,2.110808,-0.433210,0.050784
0.020000,0.533722,13.931513,0.534106,1.505021,2.102044,-0.438218,0.053462
0.020000,0.564613,13.933208,0.565044,1.546885,2.093191,-0.442642,0.056173
0.020000,0.596332,13.935036,0.596815,1.588570,2.084259,-0.446608,0.058916
0.020000,0.628874,13.937001,0.629417,1.630075,2.075262,-0.449846,0.061687
0.020000,0.662235,13.939108,0.662845,1.671399,2.066208,-0.452709,0.064482
0.020000,0.696412,13.941363,0.697095,1.712541,2.057108,-0.454989,0.067298
0.020000,0.731399,13.943771,0.732165,1.753501,2.047972,-0.456773,0.070132
0.020000,0.767193,13.946337,0.768051,1.794277,2.038809,-0.458145,0.072980
0.020000,0.803789,13.949066,0.804748,1.834870,2.029630,-0.458984,0.075839
0.020000,0.841182,13.951961,0.842254,1.875278,2.020440,-0.459489,0.078706
0.020000,0.879369,13.955028,0.880564,1.915503,2.011248,-0.459576,0.081577
0.020000,0.918346,13.958271,0.919675,1.955545,2.002062,-0.459302,0.084448
0.020000,0.958106,13.961695,0.959583,1.995402,1.992888,-0.458722,0.087317
0.020000,0.998648,13.965302,1.000285,2.035077,1.983732,-0.457819,0.090180
0.020000,1.039965,13.969098,1.041776,2.074569,1.974597,-0.456712,0.093034
0.020000,1.082054,13.973086,1.084053,2.113879,1.965491,-0.455322,0.095875
0.020000,1.124911,13.977269,1.127114,2.153007,1.956414,-0.453829,0.098700
0.020000,1.168530,13.981650,1.170953,2.191954,1.947372,-0.452123,0.101505
0.020000,1.212909,13.986233,1.215567,2.230722,1.938366,-0.450312,0.104288
0.020000,1.258042,13.991020,1.260953,2.269310,1.929396,-0.448492,0.107044
0.020000,1.303925,13.996014,1.307108,2.307719,1.920463,-0.446616,0.109771
0.020000,1.350555,14.001217,1.354027,2.345950,1.911569,-0.444729,0.112466
0.020000,1.397927,14.006631,1.401707,2.384005,1.902709,-0.442978,0.115124
0.020000,1.446036,14.012259,1.450144,2.421882,1.893885,-0.441219,0.117744
0.020000,1.494880,14.018101,1.499336,2.459584,1.885091,-0.439717,0.120321
0.020000,1.544453,14.024158,1.549278,2.497111,1.876324,-0.438319,0.122852
0.020000,1.594753,14.030433,1.599968,2.534462,1.867580,-0.437213,0.125334
0.020000,1.645774,14.036925,1.651400,2.571639,1.858853,-0.436347,0.127765
0.020000,1.697514,14.043634,1.703573,2.608642,1.850136,-0.435836,0.130140
0.020000,1.749968,14.050562,1.756483,2.645470,1.841423,-0.435675,0.132456
0.020000,1.803132,14.057706,1.810125,2.682124,1.832704,-0.435931,0.134711
0.020000,1.857004,14.065068,1.864497,2.718604,1.823971,-0.436682,0.136900
0.020000,1.911578,14.072646,1.919595,2.754908,1.815212,-0.437922,0.139022
0.020000,1.966852,14.080438,1.975416,2.791036,1.806417,-0.439732,0.141072
0.020000,2.022822,14.088444,2.031956,2.826988,1.797574,-0.442182,0.143047
0.020000,2.079485,14.096660,2.089211,2.862761,1.788668,-0.445281,0.144944
0.020000,2.136837,14.105086,2.147178,2.898355,1.779686,-0.449112,0.146760
0.020000,2.194874,14.113717,2.205854,2.933767,1.770611,-0.453741,0.148491
0.020000,2.253593,14.122550,2.265233,2.968996,1.761427,-0.459196,0.150134
0.020000,2.312991,14.131583,2.325314,3.004038,1.752116,-0.465567,0.151685
0.020000,2.373064,14.140811,2.386092,3.038891,1.742658,-0.472902,0.153142
0.020000,2.433809,14.150230,2.447563,3.073552,1.733032,-0.481278,0.154500
0.020000,2.495223,14.159835,2.509723,3.108016,1.723217,-0.490766,0.155755
0.020000,2.557302,14.169620,2.572569,3.142280,1.713188,-0.501432,0.156905
0.020000,2.620043,14.179580,2.636096,3.176338,1.702921,-0.513362,0.157945
0.020000,2.683443,14.189709,2.700299,3.210186,1.692388,-0.526649,0.158872
0.020000,2.747498,14.199999,2.765176,3.243817,1.681561,-0.541377,0.159681
0.020000,2.812205,14.210444,2.830720,3.277226,1.670408,-0.557633,0.160368
0.020000,2.877560,14.221035,2.896928,3.310403,1.658897,-0.575541,0.160929
0.020000,2.943561,14.231765,2.963795,3.343343,1.646993,-0.595197,0.161360
0.020000,3.010203,14.242623,3.031316,3.376037,1.634659,-0.616734,0.161656
0.020000,3.077482,14.253601,3.099485,3.408474,1.621853,-0.640264,0.161813
0.020000,3.145396,14.264689,3.168298,3.440644,1.608534,-0.665949,0.161824
0.020000,3.213940,14.275875,3.237749,3.472537,1.594656,-0.693926,0.161687
0.020000,3.283110,14.287148,3.307832,3.504141,1.580169,-0.724361,0.161394
0.020000,3.352903,14.298495,3.378541,3.535441,1.565020,-0.757440,0.160941
0.020000,3.423313,14.309905,3.449869,3.566424,1.549153,-0.793341,0.160321
0.020000,3.494336,14.321362,3.521811,3.597074,1.532507,-0.832295,0.159528
0.020000,3.565968,14.332853,3.594358,3.627375,1.515017,-0.874508,0.158557
0.020000,3.638203,14.344361,3.667504,3.657307,1.496612,-0.920239,0.157399
0.020000,3.711036,14.355871,3.741241,3.686851,1.477217,-0.969763,0.156049
0.020000,3.784461,14.367366,3.815561,3.715986,1.456749,-1.023365,0.154498
0.020000,3.858473,14.378827,3.890455,3.744689,1.435122,-1.081359,0.152738
0.020000,3.933064,14.390235,3.965914,3.772934,1.412240,-1.144094,0.150762
0.020000,4.008228,14.401571,4.041927,3.800694,1.388001,-1.211971,0.148559
0.020000,4.083957,14.412811,4.118486,3.827939,1.362294,-1.285343,0.146121
0.020000,4.160053,14.423908,4.195387,3.845018,0.853929,-25.418278,0.143444
0.020000,4.236128,14.434784,4.272235,3.842429,-0.129462,-49.169540,0.140535
0.020000,4.311988,14.445396,4.348834,3.829952,-0.623818,-24.717789,0.137396
0.020000,4.387631,14.455727,4.425179,3.817221,-0.636583,-0.638239,0.134022
0.020000,4.463051,14.465759,4.501263,3.804213,-0.650377,-0.689701,0.130407
