dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000075,15.000000,0.000200,0.020000,1.000000,50.000000,0.000010
0.020000,0.000875,15.000000,0.001000,0.060000,2.000000,50.000000,0.000112
0.020000,0.002475,15.000000,0.002600,0.100000,2.000000,0.000000,0.000317
0.020000,0.004875,15.000002,0.005000,0.140000,2.000000,0.000000,0.000623
0.020000,0.008075,15.000004,0.008200,0.180000,2.000000,-0.000000,0.001031
0.020000,0.012075,15.000009,0.012200,0.220000,2.000000,0.000000,0.001540
0.020000,0.016875,15.000018,0.017000,0.260000,2.000000,0.000000,0.002150
0.020000,0.022475,15.000032,0.022600,0.300000,2.000000,-0.000000,0.002859
0.020000,0.028875,15.000053,0.029000,0.340000,2.000000,0.000000,0.003667
0.020000,0.036075,15.000083,0.036200,0.380000,2.000000,-0.000000,0.004572
0.020000,0.044075,15.000123,0.044200,0.420000,2.000000,0.000000,0.005573
0.020000,0.052875,15.000177,0.053000,0.460000,2.000000,0.000000,0.006670
0.020000,0.062474,15.000247,0.062600,0.500000,2.000000,-0.000000,0.007860
0.020000,0.072874,15.000335,0.073000,0.540000,2.000000,0.000000,0.009142
0.020000,0.084073,15.000445,0.084200,0.580000,2.000000,-0.000000,0.010515
0.020000,0.096073,15.000580,0.096200,0.620000,2.000000,0.000000,0.011976
0.020000,0.108872,15.000744,0.109000,0.660000,2.000000,0.000000,0.013524
0.020000,0.122470,15.000939,0.122600,0.700000,2.000000,-0.000000,0.015156
0.020000,0.136868,15.001169,0.137000,0.740000,2.000000,0.000000,0.016871
0.020000,0.152066,15.001439,0.152200,0.780000,2.000000,0.000000,0.018667
0.020000,0.168063,15.001753,0.168200,0.820000,2.000000,-0.000000,0.020540
0.020000,0.184859,15.002114,0.185000,0.860000,2.000000,0.000000,0.022489
0.020000,0.202454,15.002528,0.202600,0.900000,2.000000,0.000000,0.024511
0.020000,0.220848,15.002998,0.221000,0.940000,2.000000,-0.000000,0.026603
0.020000,0.240041,15.003530,0.240200,0.980000,2.000000,0.000000,0.028763
0.020000,0.260032,15.004127,0.260200,1.020000,2.000000,0.000000,0.030989
0.020000,0.280821,15.004795,0.281000,1.060000,2.000000,0.000000,0.033276
0.020000,0.302408,15.005540,0.302600,1.100000,2.000000,0.000000,0.035623
0.020000,0.324793,15.006364,0.325000,1.140000,2.000000,-0.000000,0.038027
0.020000,0.347975,15.007275,0.348200,1.180000,2.000000,0.000000,0.040484
0.020000,0.371954,15.008276,0.372200,1.220000,2.000000,0.000000,0.042991
0.020000,0.396730,15.009374,0.397000,1.260000,2.000000,0.000000,0.045546
0.020000,0.422302,15.010573,0.422600,1.300000,2.000000,0.000000,0.048145
0.020000,0.448670,15.011878,0.449000,1.340000,2.000000,0.000000,0.050784
0.020000,0.475833,15.013295,0.476200,1.380000,2.000000,-0.000000,0.053462
0.020000,0.503791,15.014830,0.504200,1.420000,2.000000,0.000000,0.056173
0.020000,0.532543,15.016486,0.533000,1.460000,2.000000,0.000000,0.058916
0.020000,0.562089,15.018270,0.562600,1.500000,2.000000,0.000000,0.061687
0.020000,0.592429,15.020187,0.593000,1.540000,2.000000,0.000000,0.064482
0.020000,0.623561,15.022241,0.624200,1.580000,2.000000,0.000000,0.067298
0.020000,0.655485,15.024438,0.656200,1.620000,2.000000,0.000000,0.070132
0.020000,0.688201,15.026784,0.689000,1.660000,2.000000,-0.000000,0.072980
0.020000,0.721708,15.029282,0.722600,1.700000,2.000000,0.000000,0.075839
0.020000,0.756006,15.031937,0.757000,1.740000,2.000000,0.000000,0.078706
0.020000,0.791093,15.034755,0.792200,1.780000,2.000000,0.000000,0.081577
0.020000,0.826969,15.037741,0.828200,1.820000,2.000000,0.000000,0.084448
0.020000,0.863633,15.040897,0.865000,1.860000,2.000000,0.000000,0.087317
0.020000,0.901085,15.044230,0.902600,1.900000,2.000000,-0.000000,0.090180
0.020000,0.939324,15.047743,0.941000,1.940000,2.000000,0.000000,0.093034
0.020000,0.978349,15.051441,0.980200,1.980000,2.000000,0.000000,0.095875
0.020000,1.018160,15.055326,1.020200,2.020000,2.000000,0.000000,0.098700
0.020000,1.058756,15.059404,1.061000,2.060000,2.000000,0.000000,0.101505
0.020000,1.100136,15.063677,1.102600,2.100000,2.000000,0.000000,0.104288
0.020000,1.142299,15.068149,1.145000,2.140000,2.000000,0.000000,0.107044
0.020000,1.185245,15.072824,1.188200,2.180000,2.000000,0.000000,0.109771
0.020000,1.228974,15.077703,1.232200,2.220000,2.000000,0.000000,0.112466
0.020000,1.273484,15.082790,1.277000,2.260000,2.000000,-0.000000,0.115124
0.020000,1.318775,15.088088,1.322600,2.300000,2.000000,0.000000,0.117744
0.020000,1.364847,15.093599,1.369000,2.340000,2.000000,0.000000,0.120321
0.020000,1.411699,15.099324,1.416200,2.380000,2.000000,0.000000,0.122852
0.020000,1.459329,15.105265,1.464200,2.420000,2.000000,0.000000,0.125334
0.020000,1.507739,15.111425,1.513000,2.460000,2.000000,0.000000,0.127765
0.020000,1.556927,15.117803,1.562600,2.500000,2.000000,0.000000,0.130140
0.020000,1.606893,15.124402,1.613000,2.540000,2.000000,0.000000,0.132456
0.020000,1.657637,15.131222,1.664200,2.580000,2.000000,0.000000,0.134711
0.020000,1.709158,15.138262,1.716200,2.620000,2.000000,0.000000,0.136900
0.020000,1.761457,15.145524,1.769000,2.660000,2.000000,0.000000,0.139022
0.020000,1.814532,15.153006,1.822600,2.700000,2.000000,0.000000,0.141072
0.020000,1.868384,15.160709,1.877000,2.740000,2.000000,0.000000,0.143047
0.020000,1.923012,15.168631,1.932200,2.780000,2.000000,-0.000000,0.144944
0.020000,1.978418,15.176770,1.988200,2.820000,2.000000,0.000000,0.146760
0.020000,2.034600,15.185125,2.045000,2.860000,2.000000,0.000000,0.148491
0.020000,2.091559,15.193694,2.102600,2.900000,2.000000,0.000000,0.150134
0.020000,2.149295,15.202474,2.161000,2.940000,2.000000,0.000000,0.151685
0.020000,2.207809,15.211463,2.220200,2.980000,2.000000,0.000000,0.153142
0.020000,2.267100,15.220656,2.280200,3.020000,2.000000,0.000000,0.154500
0.020000,2.327170,15.230051,2.341000,3.060000,2.000000,0.000000,0.155755
0.020000,2.388019,15.239642,2.402600,3.100000,2.000000,0.000000,0.156905
0.020000,2.449647,15.249426,2.465000,3.140000,2.000000,0.000000,0.157945
0.020000,2.512055,15.259396,2.528200,3.180000,2.000000,0.000000,0.158872
0.020000,2.575245,15.269547,2.592200,3.220000,2.000000,0.000000,0.159681
0.020000,2.639217,15.279873,2.657000,3.260000,2.000000,-0.000000,0.160368
0.020000,2.703972,15.290367,2.722600,3.300000,2.000000,0.000000,0.160929
0.020000,2.769512,15.301022,2.789000,3.340000,2.000000,0.000000,0.161360
0.020000,2.835837,15.311829,2.856200,3.380000,2.000000,0.000000,0.161656
0.020000,2.902950,15.322780,2.924200,3.420000,2.000000,0.000000,0.161813
0.020000,2.970851,15.333865,2.993000,3.460000,2.000000,0.000000,0.161824
0.020000,3.039542,15.345075,3.062600,3.500000,2.000000,0.000000,0.161687
0.020000,3.109025,15.356399,3.133000,3.540000,2.000000,0.000000,0.161394
0.020000,3.179303,15.367826,3.204200,3.580000,2.000000,0.000000,0.160941
0.020000,3.250376,15.379342,3.276200,3.620000,2.000000,0.000000,0.160321
0.020000,3.322246,15.390936,3.349000,3.660000,2.000000,0.000000,0.159528
0.020000,3.394917,15.402593,3.422600,3.700000,2.000000,0.000000,0.158557
0.020000,3.468391,15.414299,3.497000,3.740000,2.000000,0.000000,0.157399
0.020000,3.542669,15.426038,3.572200,3.780000,2.000000,-0.000000,0.156049
0.020000,3.617754,15.437792,3.648200,3.820000,2.000000,0.000000,0.154498
0.020000,3.693650,15.449545,3.725000,3.860000,2.000000,0.000000,0.152738
0.020000,3.770358,15.461277,3.802600,3.900000,2.000000,0.000000,0.150762
0.020000,3.847881,15.472968,3.881000,3.940000,2.000000,0.000000,0.148559
0.020000,3.926223,15.484597,3.960200,3.980000,2.000000,0.000000,0.146121
0.020000,4.005188,15.496111,4.040000,4.000000,1.000000,-50.000000,0.143444
0.020000,4.084382,15.507434,4.120000,4.000000,0.000000,-50.000000,0.140535
0.020000,4.163611,15.518517,4.200000,4.000000,0.000000,0.000000,0.137396
0.020000,4.242875,15.529342,4.280000,4.000000,0.000000,0.000000,0.134022
0.020000,4.322177,15.539890,4.360000,4.000000,0.000000,0.000000,0.130407
