dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000377,13.205500,0.000619,0.024779,0.495577,9.911539,0.000080
0.050000,0.002353,13.205501,0.002595,0.039508,0.294580,-4.019948,0.000496
0.050000,0.006797,13.205505,0.007039,0.088881,0.987466,13.857727,0.001435
0.050000,0.014695,13.205523,0.014938,0.157972,1.381813,7.886938,0.003105
0.050000,0.027032,13.205577,0.027274,0.246731,1.775192,7.867592,0.005718
0.050000,0.044785,13.205712,0.045028,0.355083,2.167022,7.836599,0.009490
0.050000,0.068929,13.206003,0.069174,0.482914,2.556630,7.792151,0.014640
0.050000,0.100428,13.206571,0.100678,0.630079,2.943309,7.733586,0.021394
0.050000,0.139744,13.207579,0.140007,0.786575,3.129908,3.731985,0.029879
0.050000,0.186838,13.209227,0.187129,0.942455,3.117596,-0.246258,0.040120
0.050000,0.241663,13.211758,0.242013,1.097668,3.104269,-0.266528,0.052146
0.050000,0.304164,13.215453,0.304623,1.252210,3.090846,-0.268461,0.065984
0.050000,0.374280,13.220638,0.374930,1.406135,3.078493,-0.247061,0.081659
0.050000,0.451939,13.227679,0.452908,1.559568,3.068657,-0.196722,0.099192
0.050000,0.537068,13.236985,0.538545,1.712722,3.063089,-0.111366,0.118594
0.050000,0.629586,13.249007,0.631840,1.865915,3.063845,0.015134,0.139864
0.050000,0.729410,13.264238,0.732819,2.019578,3.073265,0.188395,0.162982
0.050000,0.836455,13.283214,0.841533,2.174273,3.093896,0.412622,0.187906
0.050000,0.950637,13.306508,0.958067,2.330691,3.128372,0.689509,0.214563
0.050000,1.071878,13.334733,1.082550,2.489652,3.179220,1.016961,0.242848
0.050000,1.200101,13.368537,1.215154,2.652083,3.248611,1.387825,0.272617
0.050000,1.335237,13.408599,1.356103,2.818986,3.338062,1.789017,0.303686
0.050000,1.477221,13.455625,1.505673,2.991392,3.448128,2.201331,0.335824
0.050000,1.625995,13.510337,1.664188,3.170300,3.578147,2.600367,0.368764
0.050000,1.781502,13.573462,1.832018,3.356604,3.726085,2.958768,0.402198
0.050000,1.943683,13.645723,2.009570,3.551032,3.888567,3.249636,0.435789
0.050000,2.112483,13.727819,2.197274,3.754087,4.061099,3.450635,0.469179
0.050000,2.287840,13.820409,2.395575,3.966012,4.238493,3.547878,0.502002
0.050000,2.469697,13.924095,2.604914,4.186783,4.415426,3.538673,0.533889
0.050000,2.658005,14.039403,2.825721,4.416135,4.587043,3.432338,0.564486
0.050000,2.852729,14.166770,3.058401,4.653610,4.749489,3.248922,0.593456
0.050000,3.053871,14.306533,3.303332,4.898625,4.900299,3.016188,0.620485
0.050000,3.261476,14.458916,3.560860,5.150554,5.038585,2.765720,0.645289
0.050000,3.475213,14.623682,3.830733,5.397454,4.938008,-2.011529,0.667560
0.050000,3.694394,14.800054,4.112065,5.626647,4.583842,-7.083325,0.687007
0.050000,3.918434,14.987049,4.403889,5.836474,4.196551,-7.745825,0.703404
0.050000,4.146851,15.183500,4.705165,6.025517,3.780864,-8.313740,0.716587
0.050000,4.379263,15.388088,5.014795,6.192612,3.341903,-8.779222,0.726436
0.050000,4.615375,15.599369,5.331637,6.336835,2.884450,-9.149055,0.732874
0.050000,4.854966,15.815801,5.654510,6.457456,2.412423,-9.440530,0.735851
0.050000,5.097730,16.035641,5.982022,6.550236,1.855602,-11.136427,0.735343
0.050000,5.343372,16.257085,6.312745,6.614461,1.284505,-11.421934,0.731358
0.050000,5.591720,16.478409,6.645402,6.653147,0.773704,-10.216028,0.723926
0.050000,5.842549,16.697869,6.978686,6.665667,0.250404,-10.466009,0.713104
0.050000,6.095548,16.913714,7.311248,6.651243,-0.288466,-10.777402,0.698983
0.050000,6.350274,17.124209,7.641692,6.608889,-0.847094,-11.172557,0.681692
0.050000,6.606112,17.327655,7.968561,6.537369,-1.430398,-11.666066,0.661414
0.050000,6.862229,17.522419,8.290320,6.435197,-2.043441,-12.260872,0.638392
0.050000,7.117708,17.707091,8.605555,6.304695,-2.610033,-11.331840,0.612924
0.050000,7.371950,17.880782,8.913464,6.158173,-2.930435,-6.408036,0.585310
0.050000,7.624586,18.042993,9.213692,6.004566,-3.072155,-2.834401,0.555844
