dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000569,10.794500,0.000619,0.024779,0.495577,9.911539,0.000080
0.050000,0.003549,10.794501,0.003600,0.059608,0.696574,4.019947,0.000496
0.050000,0.010256,10.794507,0.010306,0.134129,1.490419,15.876890,0.001435
0.050000,0.022180,10.794534,0.022231,0.238490,2.087225,11.936123,0.003105
0.050000,0.040817,10.794617,0.040868,0.372740,2.684998,11.955454,0.005718
0.050000,0.067664,10.794821,0.067716,0.536955,3.284317,11.986387,0.009490
0.050000,0.104224,10.795262,0.104278,0.731248,3.885854,12.030741,0.014640
0.050000,0.152004,10.796123,0.152066,0.955764,4.490312,12.089157,0.021394
0.050000,0.211771,10.797655,0.211852,1.195727,4.799264,6.179040,0.029879
0.050000,0.283542,10.800168,0.283668,1.436304,4.811547,0.245655,0.040120
0.050000,0.367330,10.804035,0.367545,1.677546,4.824836,0.265778,0.052146
0.050000,0.463136,10.809700,0.463518,1.919457,4.838213,0.267555,0.065984
0.050000,0.570941,10.817672,0.571617,2.161982,4.850514,0.246009,0.081659
0.050000,0.690699,10.828530,0.691867,2.404997,4.860289,0.195507,0.099192
0.050000,0.822329,10.842920,0.824281,2.648286,4.865790,0.110019,0.118594
0.050000,0.965701,10.861550,0.968858,2.891534,4.864960,-0.016598,0.139864
0.050000,1.120623,10.885189,1.125573,3.134308,4.855464,-0.189918,0.162982
0.050000,1.286834,10.914653,1.294375,3.376045,4.834757,-0.414139,0.187906
0.050000,1.463988,10.950793,1.475178,3.616056,4.800211,-0.690927,0.214563
0.050000,1.651646,10.994478,1.667854,3.853521,4.749304,-1.018144,0.242848
0.050000,1.849270,11.046576,1.872230,4.087515,4.679872,-1.388639,0.272617
0.050000,2.056220,11.107925,2.088082,4.317035,4.590406,-1.789306,0.303686
0.050000,2.271761,11.179306,2.315134,4.541053,4.480359,-2.200950,0.335824
0.050000,2.495071,11.261419,2.553063,4.758573,4.350399,-2.599208,0.368764
0.050000,2.725267,11.354852,2.801498,4.968701,4.202560,-2.956774,0.402198
0.050000,2.961428,11.460061,3.060034,5.170712,4.040218,-3.246834,0.435789
0.050000,3.202627,11.577352,3.328239,5.364105,3.867862,-3.447130,0.469179
0.050000,3.447968,11.706875,3.605671,5.548638,3.690669,-3.543863,0.502002
0.050000,3.696619,11.848623,3.891888,5.724336,3.513949,-3.534396,0.533889
0.050000,3.947845,12.002437,4.186461,5.891463,3.342545,-3.428077,0.564486
0.050000,4.201031,12.168020,4.488985,6.050478,3.180297,-3.244951,0.593456
0.050000,4.455699,12.344952,4.799083,6.201961,3.029660,-3.012743,0.620485
0.050000,4.711521,12.532705,5.116410,6.346537,2.891511,-2.762989,0.645289
0.050000,4.967795,12.730241,5.439978,6.471368,2.496634,-7.897533,0.667560
0.050000,5.223513,12.935995,5.768196,6.564354,1.859722,-12.738237,0.687007
0.050000,5.477912,13.148313,6.099553,6.627147,1.255845,-12.077549,0.703404
0.050000,5.730432,13.365481,6.432611,6.661161,0.680284,-11.511217,0.716587
0.050000,5.980673,13.585754,6.765989,6.667557,0.127933,-11.047016,0.726436
0.050000,6.228354,13.807381,7.098352,6.647259,-0.405974,-10.678147,0.732874
0.050000,6.473273,14.028623,7.428402,6.600992,-0.925341,-10.387332,0.735851
