dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000124,17.500000,0.000199,0.019900,0.995025,49.751244,0.000000
0.020000,0.000920,17.500000,0.000995,0.059701,1.990050,49.751244,0.000000
0.020000,0.002711,17.500000,0.002786,0.119403,2.985075,49.751244,0.000000
0.020000,0.005696,17.500000,0.005771,0.179104,2.985075,0.000000,0.000000
0.020000,0.009875,17.500000,0.009950,0.238806,2.985075,0.000000,0.000000
0.020000,0.015248,17.500000,0.015323,0.298507,2.985075,0.000000,0.000000
0.020000,0.021816,17.500000,0.021891,0.358209,2.985075,-0.000000,0.000000
0.020000,0.029577,17.500000,0.029652,0.417910,2.985075,0.000000,0.000000
0.020000,0.038532,17.500000,0.038607,0.477612,2.985075,-0.000000,0.000000
0.020000,0.048681,17.500000,0.048756,0.537313,2.985075,0.000000,0.000000
0.020000,0.060025,17.500000,0.060100,0.597015,2.985075,0.000000,0.000000
0.020000,0.072562,17.500000,0.072637,0.656716,2.985075,-0.000000,0.000000
0.020000,0.086293,17.500000,0.086368,0.716418,2.985075,0.000000,0.000000
0.020000,0.101219,17.500000,0.101294,0.776119,2.985075,0.000000,0.000000
0.020000,0.117338,17.500000,0.117413,0.835821,2.985075,0.000000,0.000000
0.020000,0.134651,17.500000,0.134726,0.895522,2.985075,-0.000000,0.000000
0.020000,0.153159,17.500000,0.153234,0.955224,2.985075,0.000000,0.000000
0.020000,0.172860,17.500000,0.172935,1.014925,2.985075,0.000000,0.000000
0.020000,0.193756,17.500000,0.193831,1.074627,2.985075,-0.000000,0.000000
0.020000,0.215845,17.500000,0.215920,1.134328,2.985075,0.000000,0.000000
0.020000,0.239129,17.500000,0.239204,1.194030,2.985075,0.000000,0.000000
0.020000,0.263607,17.500000,0.263682,1.253731,2.985075,-0.000000,0.000000
0.020000,0.289278,17.500000,0.289353,1.313433,2.985075,0.000000,0.000000
0.020000,0.316144,17.500000,0.316219,1.373134,2.985075,0.000000,0.000000
0.020000,0.344204,17.500000,0.344279,1.432836,2.985075,-0.000000,0.000000
0.020000,0.373457,17.500000,0.373532,1.492537,2.985075,0.000000,0.000000
0.020000,0.403905,17.500000,0.403980,1.552239,2.985075,0.000000,0.000000
0.020000,0.435547,17.500000,0.435622,1.611940,2.985075,-0.000000,0.000000
0.020000,0.468383,17.500000,0.468458,1.671642,2.985075,0.000000,0.000000
0.020000,0.502413,17.500000,0.502488,1.731343,2.985075,-0.000000,0.000000
0.020000,0.537636,17.500000,0.537711,1.791045,2.985075,0.000000,0.000000
0.020000,0.574054,17.500000,0.574129,1.850746,2.985075,-0.000000,0.000000
0.020000,0.611666,17.500000,0.611741,1.910448,2.985075,0.000000,0.000000
0.020000,0.650472,17.500000,0.650547,1.970149,2.985075,0.000000,0.000000
0.020000,0.690472,17.500000,0.690547,2.029851,2.985075,-0.000000,0.000000
0.020000,0.731666,17.500000,0.731741,2.089552,2.985075,0.000000,0.000000
0.020000,0.774054,17.500000,0.774129,2.149254,2.985075,-0.000000,0.000000
0.020000,0.817636,17.500000,0.817711,2.208955,2.985075,0.000000,0.000000
0.020000,0.862413,17.500000,0.862488,2.268657,2.985075,0.000000,0.000000
0.020000,0.908383,17.500000,0.908458,2.328358,2.985075,0.000000,0.000000
0.020000,0.955547,17.500000,0.955622,2.388060,2.985075,0.000000,0.000000
0.020000,1.003905,17.500000,1.003980,2.447761,2.985075,-0.000000,0.000000
0.020000,1.053457,17.500000,1.053532,2.507463,2.985075,0.000000,0.000000
0.020000,1.104204,17.500000,1.104279,2.567164,2.985075,-0.000000,0.000000
0.020000,1.156144,17.500000,1.156219,2.626866,2.985075,0.000000,0.000000
0.020000,1.209278,17.500000,1.209353,2.686567,2.985075,-0.000000,0.000000
0.020000,1.263607,17.500000,1.263682,2.746269,2.985075,0.000000,0.000000
0.020000,1.319129,17.500000,1.319204,2.805970,2.985075,-0.000000,0.000000
0.020000,1.375845,17.500000,1.375920,2.865672,2.985075,0.000000,0.000000
0.020000,1.433756,17.500000,1.433831,2.925373,2.985075,0.000000,0.000000
0.020000,1.492860,17.500000,1.492935,2.985075,2.985075,-0.000000,0.000000
0.020000,1.553159,17.500000,1.553234,3.044776,2.985075,0.000000,0.000000
0.020000,1.614651,17.500000,1.614726,3.104478,2.985075,-0.000000,0.000000
0.020000,1.677338,17.500000,1.677413,3.164179,2.985075,0.000000,0.000000
0.020000,1.741219,17.500000,1.741294,3.223881,2.985075,0.000000,0.000000
0.020000,1.806293,17.500000,1.806368,3.283582,2.985075,-0.000000,0.000000
0.020000,1.872562,17.500000,1.872637,3.343284,2.985075,0.000000,0.000000
0.020000,1.940025,17.500000,1.940100,3.402985,2.985075,-0.000000,0.000000
0.020000,2.008681,17.500000,2.008756,3.462687,2.985075,0.000000,0.000000
0.020000,2.078532,17.500000,2.078607,3.522388,2.985075,0.000000,0.000000
0.020000,2.149577,17.500000,2.149652,3.582090,2.985075,0.000000,0.000000
0.020000,2.221816,17.500000,2.221891,3.641791,2.985075,0.000000,0.000000
0.020000,2.295248,17.500000,2.295323,3.701493,2.985075,-0.000000,0.000000
0.020000,2.369875,17.500000,2.369950,3.761194,2.985075,0.000000,0.000000
0.020000,2.445696,17.500000,2.445771,3.820896,2.985075,0.000000,0.000000
0.020000,2.522711,17.500000,2.522786,3.880597,2.985075,0.000000,0.000000
0.020000,2.600920,17.500000,2.600995,3.940299,2.985075,0.000000,0.000000
0.020000,2.680124,17.500000,2.680199,3.980100,1.990050,-49.751244,0.000000
0.020000,2.759925,17.500000,2.760000,4.000000,0.995025,-49.751244,0.000000
0.020000,2.839925,17.500000,2.840000,4.000000,0.000000,-49.751244,0.000000
0.020000,2.919925,17.500000,2.920000,4.000000,0.000000,0.000000,0.000000
0.020000,2.999925,17.500000,3.000000,4.000000,0.000000,0.000000,0.000000
0.020000,3.079925,17.500000,3.080000,4.000000,0.000000,0.000000,0.000000
0.020000,3.159925,17.500000,3.160000,4.000000,0.000000,0.000000,0.000000
0.020000,3.239925,17.500000,3.240000,4.000000,0.000000,0.000000,0.000000
0.020000,3.319925,17.500000,3.320000,4.000000,0.000000,0.000000,0.000000
0.020000,3.399925,17.500000,3.400000,4.000000,0.000000,0.000000,0.000000
0.020000,3.479925,17.500000,3.480000,4.000000,0.000000,0.000000,0.000000
0.020000,3.559925,17.500000,3.560000,4.000000,0.000000,0.000000,0.000000
0.020000,3.639925,17.500000,3.640000,4.000000,0.000000,0.000000,0.000000
0.020000,3.719925,17.500000,3.720000,4.000000,0.000000,0.000000,0.000000
0.020000,3.799925,17.500000,3.800000,4.000000,0.000000,0.000000,0.000000
0.020000,3.879925,17.500000,3.880000,4.000000,0.000000,0.000000,0.000000
0.020000,3.959925,17.500000,3.960000,4.000000,0.000000,0.000000,0.000000
0.020000,4.039925,17.500000,4.040000,4.000000,0.000000,0.000000,0.000000
0.020000,4.119925,17.500000,4.120000,4.000000,0.000000,0.000000,0.000000
0.020000,4.199925,17.500000,4.200000,4.000000,0.000000,0.000000,0.000000
0.020000,4.279925,17.500000,4.280000,4.000000,0.000000,0.000000,0.000000
0.020000,4.359925,17.500000,4.360000,4.000000,0.000000,0.000000,0.000000
0.020000,4.439925,17.500000,4.440000,4.000000,0.000000,0.000000,0.000000
0.020000,4.519925,17.500000,4.520000,4.000000,0.000000,0.000000,0.000000
0.020000,4.599925,17.500000,4.600000,4.000000,0.000000,0.000000,0.000000
0.020000,4.679925,17.500000,4.680000,4.000000,0.000000,0.000000,0.000000
0.020000,4.759925,17.500000,4.760000,4.000000,0.000000,0.000000,0.000000
0.020000,4.839925,17.500000,4.840000,4.000000,0.000000,0.000000,0.000000
0.020000,4.919925,17.500000,4.920000,4.000000,0.000000,0.000000,0.000000
0.020000,4.999925,17.500000,5.000000,4.000000,0.000000,0.000000,0.000000
0.020000,5.079925,17.500000,5.080000,4.000000,0.000000,0.000000,0.000000
0.020000,5.159925,17.500000,5.160000,4.000000,0.000000,0.000000,0.000000
0.020000,5.239925,17.500000,5.240000,4.000000,0.000000,0.000000,0.000000
0.020000,5.319925,17.500000,5.320000,4.000000,0.000000,0.000000,0.000000
0.020000,5.399925,17.500000,5.400000,4.000000,0.000000,0.000000,0.000000
0.020000,5.479925,17.500000,5.480000,4.000000,0.000000,0.000000,0.000000
0.020000,5.559925,17.500000,5.560000,4.000000,0.000000,0.000000,0.000000
0.020000,5.639925,17.500000,5.640000,4.000000,0.000000,0.000000,0.000000
0.020000,5.719925,17.500000,5.720000,4.000000,0.000000,0.000000,0.000000
0.020000,5.799925,17.500000,5.800000,4.000000,0.000000,0.000000,0.000000
0.020000,5.879925,17.500000,5.880000,4.000000,0.000000,0.000000,0.000000
0.020000,5.959925,17.500000,5.960000,4.000000,0.000000,0.000000,0.000000
0.020000,6.039925,17.500000,6.040000,4.000000,0.000000,0.000000,0.000000
0.020000,6.119925,17.500000,6.120000,4.000000,0.000000,0.000000,0.000000
0.020000,6.199925,17.500000,6.200000,4.000000,0.000000,0.000000,0.000000
0.020000,6.279925,17.500000,6.280000,4.000000,0.000000,0.000000,0.000000
0.020000,6.359925,17.500000,6.360000,4.000000,0.000000,0.000000,0.000000
0.020000,6.439925,17.500000,6.440000,4.000000,0.000000,0.000000,0.000000
0.020000,6.519925,17.500000,6.520000,4.000000,0.000000,0.000000,0.000000
0.020000,6.599925,17.500000,6.600000,4.000000,0.000000,0.000000,0.000000
0.020000,6.679925,17.500000,6.680000,4.000000,0.000000,0.000000,0.000000
0.020000,6.759925,17.500000,6.760000,4.000000,0.000000,0.000000,0.000000
0.020000,6.839925,17.500000,6.840000,4.000000,0.000000,0.000000,0.000000
0.020000,6.919925,17.500000,6.920000,4.000000,0.000000,0.000000,0.000000
0.020000,6.999925,17.500000,7.000000,4.000000,0.000000,0.000000,0.000000
0.020000,7.079925,17.500000,7.080000,4.000000,0.000000,0.000000,0.000000
0.020000,7.159925,17.500000,7.160000,4.000000,0.000000,0.000000,0.000000
0.020000,7.239925,17.500000,7.240000,4.000000,0.000000,0.000000,0.000000
0.020000,7.319925,17.500000,7.320000,4.000000,0.000000,0.000000,0.000000
0.020000,7.399925,17.500000,7.400000,4.000000,0.000000,0.000000,0.000000
0.020000,7.479925,17.500000,7.480000,4.000000,0.000000,0.000000,0.000000
0.020000,7.559817,17.500037,7.560000,4.000000,0.000000,0.000000,0.001220
0.020000,7.639816,17.500194,7.640000,4.000000,0.000000,0.000000,0.002683
0.020000,7.719816,17.500461,7.720000,4.000000,0.000000,0.000000,0.003955
0.020000,7.799815,17.500822,7.800000,4.000000,0.000000,0.000000,0.005037
0.020000,7.879814,17.501262,7.880000,4.000000,0.000000,0.000000,0.005931
0.020000,7.959812,17.501766,7.960000,4.000000,0.000000,0.000000,0.006638
0.020000,8.039811,17.502319,8.040000,4.000000,0.000000,0.000000,0.007159
0.020000,8.119808,17.502907,8.120000,4.000000,0.000000,0.000000,0.007494
0.020000,8.199806,17.503513,8.200000,4.000000,0.000000,0.000000,0.007644
0.020000,8.279804,17.504125,8.280000,4.000000,0.000000,0.000000,0.007609
0.020000,8.359801,17.504726,8.360000,4.000000,0.000000,0.000000,0.007389
0.020000,8.439799,17.505302,8.440000,4.000000,0.000000,0.000000,0.006984
0.020000,8.519798,17.505838,8.520000,4.000000,0.000000,0.000000,0.006393
0.020000,8.599796,17.506320,8.600000,4.000000,0.000000,0.000000,0.005615
0.020000,8.679795,17.506732,8.680000,4.000000,0.000000,0.000000,0.004650
0.020000,8.759794,17.507059,8.760000,4.000000,0.000000,0.000000,0.003497
0.020000,8.839794,17.507286,8.840000,4.000000,0.000000,0.000000,0.002153
0.020000,8.919794,17.507398,8.920000,4.000000,0.000000,0.000000,0.000617
0.020000,8.999794,17.507380,9.000000,4.000000,0.000000,0.000000,6.282073
0.020000,9.079794,17.507215,9.080000,4.000000,0.000000,0.000000,6.280147
0.020000,9.159793,17.506888,9.160000,4.000000,0.000000,0.000000,6.278023
0.020000,9.239791,17.506384,9.240000,4.000000,0.000000,0.000000,6.275698
0.020000,9.319788,17.505685,9.320000,4.000000,0.000000,0.000000,6.273169
0.020000,9.399783,17.504775,9.400000,4.000000,0.000000,0.000000,6.270432
0.020000,9.479775,17.503639,9.480000,4.000000,0.000000,0.000000,6.267484
0.020000,9.559763,17.502258,9.560000,4.000000,0.000000,0.000000,6.264322
0.020000,9.639746,17.500615,9.640000,4.000000,0.000000,0.000000,6.260940
0.020000,9.719723,17.498693,9.720000,4.000000,0.000000,0.000000,6.257336
0.020000,9.799692,17.496473,9.800000,4.000000,0.000000,0.000000,6.253503
0.020000,9.879652,17.493938,9.880000,4.000000,0.000000,0.000000,6.249437
0.020000,9.959600,17.491068,9.960000,4.000000,0.000000,0.000000,6.245133
0.020000,10.039535,17.487845,10.040000,4.000000,0.000000,0.000000,6.240585
0.020000,10.119454,17.484248,10.120000,4.000000,0.000000,0.000000,6.235787
0.020000,10.199355,17.480257,10.200000,4.000000,0.000000,0.000000,6.230732
0.020000,10.279233,17.475852,10.280000,4.000000,0.000000,0.000000,6.225414
0.020000,10.359087,17.471012,10.360000,4.000000,0.000000,0.000000,6.219825
0.020000,10.438911,17.465714,10.440000,4.000000,0.000000,0.000000,6.213958
0.020000,10.518702,17.459937,10.520000,4.000000,0.000000,0.000000,6.207806
0.020000,10.598455,17.453657,10.600000,4.000000,0.000000,0.000000,6.201359
0.020000,10.678165,17.446851,10.680000,4.000000,0.000000,0.000000,6.194610
0.020000,10.757826,17.439495,10.760000,4.000000,0.000000,0.000000,6.187548
0.020000,10.837431,17.431564,10.840000,4.000000,0.000000,0.000000,6.180165
0.020000,10.916975,17.423032,10.920000,4.000000,0.000000,0.000000,6.172451
0.020000,10.996449,17.413874,11.000000,4.000000,0.000000,0.000000,6.164395
0.020000,11.075845,17.404062,11.080000,4.000000,0.000000,0.000000,6.155987
0.020000,11.155153,17.393568,11.160000,4.000000,0.000000,0.000000,6.147216
0.020000,11.234364,17.382364,11.240000,4.000000,0.000000,0.000000,6.138069
0.020000,11.313467,17.370421,11.320000,4.000000,0.000000,0.000000,6.128536
0.020000,11.392451,17.357708,11.400000,4.000000,0.000000,0.000000,6.118605
0.020000,11.471301,17.344196,11.480000,4.000000,0.000000,0.000000,6.108262
0.020000,11.550004,17.329853,11.560000,4.000000,0.000000,0.000000,6.097496
0.020000,11.628545,17.314646,11.640000,4.000000,0.000000,0.000000,6.086294
0.020000,11.706907,17.298542,11.720000,4.000000,0.000000,0.000000,6.074643
0.020000,11.785072,17.281509,11.800000,4.000000,0.000000,0.000000,6.062529
0.020000,11.863021,17.263511,11.880000,4.000000,0.000000,0.000000,6.049941
0.020000,11.940732,17.244515,11.960000,4.000000,0.000000,0.000000,6.036865
0.020000,12.018184,17.224486,12.040000,4.000000,0.000000,0.000000,6.023289
0.020000,12.095351,17.203387,12.120000,4.000000,0.000000,0.000000,6.009202
0.020000,12.172207,17.181183,12.200000,4.000000,0.000000,0.000000,5.994592
0.020000,12.248724,17.157838,12.280000,4.000000,0.000000,0.000000,5.979449
0.020000,12.324873,17.133317,12.360000,4.000000,0.000000,0.000000,5.963764
0.020000,12.400620,17.107584,12.440000,4.000000,0.000000,0.000000,5.947528
0.020000,12.475932,17.080603,12.520000,4.000000,0.000000,0.000000,5.930735
0.020000,12.550772,17.052340,12.600000,4.000000,0.000000,0.000000,5.913380
0.020000,12.625102,17.022762,12.680000,4.000000,0.000000,0.000000,5.895461
0.020000,12.698882,16.991837,12.760000,4.000000,0.000000,0.000000,5.876977
0.020000,12.772068,16.959532,12.840000,4.000000,0.000000,0.000000,5.857930
0.020000,12.844616,16.925819,12.920000,4.000000,0.000000,0.000000,5.838326
0.020000,12.916479,16.890670,13.000000,4.000000,0.000000,0.000000,5.818174
0.020000,12.987610,16.854061,13.080000,4.000000,0.000000,0.000000,5.797485
0.020000,13.057958,16.815971,13.160000,4.000000,0.000000,0.000000,5.776276
0.020000,13.127473,16.776379,13.240000,4.000000,0.000000,0.000000,5.754566
0.020000,13.196101,16.735272,13.320000,4.000000,0.000000,0.000000,5.732379
0.020000,13.263792,16.692636,13.400000,4.000000,0.000000,0.000000,5.709744
0.020000,13.330490,16.648466,13.480000,4.000000,0.000000,0.000000,5.686692
0.020000,13.396144,16.602757,13.560000,4.000000,0.000000,0.000000,5.663261
0.020000,13.460700,16.555511,13.640000,4.000000,0.000000,0.000000,5.639491
0.020000,13.524108,16.506735,13.720000,4.000000,0.000000,0.000000,5.615425
0.020000,13.586317,16.456439,13.800000,4.000000,0.000000,0.000000,5.591111
0.020000,13.647280,16.404639,13.880000,4.000000,0.000000,0.000000,5.566599
0.020000,13.706951,16.351356,13.960000,4.000000,0.000000,0.000000,5.541940
0.020000,13.765287,16.296615,14.040000,4.000000,0.000000,0.000000,5.517189
0.020000,13.822249,16.240446,14.120000,4.000000,0.000000,0.000000,5.492399
0.020000,13.877802,16.182882,14.200000,4.000000,0.000000,0.000000,5.467626
0.020000,13.931913,16.123962,14.280000,4.000000,0.000000,0.000000,5.442924
0.020000,13.984556,16.063726,14.360000,4.000000,0.000000,0.000000,5.418345
0.020000,14.035708,16.002218,14.440000,4.000000,0.000000,0.000000,5.393940
0.020000,14.085351,15.939486,14.520000,4.000000,0.000000,0.000000,5.369758
0.020000,14.133470,15.875578,14.600000,4.000000,0.000000,0.000000,5.345844
0.020000,14.180058,15.810545,14.680000,4.000000,0.000000,0.000000,5.322240
0.020000,14.225109,15.744438,14.760000,4.000000,0.000000,0.000000,5.298984
0.020000,14.268623,15.677310,14.840000,4.000000,0.000000,0.000000,5.276110
0.020000,14.310605,15.609212,14.920000,4.000000,0.000000,0.000000,5.253649
0.020000,14.351061,15.540198,15.000000,4.000000,0.000000,0.000000,5.231626
0.020000,14.390004,15.470318,15.080000,4.000000,0.000000,0.000000,5.210063
0.020000,14.427448,15.399623,15.160000,4.000000,0.000000,0.000000,5.188978
0.020000,14.463410,15.328164,15.240000,4.000000,0.000000,0.000000,5.168384
0.020000,14.497912,15.255987,15.320000,4.000000,0.000000,0.000000,5.148293
0.020000,14.530975,15.183141,15.400000,4.000000,0.000000,0.000000,5.128710
0.020000,14.562624,15.109669,15.480000,4.000000,0.000000,0.000000,5.109640
0.020000,14.592886,15.035614,15.560000,4.000000,0.000000,0.000000,5.091084
0.020000,14.621787,14.961018,15.640000,4.000000,0.000000,0.000000,5.073041
0.020000,14.649357,14.885920,15.720000,4.000000,0.000000,0.000000,5.055506
0.020000,14.675625,14.810357,15.800000,4.000000,0.000000,0.000000,5.038475
0.020000,14.700621,14.734363,15.880000,4.000000,0.000000,0.000000,5.021939
0.020000,14.724376,14.657972,15.960000,4.000000,0.000000,0.000000,5.005892
0.020000,14.746920,14.581215,16.040000,4.000000,0.000000,0.000000,4.990323
0.020000,14.768285,14.504122,16.120000,4.000000,0.000000,0.000000,4.975220
0.020000,14.788501,14.426719,16.200000,4.000000,0.000000,0.000000,4.960574
0.020000,14.807598,14.349032,16.280000,4.000000,0.000000,0.000000,4.946372
0.020000,14.825608,14.271086,16.360000,4.000000,0.000000,0.000000,4.932602
0.020000,14.842558,14.192903,16.440000,4.000000,0.000000,0.000000,4.919252
0.020000,14.858480,14.114504,16.520000,4.000000,0.000000,0.000000,4.906307
0.020000,14.873401,14.035909,16.600000,4.000000,0.000000,0.000000,4.893756
0.020000,14.887349,13.957134,16.680000,4.000000,0.000000,0.000000,4.881586
0.020000,14.900352,13.878199,16.760000,4.000000,0.000000,0.000000,4.869785
0.020000,14.912437,13.799117,16.840000,4.000000,0.000000,0.000000,4.858339
0.020000,14.923630,13.719905,16.920000,4.000000,0.000000,0.000000,4.847236
0.020000,14.933956,13.640574,17.000000,4.000000,0.000000,0.000000,4.836464
0.020000,14.943439,13.561139,17.080000,4.000000,0.000000,0.000000,4.826012
0.020000,14.952104,13.481610,17.160000,4.000000,0.000000,0.000000,4.815868
0.020000,14.959974,13.401998,17.240000,4.000000,0.000000,0.000000,4.806021
0.020000,14.967071,13.322314,17.320000,4.000000,0.000000,0.000000,4.796460
0.020000,14.973417,13.242566,17.400000,4.000000,0.000000,0.000000,4.787175
0.020000,14.979032,13.162764,17.480000,4.000000,0.000000,0.000000,4.778154
0.020000,14.983938,13.082914,17.560000,4.000000,0.000000,0.000000,4.769390
0.020000,14.988154,13.003026,17.640000,4.000000,0.000000,0.000000,4.760872
0.020000,14.991699,12.923105,17.720000,4.000000,0.000000,0.000000,4.752591
0.020000,14.994590,12.843157,17.800000,4.000000,0.000000,0.000000,4.744538
0.020000,14.996847,12.763189,17.880000,4.000000,0.000000,0.000000,4.736705
0.020000,14.998486,12.683206,17.960000,4.000000,0.000000,0.000000,4.729084
0.020000,14.999524,12.603213,18.040000,4.000000,0.000000,0.000000,4.721668
0.020000,14.999976,12.523215,18.120000,4.000000,0.000000,0.000000,4.714448
0.020000,14.999849,12.443365,18.200000,4.000000,0.000000,0.000000,4.707031
0.020000,14.999109,12.363368,18.280000,4.000000,0.000000,0.000000,4.699209
0.020000,14.997732,12.283381,18.360000,4.000000,0.000000,0.000000,4.691075
0.020000,14.995691,12.203407,18.440000,4.000000,0.000000,0.000000,4.682609
