dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.002205,1.083300,0.002464,0.098566,1.971328,39.426560,0.000128
0.050000,0.009161,1.083302,0.009420,0.139118,0.811042,-23.205729,0.000531
0.050000,0.020753,1.083312,0.021012,0.231843,1.854490,20.868977,0.001203
0.050000,0.036979,1.083340,0.037239,0.324536,1.853855,-0.012710,0.002147
0.050000,0.057839,1.083397,0.058098,0.417184,1.852962,-0.017857,0.003364
0.050000,0.083327,1.083502,0.083587,0.509774,1.851809,-0.023066,0.004857
0.050000,0.113441,1.083675,0.113702,0.602294,1.850391,-0.028355,0.006628
0.050000,0.148177,1.083941,0.148438,0.694729,1.848704,-0.033742,0.008683
0.050000,0.187528,1.084328,0.187791,0.787066,1.846741,-0.039246,0.011025
0.050000,0.231489,1.084871,0.231756,0.879291,1.844497,-0.044882,0.013660
0.050000,0.280053,1.085606,0.280325,0.971389,1.841964,-0.050673,0.016594
0.050000,0.333212,1.086574,0.333493,1.063346,1.839132,-0.056629,0.019833
0.050000,0.390955,1.087821,0.391250,1.155145,1.835994,-0.062773,0.023383
0.050000,0.453274,1.089399,0.453589,1.246772,1.832538,-0.069120,0.027255
0.050000,0.520156,1.091363,0.520499,1.338210,1.828753,-0.075684,0.031455
0.050000,0.591587,1.093773,0.591971,1.429441,1.824629,-0.082483,0.035994
0.050000,0.667554,1.096694,0.667994,1.520449,1.820153,-0.089526,0.040881
0.050000,0.748038,1.100197,0.748554,1.611215,1.815312,-0.096827,0.046129
0.050000,0.833022,1.104359,0.833640,1.701719,1.810092,-0.104392,0.051749
0.050000,0.922485,1.109261,0.923237,1.791943,1.804481,-0.112229,0.057753
0.050000,1.016404,1.114992,1.017331,1.881866,1.798464,-0.120334,0.064157
0.050000,1.114752,1.121646,1.115904,1.971468,1.792029,-0.128703,0.070974
0.050000,1.217502,1.129324,1.218940,2.060726,1.785162,-0.137324,0.078221
0.050000,1.324621,1.138134,1.326421,2.149619,1.777854,-0.146175,0.085915
0.050000,1.436075,1.148190,1.438328,2.238123,1.770093,-0.155222,0.094073
0.050000,1.551823,1.159614,1.554638,2.326217,1.761872,-0.164420,0.102714
0.050000,1.671823,1.172536,1.675332,2.413876,1.753186,-0.173704,0.111858
0.050000,1.796027,1.187094,1.800386,2.501078,1.744037,-0.182995,0.121527
0.050000,1.924381,1.203433,1.929776,2.587799,1.734428,-0.192184,0.131743
0.050000,2.056827,1.221708,2.063477,2.674018,1.724371,-0.201137,0.142528
0.050000,2.193300,1.242083,2.201463,2.759712,1.713886,-0.209684,0.153908
0.050000,2.333729,1.264728,2.343706,2.844863,1.703005,-0.217624,0.165906
0.050000,2.478035,1.289827,2.490178,2.929451,1.691770,-0.224699,0.178550
0.050000,2.626133,1.317570,2.640851,3.013463,1.680240,-0.230611,0.191865
0.050000,2.777926,1.348157,2.795696,3.096888,1.668490,-0.235002,0.205879
0.050000,2.933311,1.381800,2.954682,3.179718,1.656617,-0.237447,0.220620
0.050000,3.092176,1.418718,3.117780,3.261956,1.644744,-0.237465,0.236113
0.050000,3.254396,1.459141,3.284960,3.343607,1.633019,-0.234493,0.252387
0.050000,3.419835,1.503310,3.456194,3.424688,1.621624,-0.227912,0.269468
0.050000,3.588349,1.551473,3.631456,3.505226,1.610772,-0.217031,0.287381
0.050000,3.759778,1.603888,3.810719,3.585262,1.600717,-0.201112,0.306149
0.050000,3.933951,1.660822,3.993961,3.664850,1.591747,-0.179384,0.325793
0.050000,4.110685,1.722550,4.181164,3.744059,1.584194,-0.151070,0.346329
0.050000,4.289781,1.789352,4.372313,3.822980,1.578422,-0.115431,0.367772
0.050000,4.471029,1.861516,4.567399,3.901722,1.574832,-0.071817,0.390130
0.050000,4.654205,1.939335,4.766420,3.980414,1.573845,-0.019735,0.413405
0.050000,4.839071,2.023105,4.969380,4.059209,1.575899,0.041075,0.437591
0.050000,5.025377,2.113124,5.176294,4.138281,1.581426,0.110553,0.462677
0.050000,5.212861,2.209691,5.387186,4.217822,1.590838,0.188231,0.488641
0.050000,5.401247,2.313101,5.602088,4.298047,1.604495,0.273152,0.515451
0.050000,5.590251,2.423648,5.821047,4.379181,1.622686,0.363808,0.543065
0.050000,5.779578,2.541617,6.044120,4.461461,1.645591,0.458110,0.571430
0.050000,5.968925,2.667287,6.271376,4.545124,1.673262,0.553410,0.600482
0.050000,6.157983,2.800924,6.502896,4.630404,1.705590,0.646572,0.630148
0.050000,6.346436,2.942780,6.738772,4.717518,1.742296,0.734119,0.660341
0.050000,6.533965,3.093089,6.979106,4.806664,1.782918,0.812435,0.690969
0.050000,6.720249,3.252068,7.224006,4.898005,1.826819,0.878014,0.721930
0.050000,6.904969,3.419908,7.473589,4.991666,1.873206,0.927740,0.753117
0.050000,7.087806,3.596779,7.727975,5.087724,1.921164,0.959154,0.784420
0.050000,7.268445,3.782820,7.987286,5.186209,1.969697,0.970675,0.815726
0.050000,7.446581,3.978143,8.251641,5.287098,2.017785,0.961760,0.846925
0.050000,7.620200,4.180767,8.518475,5.336681,0.991654,-20.522631,0.877605
0.050000,7.786480,4.387099,8.783468,5.299874,-0.736127,-34.555624,0.907204
