dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.002481,-1.083300,0.002464,0.098566,1.971328,39.426560,0.000128
0.050000,0.010310,-1.083297,0.010293,0.156581,1.160286,-16.220832,0.000531
0.050000,0.023360,-1.083286,0.023343,0.260989,2.088165,18.557581,0.001203
0.050000,0.041631,-1.083255,0.041614,0.365429,2.088801,0.012707,0.002147
0.050000,0.065127,-1.083191,0.065110,0.469914,2.089693,0.017852,0.003364
0.050000,0.093849,-1.083073,0.093833,0.574456,2.090846,0.023059,0.004857
0.050000,0.127802,-1.082878,0.127786,0.679069,2.092264,0.028347,0.006628
0.050000,0.166989,-1.082578,0.166974,0.783767,2.093950,0.033733,0.008683
0.050000,0.211415,-1.082140,0.211403,0.888562,2.095912,0.039233,0.011025
0.050000,0.261085,-1.081527,0.261076,0.993470,2.098156,0.044869,0.013660
0.050000,0.316004,-1.080696,0.316001,1.098505,2.100688,0.050654,0.016594
0.050000,0.376178,-1.079600,0.376185,1.203680,2.103519,0.056611,0.019833
0.050000,0.441613,-1.078186,0.441636,1.309013,2.106656,0.062752,0.023383
0.050000,0.512317,-1.076396,0.512362,1.414519,2.110111,0.069094,0.027255
0.050000,0.588295,-1.074165,0.588373,1.520214,2.113894,0.075656,0.031455
0.050000,0.669554,-1.071424,0.669678,1.626114,2.118016,0.082449,0.035994
0.050000,0.756102,-1.068096,0.756290,1.732239,2.122491,0.089489,0.040881
0.050000,0.847945,-1.064098,0.848220,1.838605,2.127330,0.096784,0.046129
0.050000,0.945091,-1.059341,0.945482,1.945233,2.132547,0.104345,0.051749
0.050000,1.047544,-1.053727,1.048089,2.052141,2.138156,0.112174,0.057753
0.050000,1.155311,-1.047150,1.156057,2.159349,2.144170,0.120272,0.064157
0.050000,1.268396,-1.039499,1.269401,2.266879,2.150601,0.128634,0.070974
0.050000,1.386804,-1.030651,1.388138,2.374752,2.157464,0.137246,0.078221
0.050000,1.510535,-1.020475,1.512288,2.482991,2.164768,0.146086,0.085915
0.050000,1.639592,-1.008830,1.641869,2.591617,2.172524,0.155123,0.094073
0.050000,1.773972,-0.995567,1.776901,2.700654,2.180739,0.164307,0.102714
0.050000,1.913670,-0.980523,1.917407,2.810125,2.189418,0.173580,0.111858
0.050000,2.058680,-0.963527,2.063410,2.920053,2.198561,0.182853,0.121527
0.050000,2.208990,-0.944392,2.214933,3.030461,2.208162,0.192025,0.131743
0.050000,2.364585,-0.922922,2.372002,3.141371,2.218210,0.200958,0.142528
0.050000,2.525442,-0.898907,2.534642,3.252806,2.228685,0.209487,0.153908
0.050000,2.691535,-0.872122,2.702881,3.364783,2.239555,0.217401,0.165906
0.050000,2.862830,-0.842329,2.876747,3.477322,2.250777,0.224453,0.178550
0.050000,3.039282,-0.809274,3.056269,3.590437,2.262294,0.230338,0.191865
0.050000,3.220840,-0.772688,3.241476,3.704138,2.274029,0.234698,0.205879
0.050000,3.407438,-0.732286,3.432398,3.818433,2.285885,0.237115,0.220620
0.050000,3.598999,-0.687769,3.629064,3.933320,2.297740,0.237098,0.236113
0.050000,3.795431,-0.638819,3.831503,4.048792,2.309444,0.234096,0.252387
0.050000,3.996626,-0.585103,4.039745,4.164833,2.320818,0.227481,0.269468
0.050000,4.202454,-0.526273,4.253816,4.281415,2.331647,0.216569,0.287381
0.050000,4.412767,-0.461967,4.473741,4.398499,2.341678,0.200621,0.306149
0.050000,4.627393,-0.391809,4.699542,4.516030,2.350621,0.178868,0.325793
0.050000,4.846131,-0.315409,4.931239,4.633937,2.358148,0.150534,0.346329
0.050000,5.068755,-0.232369,5.168846,4.752132,2.363892,0.114885,0.367772
0.050000,5.295006,-0.142285,5.412371,4.870505,2.367456,0.071273,0.390130
0.050000,5.524592,-0.044747,5.661817,4.988926,2.368416,0.019206,0.413405
0.050000,5.757187,0.060653,5.917179,5.107243,2.366338,-0.041572,0.437591
0.050000,5.992430,0.174319,6.178443,5.225282,2.360788,-0.110997,0.462677
0.050000,6.229920,0.296645,6.445586,5.342850,2.351358,-0.188600,0.488641
0.050000,6.469223,0.428006,6.718573,5.459734,2.337687,-0.273422,0.515451
0.050000,6.709868,0.568759,6.997358,5.575709,2.319489,-0.363954,0.543065
0.050000,6.951352,0.719228,7.281885,5.690538,2.296584,-0.458109,0.571430
0.050000,7.193142,0.879706,7.572084,5.803984,2.268922,-0.553240,0.600482
0.050000,7.434683,1.050440,7.867875,5.915814,2.236611,-0.646218,0.630148
0.050000,7.675399,1.231636,8.169165,6.025811,2.199932,-0.733573,0.660341
0.050000,7.914705,1.423445,8.475854,6.133778,2.159347,-0.811696,0.690969
