dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.002343,0.000000,0.002464,0.098566,1.971328,39.426560,0.000128
0.050000,0.009735,0.000003,0.009857,0.197133,1.971328,0.000000,0.000531
0.050000,0.022056,0.000013,0.022177,0.295699,1.971328,0.000000,0.001203
0.050000,0.039305,0.000042,0.039427,0.394266,1.971328,0.000000,0.002147
0.050000,0.061483,0.000103,0.061604,0.492832,1.971328,0.000000,0.003364
0.050000,0.088588,0.000215,0.088710,0.591398,1.971328,-0.000000,0.004857
0.050000,0.120622,0.000399,0.120744,0.689965,1.971328,0.000000,0.006628
0.050000,0.157583,0.000682,0.157706,0.788531,1.971328,-0.000000,0.008683
0.050000,0.199472,0.001094,0.199597,0.887098,1.971328,0.000000,0.011025
0.050000,0.246287,0.001672,0.246416,0.985664,1.971328,-0.000000,0.013660
0.050000,0.298029,0.002455,0.298163,1.084230,1.971328,0.000000,0.016594
0.050000,0.354695,0.003487,0.354839,1.182797,1.971328,0.000000,0.019833
0.050000,0.416284,0.004818,0.416443,1.281363,1.971328,0.000000,0.023383
0.050000,0.482795,0.006502,0.482975,1.379930,1.971328,-0.000000,0.027255
0.050000,0.554225,0.008599,0.554436,1.478496,1.971328,0.000000,0.031455
0.050000,0.630571,0.011174,0.630825,1.577062,1.971328,-0.000000,0.035994
0.050000,0.711828,0.014299,0.712142,1.675629,1.971328,0.000000,0.040881
0.050000,0.797992,0.018049,0.798388,1.774195,1.971328,0.000000,0.046129
0.050000,0.889056,0.022509,0.889562,1.872762,1.971328,-0.000000,0.051749
0.050000,0.985014,0.027767,0.985664,1.971328,1.971328,0.000000,0.057753
0.050000,1.085857,0.033921,1.086695,2.069894,1.971328,-0.000000,0.064157
0.050000,1.191574,0.041074,1.192653,2.168461,1.971328,0.000000,0.070974
0.050000,1.302153,0.049337,1.303541,2.267027,1.971328,0.000000,0.078221
0.050000,1.417578,0.058830,1.419356,2.365594,1.971328,-0.000000,0.085915
0.050000,1.537833,0.069680,1.540100,2.464160,1.971328,0.000000,0.094073
0.050000,1.662898,0.082023,1.665772,2.562726,1.971328,0.000000,0.102714
0.050000,1.792747,0.096006,1.796373,2.661293,1.971328,-0.000000,0.111858
0.050000,1.927354,0.111784,1.931901,2.759859,1.971328,0.000000,0.121527
0.050000,2.066686,0.129520,2.072359,2.858426,1.971328,-0.000000,0.131743
0.050000,2.210706,0.149393,2.217744,2.956992,1.971328,0.000000,0.142528
0.050000,2.359371,0.171588,2.368058,3.055558,1.971328,-0.000000,0.153908
0.050000,2.512632,0.196303,2.523300,3.154125,1.971328,0.000000,0.165906
0.050000,2.670433,0.223749,2.683470,3.252691,1.971328,0.000000,0.178550
0.050000,2.832707,0.254148,2.848569,3.351258,1.971328,-0.000000,0.191865
0.050000,2.999383,0.287735,3.018596,3.449824,1.971328,0.000000,0.205879
0.050000,3.170374,0.324757,3.193551,3.548390,1.971328,-0.000000,0.220620
0.050000,3.345587,0.365474,3.373435,3.646957,1.971328,-0.000000,0.236113
0.050000,3.524913,0.410161,3.558247,3.745523,1.971328,0.000000,0.252387
