dt,x,y,position,velocity,acceleration,jerk,heading
0.015000,0.000007,11.083330,0.000075,0.009950,0.663350,44.223328,6.283179
0.015000,0.000164,11.083330,0.000232,0.010464,0.034273,-41.938432,0.000009
0.015000,0.000799,11.083330,0.000867,0.042351,2.125748,139.431646,0.000042
0.015000,0.001858,11.083330,0.001926,0.070584,1.882211,-16.235813,0.000098
0.015000,0.003340,11.083330,0.003408,0.098816,1.882157,-0.003569,0.000177
0.015000,0.005246,11.083331,0.005314,0.127047,1.882080,-0.005133,0.000277
0.015000,0.007575,11.083332,0.007643,0.155277,1.881982,-0.006528,0.000401
0.015000,0.010327,11.083333,0.010395,0.183505,1.881865,-0.007857,0.000546
0.015000,0.013503,11.083335,0.013571,0.211731,1.881721,-0.009586,0.000715
0.015000,0.017103,11.083338,0.017171,0.239954,1.881558,-0.010855,0.000905
0.015000,0.021125,11.083342,0.021193,0.268175,1.881372,-0.012394,0.001119
0.015000,0.025571,11.083347,0.025639,0.296392,1.881165,-0.013810,0.001355
0.015000,0.030440,11.083355,0.030508,0.324606,1.880934,-0.015395,0.001613
0.015000,0.035733,11.083364,0.035800,0.352817,1.880683,-0.016728,0.001895
0.015000,0.041448,11.083376,0.041516,0.381023,1.880408,-0.018327,0.002199
0.015000,0.047586,11.083390,0.047654,0.409224,1.880109,-0.019937,0.002526
0.015000,0.054148,11.083408,0.054215,0.437421,1.879792,-0.021155,0.002875
0.015000,0.061132,11.083429,0.061200,0.465613,1.879447,-0.022981,0.003248
0.015000,0.068539,11.083455,0.068607,0.493799,1.879082,-0.024355,0.003644
0.015000,0.076368,11.083485,0.076436,0.521979,1.878694,-0.025844,0.004063
0.015000,0.084620,11.083520,0.084689,0.550154,1.878281,-0.027575,0.004505
0.015000,0.093295,11.083561,0.093363,0.578321,1.877845,-0.029029,0.004971
0.015000,0.102392,11.083609,0.102461,0.606482,1.877385,-0.030675,0.005460
0.015000,0.111912,11.083663,0.111980,0.634636,1.876904,-0.032042,0.005972
0.015000,0.121853,11.083725,0.121922,0.662782,1.876394,-0.034008,0.006508
0.015000,0.132217,11.083796,0.132286,0.690920,1.875863,-0.035434,0.007068
0.015000,0.143002,11.083875,0.143071,0.719049,1.875307,-0.037015,0.007651
0.015000,0.154209,11.083964,0.154279,0.747170,1.874725,-0.038857,0.008259
0.015000,0.165838,11.084064,0.165908,0.775282,1.874120,-0.040331,0.008890
0.015000,0.177888,11.084175,0.177959,0.803384,1.873487,-0.042168,0.009546
0.015000,0.190360,11.084298,0.190431,0.831477,1.872829,-0.043857,0.010226
0.015000,0.203253,11.084435,0.203325,0.859559,1.872146,-0.045541,0.010931
0.015000,0.216566,11.084585,0.216639,0.887630,1.871436,-0.047323,0.011660
0.015000,0.230301,11.084750,0.230374,0.915691,1.870700,-0.049116,0.012414
0.015000,0.244456,11.084931,0.244530,0.943740,1.869936,-0.050876,0.013193
0.015000,0.259031,11.085130,0.259107,0.971777,1.869146,-0.052692,0.013997
0.015000,0.274026,11.085346,0.274104,0.999802,1.868326,-0.054654,0.014827
0.015000,0.289442,11.085581,0.289521,1.027814,1.867481,-0.056340,0.015682
0.015000,0.305277,11.085836,0.305359,1.055813,1.866607,-0.058304,0.016562
0.015000,0.321532,11.086113,0.321616,1.083799,1.865700,-0.060417,0.017468
0.015000,0.338205,11.086412,0.338292,1.111770,1.864770,-0.062038,0.018401
0.015000,0.355298,11.086735,0.355388,1.139727,1.863807,-0.064189,0.019359
0.015000,0.372810,11.087082,0.372903,1.167670,1.862812,-0.066352,0.020344
