dt,x,y,position,velocity,acceleration,jerk,heading
0.015000,-0.000007,8.916670,0.000075,0.009950,0.663350,44.223328,6.283179
0.015000,0.000183,8.916670,0.000264,0.012620,0.178000,-32.356690,0.000009
0.015000,0.000891,8.916670,0.000972,0.047202,2.305429,141.828615,0.000042
0.015000,0.002071,8.916670,0.002152,0.078670,2.097888,-13.836065,0.000098
0.015000,0.003723,8.916670,0.003804,0.110139,2.097943,0.003681,0.000177
0.015000,0.005847,8.916671,0.005928,0.141609,2.098018,0.005006,0.000277
0.015000,0.008443,8.916672,0.008524,0.173081,2.098116,0.006524,0.000401
0.015000,0.011511,8.916673,0.011593,0.204555,2.098238,0.008122,0.000546
0.015000,0.015052,8.916675,0.015133,0.236030,2.098377,0.009281,0.000715
0.015000,0.019064,8.916679,0.019146,0.267508,2.098541,0.010963,0.000905
0.015000,0.023549,8.916683,0.023631,0.298989,2.098727,0.012354,0.001119
0.015000,0.028506,8.916689,0.028588,0.330473,2.098935,0.013894,0.001355
0.015000,0.033936,8.916697,0.034017,0.361961,2.099164,0.015258,0.001613
0.015000,0.039838,8.916708,0.039919,0.393452,2.099418,0.016918,0.001895
0.015000,0.046212,8.916721,0.046293,0.424948,2.099692,0.018297,0.002199
0.015000,0.053058,8.916737,0.053140,0.456447,2.099987,0.019681,0.002526
0.015000,0.060378,8.916757,0.060459,0.487952,2.100310,0.021522,0.002875
0.015000,0.068170,8.916781,0.068251,0.519462,2.100651,0.022705,0.003248
0.015000,0.076434,8.916809,0.076516,0.550977,2.101017,0.024412,0.003644
0.015000,0.085172,8.916843,0.085253,0.582498,2.101407,0.026016,0.004063
0.015000,0.094382,8.916882,0.094464,0.614025,2.101818,0.027374,0.004505
0.015000,0.104065,8.916928,0.104147,0.645559,2.102254,0.029068,0.004971
0.015000,0.114222,8.916981,0.114304,0.677100,2.102713,0.030576,0.005460
0.015000,0.124851,8.917042,0.124933,0.708648,2.103199,0.032424,0.005972
0.015000,0.135954,8.917111,0.136036,0.740203,2.103703,0.033634,0.006508
0.015000,0.147530,8.917190,0.147613,0.771767,2.104236,0.035481,0.007068
0.015000,0.159580,8.917278,0.159663,0.803339,2.104793,0.037187,0.007651
0.015000,0.172103,8.917378,0.172187,0.834919,2.105373,0.038639,0.008259
0.015000,0.185100,8.917489,0.185184,0.866509,2.105981,0.040538,0.008890
0.015000,0.198572,8.917614,0.198656,0.898108,2.106612,0.042070,0.009546
0.015000,0.212517,8.917751,0.212602,0.929717,2.107269,0.043810,0.010226
0.015000,0.226936,8.917904,0.227022,0.961337,2.107953,0.045597,0.010931
0.015000,0.241829,8.918072,0.241916,0.992967,2.108663,0.047319,0.011660
0.015000,0.257197,8.918257,0.257285,1.024608,2.109399,0.049075,0.012414
0.015000,0.273040,8.918460,0.273129,1.056260,2.110163,0.050915,0.013193
0.015000,0.289357,8.918682,0.289448,1.087924,2.110954,0.052743,0.013997
0.015000,0.306150,8.918924,0.306242,1.119601,2.111771,0.054458,0.014827
0.015000,0.323417,8.919187,0.323511,1.151290,2.112619,0.056536,0.015682
0.015000,0.341160,8.919473,0.341256,1.182993,2.113494,0.058358,0.016562
0.015000,0.359378,8.919783,0.359477,1.214709,2.114395,0.060069,0.017468
0.015000,0.378071,8.920119,0.378174,1.246439,2.115331,0.062392,0.018401
0.015000,0.397240,8.920481,0.397346,1.278183,2.116294,0.064182,0.019359
0.015000,0.416886,8.920871,0.416995,1.309942,2.117284,0.066022,0.020344
0.015000,0.437007,8.921290,0.437121,1.341717,2.118310,0.068406,0.021356
0.015000,0.457605,8.921741,0.457724,1.373507,2.119364,0.070231,0.022394
0.015000,0.478679,8.922224,0.478804,1.405314,2.120450,0.072438,0.023460
0.015000,0.500230,8.922742,0.500361,1.437138,2.121568,0.074493,0.024553
0.015000,0.522258,8.923295,0.522395,1.468978,2.122721,0.076875,0.025673
