dt,x,y,position,velocity,acceleration,jerk,heading
0.015000,0.000000,10.000000,0.000075,0.009950,0.663350,44.223328,6.283179
0.015000,0.000173,10.000000,0.000373,0.029851,1.326700,44.223328,0.000009
0.015000,0.000845,10.000000,0.001045,0.059701,1.990050,44.223328,0.000042
0.015000,0.001964,10.000000,0.002164,0.089552,1.990050,-0.000000,0.000098
0.015000,0.003531,10.000000,0.003731,0.119403,1.990050,0.000000,0.000177
0.015000,0.005546,10.000001,0.005746,0.149254,1.990050,0.000000,0.000277
0.015000,0.008009,10.000002,0.008209,0.179104,1.990050,-0.000000,0.000401
0.015000,0.010919,10.000003,0.011119,0.208955,1.990050,0.000000,0.000546
0.015000,0.014278,10.000005,0.014478,0.238806,1.990050,-0.000000,0.000715
0.015000,0.018084,10.000008,0.018284,0.268657,1.990050,0.000000,0.000905
0.015000,0.022337,10.000012,0.022537,0.298507,1.990050,0.000000,0.001119
0.015000,0.027039,10.000018,0.027239,0.328358,1.990050,-0.000000,0.001355
0.015000,0.032188,10.000026,0.032388,0.358209,1.990050,0.000000,0.001613
0.015000,0.037785,10.000036,0.037985,0.388060,1.990050,0.000000,0.001895
0.015000,0.043830,10.000048,0.044030,0.417910,1.990050,0.000000,0.002199
0.015000,0.050322,10.000063,0.050522,0.447761,1.990050,-0.000000,0.002526
0.015000,0.057263,10.000082,0.057463,0.477612,1.990050,0.000000,0.002875
0.015000,0.064651,10.000105,0.064851,0.507463,1.990050,0.000000,0.003248
0.015000,0.072486,10.000132,0.072687,0.537313,1.990050,-0.000000,0.003644
0.015000,0.080770,10.000164,0.080970,0.567164,1.990050,0.000000,0.004063
0.015000,0.089501,10.000201,0.089701,0.597015,1.990050,0.000000,0.004505
0.015000,0.098680,10.000245,0.098881,0.626866,1.990050,-0.000000,0.004971
0.015000,0.108307,10.000295,0.108507,0.656716,1.990050,0.000000,0.005460
0.015000,0.118381,10.000352,0.118582,0.686567,1.990050,0.000000,0.005972
0.015000,0.128904,10.000418,0.129104,0.716418,1.990050,-0.000000,0.006508
0.015000,0.139873,10.000493,0.140075,0.746269,1.990050,0.000000,0.007068
0.015000,0.151291,10.000577,0.151493,0.776119,1.990050,0.000000,0.007651
0.015000,0.163156,10.000671,0.163358,0.805970,1.990050,-0.000000,0.008259
0.015000,0.175469,10.000777,0.175672,0.835821,1.990050,0.000000,0.008890
0.015000,0.188230,10.000894,0.188433,0.865672,1.990050,-0.000000,0.009546
0.015000,0.201438,10.001025,0.201642,0.895522,1.990050,0.000000,0.010226
0.015000,0.215094,10.001169,0.215299,0.925373,1.990050,-0.000000,0.010931
0.015000,0.229198,10.001329,0.229403,0.955224,1.990050,0.000000,0.011660
0.015000,0.243749,10.001504,0.243955,0.985075,1.990050,0.000000,0.012414
0.015000,0.258748,10.001696,0.258955,1.014925,1.990050,-0.000000,0.013193
0.015000,0.274194,10.001906,0.274403,1.044776,1.990050,0.000000,0.013997
0.015000,0.290088,10.002135,0.290299,1.074627,1.990050,-0.000000,0.014827
0.015000,0.306429,10.002384,0.306642,1.104478,1.990050,0.000000,0.015682
0.015000,0.323218,10.002655,0.323433,1.134328,1.990050,0.000000,0.016562
0.015000,0.340455,10.002948,0.340672,1.164179,1.990050,0.000000,0.017468
0.015000,0.358138,10.003265,0.358358,1.194030,1.990050,0.000000,0.018401
0.015000,0.376269,10.003608,0.376493,1.223881,1.990050,-0.000000,0.019359
0.015000,0.394848,10.003977,0.395075,1.253731,1.990050,0.000000,0.020344
0.015000,0.413874,10.004373,0.414104,1.283582,1.990050,-0.000000,0.021356
0.015000,0.433346,10.004799,0.433582,1.313433,1.990050,0.000000,0.022394
0.015000,0.453267,10.005256,0.453507,1.343284,1.990050,-0.000000,0.023460
0.015000,0.473634,10.005745,0.473881,1.373134,1.990050,0.000000,0.024553
0.015000,0.494448,10.006268,0.494701,1.402985,1.990050,-0.000000,0.025673
0.015000,0.515710,10.006826,0.515970,1.432836,1.990050,0.000000,0.026821
0.015000,0.537418,10.007421,0.537687,1.462687,1.990050,0.000000,0.027998
0.015000,0.559573,10.008055,0.559851,1.492537,1.990050,-0.000000,0.029202
0.015000,0.582175,10.008729,0.582463,1.522388,1.990050,0.000000,0.030435
0.015000,0.605223,10.009445,0.605522,1.552239,1.990050,-0.000000,0.031697
0.015000,0.628719,10.010206,0.629030,1.582090,1.990050,0.000000,0.032988
0.015000,0.652660,10.011012,0.652985,1.611940,1.990050,0.000000,0.034309
0.015000,0.677048,10.011865,0.677388,1.641791,1.990050,-0.000000,0.035659
0.015000,0.701883,10.012768,0.702239,1.671642,1.990050,0.000000,0.037040
0.015000,0.727163,10.013723,0.727537,1.701493,1.990050,-0.000000,0.038450
0.015000,0.752890,10.014731,0.753284,1.731343,1.990050,0.000000,0.039892
0.015000,0.779062,10.015795,0.779478,1.761194,1.990050,0.000000,0.041364
0.015000,0.805680,10.016917,0.806119,1.791045,1.990050,0.000000,0.042868
0.015000,0.832744,10.018098,0.833209,1.820896,1.990050,0.000000,0.044403
0.015000,0.860253,10.019342,0.860746,1.850746,1.990050,-0.000000,0.045971
0.015000,0.888208,10.020651,0.888731,1.880597,1.990050,0.000000,0.047570
0.015000,0.916607,10.022026,0.917164,1.910448,1.990050,0.000000,0.049203
0.015000,0.945452,10.023470,0.946045,1.940299,1.990050,0.000000,0.050869
0.015000,0.974741,10.024986,0.975373,1.970149,1.990050,0.000000,0.052568
0.015000,1.004474,10.026577,1.005149,2.000000,1.990050,-0.000000,0.054301
0.015000,1.034652,10.028244,1.035373,2.029851,1.990050,0.000000,0.056069
0.015000,1.065274,10.029990,1.066045,2.059701,1.990050,-0.000000,0.057871
0.015000,1.096340,10.031819,1.097164,2.089552,1.990050,0.000000,0.059709
0.015000,1.127849,10.033732,1.128731,2.119403,1.990050,-0.000000,0.061582
0.015000,1.159801,10.035733,1.160746,2.149254,1.990050,0.000000,0.063492
0.015000,1.192196,10.037824,1.193209,2.179104,1.990050,0.000000,0.065438
0.015000,1.225034,10.040008,1.226119,2.208955,1.990050,-0.000000,0.067421
0.015000,1.258314,10.042289,1.259478,2.238806,1.990050,0.000000,0.069441
0.015000,1.292036,10.044670,1.293284,2.268657,1.990050,-0.000000,0.071500
0.015000,1.326200,10.047152,1.327537,2.298507,1.990050,0.000000,0.073597
0.015000,1.360805,10.049741,1.362239,2.328358,1.990050,0.000000,0.075734
0.015000,1.395851,10.052439,1.397388,2.358209,1.990050,0.000000,0.077910
0.015000,1.431336,10.055248,1.432985,2.388060,1.990050,0.000000,0.080126
0.015000,1.467262,10.058174,1.469030,2.417910,1.990050,-0.000000,0.082383
0.015000,1.503628,10.061219,1.505522,2.447761,1.990050,0.000000,0.084681
0.015000,1.540432,10.064386,1.542463,2.477612,1.990050,0.000000,0.087021
0.015000,1.577675,10.067680,1.579851,2.507463,1.990050,0.000000,0.089403
0.015000,1.615355,10.071104,1.617687,2.537313,1.990050,0.000000,0.091829
0.015000,1.653473,10.074661,1.655970,2.567164,1.990050,-0.000000,0.094298
0.015000,1.692028,10.078357,1.694701,2.597015,1.990050,0.000000,0.096812
0.015000,1.731018,10.082193,1.733881,2.626866,1.990050,0.000000,0.099371
0.015000,1.770445,10.086176,1.773507,2.656716,1.990050,0.000000,0.101976
0.015000,1.810306,10.090308,1.813582,2.686567,1.990050,-0.000000,0.104626
0.015000,1.850601,10.094595,1.854104,2.716418,1.990050,0.000000,0.107324
0.015000,1.891329,10.099039,1.895075,2.746269,1.990050,-0.000000,0.110070
0.015000,1.932490,10.103646,1.936493,2.776119,1.990050,-0.000000,0.112865
0.015000,1.974082,10.108420,1.978358,2.805970,1.990050,0.000000,0.115708
0.015000,2.016106,10.113366,2.020672,2.835821,1.990050,0.000000,0.118602
0.015000,2.058559,10.118488,2.063433,2.865672,1.990050,-0.000000,0.121546
0.015000,2.101441,10.123792,2.106642,2.895522,1.990050,0.000000,0.124543
0.015000,2.144752,10.129281,2.150299,2.925373,1.990050,0.000000,0.127591
0.015000,2.188489,10.134960,2.194403,2.955224,1.990050,-0.000000,0.130693
0.015000,2.232652,10.140836,2.238955,2.985075,1.990050,0.000000,0.133849
0.015000,2.277240,10.146913,2.283955,3.014925,1.990050,0.000000,0.137060
0.015000,2.322251,10.153196,2.329403,3.044776,1.990050,-0.000000,0.140328
0.015000,2.367685,10.159691,2.375299,3.074627,1.990050,-0.000000,0.143651
0.015000,2.413539,10.166402,2.421642,3.104478,1.990050,0.000000,0.147033
0.015000,2.459814,10.173337,2.468433,3.134328,1.990050,0.000000,0.150473
0.015000,2.506506,10.180500,2.515672,3.164179,1.990050,-0.000000,0.153973
0.015000,2.553615,10.187897,2.563358,3.194030,1.990050,0.000000,0.157534
0.015000,2.601140,10.195535,2.611493,3.223881,1.990050,0.000000,0.161156
0.015000,2.649078,10.203418,2.660075,3.253731,1.990050,-0.000000,0.164841
0.015000,2.697428,10.211555,2.709104,3.283582,1.990050,0.000000,0.168590
0.015000,2.746188,10.219949,2.758582,3.313433,1.990050,0.000000,0.172403
0.015000,2.795357,10.228609,2.808507,3.343284,1.990050,-0.000000,0.176282
0.015000,2.844932,10.237541,2.858881,3.373134,1.990050,-0.000000,0.180229
0.015000,2.894911,10.246751,2.909701,3.402985,1.990050,0.000000,0.184243
0.015000,2.945293,10.256246,2.960970,3.432836,1.990050,0.000000,0.188327
0.015000,2.996075,10.266034,3.012687,3.462687,1.990050,-0.000000,0.192481
0.015000,3.047254,10.276121,3.064851,3.492537,1.990050,0.000000,0.196706
0.015000,3.098829,10.286514,3.117463,3.522388,1.990050,0.000000,0.201005
0.015000,3.150798,10.297221,3.170522,3.552239,1.990050,-0.000000,0.205377
0.015000,3.203156,10.308249,3.224030,3.582090,1.990050,0.000000,0.209825
0.015000,3.255902,10.319607,3.277985,3.611940,1.990050,-0.000000,0.214349
0.015000,3.309034,10.331301,3.332388,3.641791,1.990050,0.000000,0.218952
0.015000,3.362547,10.343340,3.387239,3.671642,1.990050,-0.000000,0.223633
0.015000,3.416439,10.355732,3.442537,3.701493,1.990050,0.000000,0.228395
0.015000,3.470707,10.368485,3.498284,3.731343,1.990050,0.000000,0.233238
0.015000,3.525347,10.381607,3.554478,3.761194,1.990050,-0.000000,0.238165
0.015000,3.580356,10.395108,3.611119,3.791045,1.990050,0.000000,0.243177
0.015000,3.635731,10.408995,3.668209,3.820896,1.990050,0.000000,0.248274
0.015000,3.691467,10.423278,3.725746,3.850746,1.990050,-0.000000,0.253459
0.015000,3.747561,10.437966,3.783731,3.880597,1.990050,0.000000,0.258732
0.015000,3.804009,10.453067,3.842164,3.910448,1.990050,-0.000000,0.264096
0.015000,3.860806,10.468592,3.901045,3.940299,1.990050,0.000000,0.269551
0.015000,3.917948,10.484550,3.960373,3.970149,1.990050,-0.000000,0.275100
0.015000,3.975358,10.500929,4.020075,3.990050,1.326700,-44.223328,0.280736
0.015000,4.032890,10.517696,4.080000,4.000000,0.663350,-44.223328,0.286447
0.015000,4.090396,10.534814,4.140000,4.000000,0.000000,-44.223328,0.292219
0.015000,4.147802,10.552266,4.200000,4.000000,0.000000,0.000000,0.298045
0.015000,4.205105,10.570053,4.260000,4.000000,0.000000,0.000000,0.303925
0.015000,4.262301,10.588179,4.320000,4.000000,0.000000,0.000000,0.309861
0.015000,4.319389,10.606645,4.380000,4.000000,0.000000,0.000000,0.315851
0.015000,4.376364,10.625455,4.440000,4.000000,0.000000,0.000000,0.321896
0.015000,4.433224,10.644610,4.500000,4.000000,0.000000,0.000000,0.327997
0.015000,4.489966,10.664113,4.560000,4.000000,0.000000,0.000000,0.334153
0.015000,4.546586,10.683967,4.620000,4.000000,0.000000,0.000000,0.340364
0.015000,4.603081,10.704174,4.680000,4.000000,0.000000,0.000000,0.346632
0.015000,4.659447,10.724736,4.740000,4.000000,0.000000,0.000000,0.352955
0.015000,4.715682,10.745655,4.800000,4.000000,0.000000,0.000000,0.359334
0.015000,4.771782,10.766935,4.860000,4.000000,0.000000,0.000000,0.365769
0.015000,4.827743,10.788576,4.920000,4.000000,0.000000,0.000000,0.372259
0.015000,4.883562,10.810582,4.980000,4.000000,0.000000,0.000000,0.378806
0.015000,4.939235,10.832954,5.040000,4.000000,0.000000,0.000000,0.385408
0.015000,4.994758,10.855695,5.100000,4.000000,0.000000,0.000000,0.392067
0.015000,5.050128,10.878807,5.160000,4.000000,0.000000,0.000000,0.398781
0.015000,5.105341,10.902291,5.220000,4.000000,0.000000,0.000000,0.405550
0.015000,5.160393,10.926150,5.280000,4.000000,0.000000,0.000000,0.412375
0.015000,5.215280,10.950386,5.340000,4.000000,0.000000,0.000000,0.419254
0.015000,5.269999,10.975000,5.400000,4.000000,0.000000,0.000000,0.426189
0.015000,5.324545,10.999995,5.460000,4.000000,0.000000,0.000000,0.433178
0.015000,5.378914,11.025372,5.520000,4.000000,0.000000,0.000000,0.440222
0.015000,5.433102,11.051132,5.580000,4.000000,0.000000,0.000000,0.447320
0.015000,5.487106,11.077278,5.640000,4.000000,0.000000,0.000000,0.454471
0.015000,5.540920,11.103811,5.700000,4.000000,0.000000,0.000000,0.461675
0.015000,5.594541,11.130733,5.760000,4.000000,0.000000,0.000000,0.468931
0.015000,5.647965,11.158044,5.820000,4.000000,0.000000,0.000000,0.476240
0.015000,5.701187,11.185746,5.880000,4.000000,0.000000,0.000000,0.483601
0.015000,5.754202,11.213841,5.940000,4.000000,0.000000,0.000000,0.491012
0.015000,5.807008,11.242329,6.000000,4.000000,0.000000,0.000000,0.498474
0.015000,5.859599,11.271211,6.060000,4.000000,0.000000,0.000000,0.505985
0.015000,5.911970,11.300489,6.120000,4.000000,0.000000,0.000000,0.513545
0.015000,5.964118,11.330164,6.180000,4.000000,0.000000,0.000000,0.521153
0.015000,6.016038,11.360235,6.240000,4.000000,0.000000,0.000000,0.528809
0.015000,6.067726,11.390704,6.300000,4.000000,0.000000,0.000000,0.536511
0.015000,6.119176,11.421572,6.360000,4.000000,0.000000,0.000000,0.544258
0.015000,6.170386,11.452839,6.420000,4.000000,0.000000,0.000000,0.552050
0.015000,6.221349,11.484504,6.480000,4.000000,0.000000,0.000000,0.559886
0.015000,6.272062,11.516569,6.540000,4.000000,0.000000,0.000000,0.567764
0.015000,6.322520,11.549034,6.600000,4.000000,0.000000,0.000000,0.575683
0.015000,6.372719,11.581898,6.660000,4.000000,0.000000,0.000000,0.583643
0.015000,6.422654,11.615162,6.720000,4.000000,0.000000,0.000000,0.591641
0.015000,6.472321,11.648825,6.780000,4.000000,0.000000,0.000000,0.599678
0.015000,6.521714,11.682887,6.840000,4.000000,0.000000,0.000000,0.607751
0.015000,6.570831,11.717348,6.900000,4.000000,0.000000,0.000000,0.615859
0.015000,6.619666,11.752206,6.960000,4.000000,0.000000,0.000000,0.624002
0.015000,6.668215,11.787462,7.020000,4.000000,0.000000,0.000000,0.632176
0.015000,6.716474,11.823114,7.080000,4.000000,0.000000,0.000000,0.640382
0.015000,6.764438,11.859162,7.140000,4.000000,0.000000,0.000000,0.648618
0.015000,6.812103,11.895604,7.200000,4.000000,0.000000,0.000000,0.656881
0.015000,6.859465,11.932439,7.260000,4.000000,0.000000,0.000000,0.665171
0.015000,6.906519,11.969667,7.320000,4.000000,0.000000,0.000000,0.673486
0.015000,6.953262,12.007285,7.380000,4.000000,0.000000,0.000000,0.681825
0.015000,6.999688,12.045292,7.440000,4.000000,0.000000,0.000000,0.690185
0.015000,7.045796,12.083686,7.500000,4.000000,0.000000,0.000000,0.698565
0.015000,7.091579,12.122465,7.560000,4.000000,0.000000,0.000000,0.706964
0.015000,7.137035,12.161628,7.620000,4.000000,0.000000,0.000000,0.715379
0.015000,7.182159,12.201173,7.680000,4.000000,0.000000,0.000000,0.723809
0.015000,7.226948,12.241097,7.740000,4.000000,0.000000,0.000000,0.732253
0.015000,7.271398,12.281398,7.800000,4.000000,0.000000,0.000000,0.740708
0.015000,7.315506,12.322073,7.860000,4.000000,0.000000,0.000000,0.749172
0.015000,7.359268,12.363121,7.920000,4.000000,0.000000,0.000000,0.757644
0.015000,7.402680,12.404538,7.980000,4.000000,0.000000,0.000000,0.766122
0.015000,7.445739,12.446322,8.040000,4.000000,0.000000,0.000000,0.774605
0.015000,7.488442,12.488469,8.100000,4.000000,0.000000,0.000000,0.783089
0.015000,7.530786,12.530977,8.160000,4.000000,0.000000,0.000000,0.791574
0.015000,7.572768,12.573843,8.220000,4.000000,0.000000,0.000000,0.800058
0.015000,7.614385,12.617064,8.280000,4.000000,0.000000,0.000000,0.808539
0.015000,7.655634,12.660636,8.340000,4.000000,0.000000,0.000000,0.817015
0.015000,7.696513,12.704555,8.400000,4.000000,0.000000,0.000000,0.825483
0.015000,7.737018,12.748819,8.460000,4.000000,0.000000,0.000000,0.833944
0.015000,7.777147,12.793425,8.520000,4.000000,0.000000,0.000000,0.842394
0.015000,7.816898,12.838367,8.580000,4.000000,0.000000,0.000000,0.850831
