dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000134,24.000000,0.000199,0.019900,0.995025,49.751244,0.000000
0.020000,0.000930,24.000000,0.000995,0.059701,1.990050,49.751244,0.000000
0.020000,0.002721,24.000000,0.002786,0.119403,2.985075,49.751244,0.000000
0.020000,0.005706,24.000000,0.005771,0.179104,2.985075,0.000000,0.000000
0.020000,0.009885,24.000000,0.009950,0.238806,2.985075,0.000000,0.000000
0.020000,0.015258,24.000000,0.015323,0.298507,2.985075,0.000000,0.000000
0.020000,0.021826,24.000000,0.021891,0.358209,2.985075,-0.000000,0.000000
0.020000,0.029587,24.000000,0.029652,0.417910,2.985075,0.000000,0.000000
0.020000,0.038542,24.000000,0.038607,0.477612,2.985075,-0.000000,0.000000
0.020000,0.048691,24.000000,0.048756,0.537313,2.985075,0.000000,0.000000
0.020000,0.060035,24.000000,0.060100,0.597015,2.985075,0.000000,0.000000
0.020000,0.072572,24.000000,0.072637,0.656716,2.985075,-0.000000,0.000000
0.020000,0.086303,24.000000,0.086368,0.716418,2.985075,0.000000,0.000000
0.020000,0.101229,24.000000,0.101294,0.776119,2.985075,0.000000,0.000000
0.020000,0.117348,24.000000,0.117413,0.835821,2.985075,0.000000,0.000000
0.020000,0.134661,24.000000,0.134726,0.895522,2.985075,-0.000000,0.000000
0.020000,0.153169,24.000000,0.153234,0.955224,2.985075,0.000000,0.000000
0.020000,0.172870,24.000000,0.172935,1.014925,2.985075,0.000000,0.000000
0.020000,0.193766,24.000000,0.193831,1.074627,2.985075,-0.000000,0.000000
0.020000,0.215855,24.000000,0.215920,1.134328,2.985075,0.000000,0.000000
0.020000,0.239139,24.000000,0.239204,1.194030,2.985075,0.000000,0.000000
0.020000,0.263617,24.000000,0.263682,1.253731,2.985075,-0.000000,0.000000
0.020000,0.289288,24.000000,0.289353,1.313433,2.985075,0.000000,0.000000
0.020000,0.316154,24.000000,0.316219,1.373134,2.985075,0.000000,0.000000
0.020000,0.344214,24.000000,0.344279,1.432836,2.985075,-0.000000,0.000000
0.020000,0.373467,24.000000,0.373532,1.492537,2.985075,0.000000,0.000000
0.020000,0.403915,24.000000,0.403980,1.552239,2.985075,0.000000,0.000000
0.020000,0.435557,24.000000,0.435622,1.611940,2.985075,-0.000000,0.000000
0.020000,0.468393,24.000000,0.468458,1.671642,2.985075,0.000000,0.000000
0.020000,0.502423,24.000000,0.502488,1.731343,2.985075,-0.000000,0.000000
0.020000,0.537646,24.000000,0.537711,1.791045,2.985075,0.000000,0.000000
0.020000,0.574064,24.000000,0.574129,1.850746,2.985075,-0.000000,0.000000
0.020000,0.611676,24.000000,0.611741,1.910448,2.985075,0.000000,0.000000
0.020000,0.650482,24.000000,0.650547,1.970149,2.985075,0.000000,0.000000
0.020000,0.690482,24.000000,0.690547,2.029851,2.985075,-0.000000,0.000000
0.020000,0.731676,24.000000,0.731741,2.089552,2.985075,0.000000,0.000000
0.020000,0.774064,24.000000,0.774129,2.149254,2.985075,-0.000000,0.000000
0.020000,0.817646,24.000000,0.817711,2.208955,2.985075,0.000000,0.000000
0.020000,0.862423,24.000000,0.862488,2.268657,2.985075,0.000000,0.000000
0.020000,0.908393,24.000000,0.908458,2.328358,2.985075,0.000000,0.000000
0.020000,0.955557,24.000000,0.955622,2.388060,2.985075,0.000000,0.000000
0.020000,1.003915,24.000000,1.003980,2.447761,2.985075,-0.000000,0.000000
0.020000,1.053467,24.000000,1.053532,2.507463,2.985075,0.000000,0.000000
0.020000,1.104214,24.000000,1.104279,2.567164,2.985075,-0.000000,0.000000
0.020000,1.156154,24.000000,1.156219,2.626866,2.985075,0.000000,0.000000
0.020000,1.209288,24.000000,1.209353,2.686567,2.985075,-0.000000,0.000000
0.020000,1.263617,24.000000,1.263682,2.746269,2.985075,0.000000,0.000000
0.020000,1.319139,24.000000,1.319204,2.805970,2.985075,-0.000000,0.000000
0.020000,1.375855,24.000000,1.375920,2.865672,2.985075,0.000000,0.000000
0.020000,1.433766,24.000000,1.433831,2.925373,2.985075,0.000000,0.000000
0.020000,1.492870,24.000000,1.492935,2.985075,2.985075,-0.000000,0.000000
0.020000,1.553169,24.000000,1.553234,3.044776,2.985075,0.000000,0.000000
0.020000,1.614661,24.000000,1.614726,3.104478,2.985075,-0.000000,0.000000
0.020000,1.677348,24.000000,1.677413,3.164179,2.985075,0.000000,0.000000
0.020000,1.741229,24.000000,1.741294,3.223881,2.985075,0.000000,0.000000
0.020000,1.806303,24.000000,1.806368,3.283582,2.985075,-0.000000,0.000000
0.020000,1.872572,24.000000,1.872637,3.343284,2.985075,0.000000,0.000000
0.020000,1.940035,24.000000,1.940100,3.402985,2.985075,-0.000000,0.000000
0.020000,2.008691,24.000000,2.008756,3.462687,2.985075,0.000000,0.000000
0.020000,2.078542,24.000000,2.078607,3.522388,2.985075,0.000000,0.000000
0.020000,2.149587,24.000000,2.149652,3.582090,2.985075,0.000000,0.000000
0.020000,2.221826,24.000000,2.221891,3.641791,2.985075,0.000000,0.000000
0.020000,2.295258,24.000000,2.295323,3.701493,2.985075,-0.000000,0.000000
0.020000,2.369885,24.000000,2.369950,3.761194,2.985075,0.000000,0.000000
0.020000,2.445706,24.000000,2.445771,3.820896,2.985075,0.000000,0.000000
0.020000,2.522721,24.000000,2.522786,3.880597,2.985075,0.000000,0.000000
0.020000,2.600930,24.000000,2.600995,3.940299,2.985075,0.000000,0.000000
0.020000,2.680134,24.000000,2.680199,3.980100,1.990050,-49.751244,0.000000
0.020000,2.759935,24.000000,2.760000,4.000000,0.995025,-49.751244,0.000000
0.020000,2.839935,24.000000,2.840000,4.000000,0.000000,-49.751244,0.000000
0.020000,2.919935,24.000000,2.920000,4.000000,0.000000,0.000000,0.000000
0.020000,2.999935,24.000000,3.000000,4.000000,0.000000,0.000000,0.000000
0.020000,3.079935,24.000000,3.080000,4.000000,0.000000,0.000000,0.000000
0.020000,3.159935,24.000000,3.160000,4.000000,0.000000,0.000000,0.000000
0.020000,3.239935,24.000000,3.240000,4.000000,0.000000,0.000000,0.000000
0.020000,3.319935,24.000000,3.320000,4.000000,0.000000,0.000000,0.000000
0.020000,3.399935,24.000000,3.400000,4.000000,0.000000,0.000000,0.000000
0.020000,3.479935,24.000000,3.480000,4.000000,0.000000,0.000000,0.000000
0.020000,3.559935,24.000000,3.560000,4.000000,0.000000,0.000000,0.000000
0.020000,3.639935,24.000000,3.640000,4.000000,0.000000,0.000000,0.000000
0.020000,3.719935,24.000000,3.720000,4.000000,0.000000,0.000000,0.000000
0.020000,3.799935,24.000000,3.800000,4.000000,0.000000,0.000000,0.000000
0.020000,3.879935,24.000000,3.880000,4.000000,0.000000,0.000000,0.000000
0.020000,3.959935,24.000000,3.960000,4.000000,0.000000,0.000000,0.000000
0.020000,4.039935,24.000000,4.040000,4.000000,0.000000,0.000000,0.000000
0.020000,4.119935,24.000000,4.120000,4.000000,0.000000,0.000000,0.000000
0.020000,4.199935,24.000000,4.200000,4.000000,0.000000,0.000000,0.000000
0.020000,4.279935,24.000000,4.280000,4.000000,0.000000,0.000000,0.000000
0.020000,4.359935,24.000000,4.360000,4.000000,0.000000,0.000000,0.000000
0.020000,4.439935,24.000000,4.440000,4.000000,0.000000,0.000000,0.000000
0.020000,4.519935,24.000000,4.520000,4.000000,0.000000,0.000000,0.000000
0.020000,4.599935,24.000000,4.600000,4.000000,0.000000,0.000000,0.000000
0.020000,4.679935,24.000000,4.680000,4.000000,0.000000,0.000000,0.000000
0.020000,4.759935,24.000000,4.760000,4.000000,0.000000,0.000000,0.000000
0.020000,4.839935,24.000000,4.840000,4.000000,0.000000,0.000000,0.000000
0.020000,4.919935,24.000000,4.920000,4.000000,0.000000,0.000000,0.000000
0.020000,4.999935,24.000000,5.000000,4.000000,0.000000,0.000000,0.000000
0.020000,5.079935,24.000000,5.080000,4.000000,0.000000,0.000000,0.000000
0.020000,5.159935,24.000000,5.160000,4.000000,0.000000,0.000000,0.000000
0.020000,5.239935,24.000000,5.240000,4.000000,0.000000,0.000000,0.000000
0.020000,5.319935,24.000000,5.320000,4.000000,0.000000,0.000000,0.000000
0.020000,5.399935,24.000000,5.400000,4.000000,0.000000,0.000000,0.000000
