dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,11.083330,0.000200,0.020000,1.000000,50.000000,0.000000
0.020000,0.000843,11.083330,0.001043,0.042167,1.108340,5.416975,6.283145
0.020000,0.002530,11.083330,0.002730,0.084334,2.108379,50.001950,6.283065
0.020000,0.005060,11.083329,0.005260,0.126503,2.108457,0.003902,6.282945
0.020000,0.008434,11.083328,0.008634,0.168675,2.108574,0.005858,6.282785
0.020000,0.012651,11.083326,0.012851,0.210850,2.108730,0.007817,6.282585
0.020000,0.017711,11.083323,0.017911,0.253028,2.108926,0.009783,6.282344
0.020000,0.023615,11.083317,0.023815,0.295211,2.109161,0.011757,6.282063
0.020000,0.030363,11.083308,0.030563,0.337400,2.109436,0.013740,6.281742
0.020000,0.037955,11.083296,0.038155,0.379595,2.109750,0.015734,6.281380
0.020000,0.046391,11.083279,0.046591,0.421797,2.110105,0.017741,6.280978
0.020000,0.055671,11.083256,0.055871,0.464007,2.110500,0.019761,6.280535
0.020000,0.065796,11.083227,0.065996,0.506226,2.110936,0.021797,6.280051
0.020000,0.076765,11.083190,0.076965,0.548454,2.111413,0.023850,6.279525
0.020000,0.088579,11.083143,0.088779,0.590693,2.111932,0.025922,6.278959
0.020000,0.101237,11.083086,0.101438,0.632943,2.112493,0.028055,6.278351
0.020000,0.114741,11.083016,0.114942,0.675205,2.113096,0.030132,6.277701
0.020000,0.129091,11.082932,0.129291,0.717479,2.113740,0.032236,6.277009
0.020000,0.144286,11.082833,0.144487,0.759768,2.114431,0.034519,6.276274
0.020000,0.160327,11.082716,0.160528,0.802071,2.115162,0.036577,6.275498
0.020000,0.177214,11.082579,0.177416,0.844390,2.115941,0.038945,6.274678
0.020000,0.194948,11.082421,0.195150,0.886725,2.116762,0.041064,6.273816
0.020000,0.213528,11.082238,0.213732,0.929078,2.117631,0.043441,6.272910
0.020000,0.232956,11.082029,0.233161,0.971449,2.118546,0.045760,6.271960
0.020000,0.253232,11.081792,0.253438,1.013839,2.119509,0.048112,6.270966
0.020000,0.274355,11.081523,0.274563,1.056249,2.120519,0.050501,6.269927
0.020000,0.296326,11.081219,0.296536,1.098681,2.121577,0.052926,6.268844
0.020000,0.319146,11.080879,0.319359,1.141135,2.122688,0.055532,6.267715
0.020000,0.342816,11.080499,0.343031,1.183612,2.123846,0.057899,6.266541
0.020000,0.367334,11.080076,0.367554,1.226113,2.125058,0.060595,6.265320
0.020000,0.392703,11.079607,0.392926,1.268639,2.126322,0.063198,6.264053
0.020000,0.418921,11.079088,0.419150,1.311192,2.127639,0.065845,6.262739
0.020000,0.445991,11.078516,0.446226,1.353772,2.129013,0.068698,6.261377
0.020000,0.473911,11.077887,0.474153,1.396381,2.130439,0.071344,6.259967
0.020000,0.502683,11.077198,0.502934,1.439019,2.131925,0.074283,6.258508
0.020000,0.532308,11.076444,0.532567,1.481689,2.133469,0.077213,6.257000
