dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,8.916670,0.000200,0.020000,1.000000,50.000000,0.000000
0.020000,0.000757,8.916670,0.000957,0.037833,0.891660,-5.416975,6.283145
0.020000,0.002270,8.916670,0.002470,0.075666,1.891621,49.998050,6.283065
0.020000,0.004540,8.916669,0.004740,0.113497,1.891543,-0.003902,6.282945
0.020000,0.007566,8.916668,0.007766,0.151325,1.891426,-0.005857,6.282785
0.020000,0.011349,8.916667,0.011549,0.189150,1.891270,-0.007817,6.282585
0.020000,0.015889,8.916663,0.016089,0.226972,1.891074,-0.009783,6.282344
0.020000,0.021185,8.916658,0.021385,0.264789,1.890839,-0.011757,6.282063
0.020000,0.027237,8.916650,0.027437,0.302600,1.890564,-0.013741,6.281742
0.020000,0.034045,8.916639,0.034245,0.340405,1.890250,-0.015735,6.281380
0.020000,0.041609,8.916624,0.041809,0.378203,1.889895,-0.017743,6.280978
0.020000,0.049929,8.916604,0.050129,0.415993,1.889499,-0.019764,6.280535
0.020000,0.059004,8.916578,0.059204,0.453774,1.889063,-0.021803,6.280051
0.020000,0.068835,8.916544,0.069035,0.491546,1.888586,-0.023859,6.279525
0.020000,0.079421,8.916503,0.079621,0.529307,1.888068,-0.025934,6.278959
0.020000,0.090762,8.916451,0.090962,0.567057,1.887508,-0.027995,6.278351
0.020000,0.102858,8.916389,0.103058,0.604795,1.886905,-0.030149,6.277701
0.020000,0.115708,8.916314,0.115909,0.642521,1.886258,-0.032325,6.277009
0.020000,0.129312,8.916225,0.129513,0.680232,1.885570,-0.034389,6.276274
0.020000,0.143670,8.916120,0.143872,0.717929,1.884836,-0.036710,6.275498
0.020000,0.158782,8.915998,0.158984,0.755610,1.884060,-0.038808,6.274678
0.020000,0.174647,8.915856,0.174850,0.793275,1.883236,-0.041189,6.273816
0.020000,0.191265,8.915693,0.191468,0.830922,1.882368,-0.043403,6.272910
0.020000,0.208635,8.915506,0.208839,0.868551,1.881453,-0.045736,6.271960
0.020000,0.226757,8.915293,0.226962,0.906161,1.880491,-0.048110,6.270966
