dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,10.000000,0.000200,0.020000,1.000000,50.000000,0.000000
0.020000,0.000800,10.000000,0.001000,0.060000,2.000000,50.000000,6.283145
0.020000,0.002400,10.000000,0.002600,0.100000,2.000000,0.000000,6.283065
0.020000,0.004800,9.999999,0.005000,0.140000,2.000000,0.000000,6.282945
0.020000,0.008000,9.999998,0.008200,0.180000,2.000000,-0.000000,6.282785
0.020000,0.012000,9.999996,0.012200,0.220000,2.000000,0.000000,6.282585
0.020000,0.016800,9.999993,0.017000,0.260000,2.000000,0.000000,6.282344
0.020000,0.022400,9.999987,0.022600,0.300000,2.000000,-0.000000,6.282063
0.020000,0.028800,9.999979,0.029000,0.340000,2.000000,0.000000,6.281742
0.020000,0.036000,9.999968,0.036200,0.380000,2.000000,-0.000000,6.281380
0.020000,0.044000,9.999951,0.044200,0.420000,2.000000,0.000000,6.280978
0.020000,0.052800,9.999930,0.053000,0.460000,2.000000,0.000000,6.280535
0.020000,0.062400,9.999902,0.062600,0.500000,2.000000,-0.000000,6.280051
0.020000,0.072800,9.999867,0.073000,0.540000,2.000000,0.000000,6.279525
0.020000,0.084000,9.999823,0.084200,0.580000,2.000000,-0.000000,6.278959
0.020000,0.096000,9.999768,0.096200,0.620000,2.000000,0.000000,6.278351
0.020000,0.108799,9.999702,0.109000,0.660000,2.000000,0.000000,6.277701
0.020000,0.122399,9.999623,0.122600,0.700000,2.000000,-0.000000,6.277009
0.020000,0.136799,9.999529,0.137000,0.740000,2.000000,0.000000,6.276274
0.020000,0.151999,9.999418,0.152200,0.780000,2.000000,0.000000,6.275498
0.020000,0.167998,9.999288,0.168200,0.820000,2.000000,-0.000000,6.274678
0.020000,0.184797,9.999138,0.185000,0.860000,2.000000,0.000000,6.273816
0.020000,0.202396,9.998965,0.202600,0.900000,2.000000,0.000000,6.272910
0.020000,0.220795,9.998768,0.221000,0.940000,2.000000,-0.000000,6.271960
0.020000,0.239994,9.998543,0.240200,0.980000,2.000000,0.000000,6.270966
0.020000,0.259992,9.998288,0.260200,1.020000,2.000000,0.000000,6.269927
0.020000,0.280790,9.998001,0.281000,1.060000,2.000000,0.000000,6.268844
0.020000,0.302388,9.997679,0.302600,1.100000,2.000000,0.000000,6.267715
0.020000,0.324785,9.997319,0.325000,1.140000,2.000000,-0.000000,6.266541
0.020000,0.347982,9.996919,0.348200,1.180000,2.000000,0.000000,6.265320
0.020000,0.371978,9.996475,0.372200,1.220000,2.000000,0.000000,6.264053
0.020000,0.396773,9.995984,0.397000,1.260000,2.000000,0.000000,6.262739
0.020000,0.422367,9.995443,0.422600,1.300000,2.000000,0.000000,6.261377
0.020000,0.448760,9.994849,0.449000,1.340000,2.000000,0.000000,6.259967
0.020000,0.475953,9.994198,0.476200,1.380000,2.000000,-0.000000,6.258508
0.020000,0.503944,9.993486,0.504200,1.420000,2.000000,0.000000,6.257000
0.020000,0.532733,9.992709,0.533000,1.460000,2.000000,0.000000,6.255442
0.020000,0.562321,9.991864,0.562600,1.500000,2.000000,0.000000,6.253833
0.020000,0.592707,9.990947,0.593000,1.540000,2.000000,0.000000,6.252174
0.020000,0.623891,9.989953,0.624200,1.580000,2.000000,0.000000,6.250462
0.020000,0.655873,9.988878,0.656200,1.620000,2.000000,0.000000,6.248699
0.020000,0.688653,9.987717,0.689000,1.660000,2.000000,-0.000000,6.246882
0.020000,0.722229,9.986466,0.722600,1.700000,2.000000,0.000000,6.245011
0.020000,0.756603,9.985120,0.757000,1.740000,2.000000,0.000000,6.243085
0.020000,0.791773,9.983674,0.792200,1.780000,2.000000,0.000000,6.241104
0.020000,0.827740,9.982123,0.828200,1.820000,2.000000,0.000000,6.239067
0.020000,0.864502,9.980462,0.865000,1.860000,2.000000,0.000000,6.236972
