dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000490,4.705500,0.000625,0.025000,0.500000,10.000000,0.000000
0.050000,0.002990,4.705500,0.003125,0.050000,0.500000,0.000000,0.000000
0.050000,0.008615,4.705500,0.008750,0.112500,1.250000,15.000000,0.000000
0.050000,0.018615,4.705500,0.018750,0.200000,1.750000,10.000000,0.000000
0.050000,0.034240,4.705500,0.034375,0.312500,2.250000,10.000000,0.000000
0.050000,0.056740,4.705500,0.056875,0.450000,2.750000,10.000000,0.000000
0.050000,0.087365,4.705500,0.087500,0.612500,3.250000,10.000000,0.000000
0.050000,0.127365,4.705500,0.127500,0.800000,3.750000,10.000000,0.000000
0.050000,0.177365,4.705500,0.177500,1.000000,4.000000,5.000000,0.000000
0.050000,0.237365,4.705500,0.237500,1.200000,4.000000,0.000000,0.000000
0.050000,0.307365,4.705500,0.307500,1.400000,4.000000,0.000000,0.000000
0.050000,0.387365,4.705500,0.387500,1.600000,4.000000,0.000000,0.000000
0.050000,0.477365,4.705500,0.477500,1.800000,4.000000,-0.000000,0.000000
0.050000,0.577365,4.705500,0.577500,2.000000,4.000000,0.000000,0.000000
0.050000,0.687365,4.705500,0.687500,2.200000,4.000000,0.000000,0.000000
0.050000,0.807365,4.705500,0.807500,2.400000,4.000000,0.000000,0.000000
0.050000,0.937365,4.705500,0.937500,2.600000,4.000000,0.000000,0.000000
0.050000,1.077365,4.705500,1.077500,2.800000,4.000000,-0.000000,0.000000
0.050000,1.227365,4.705500,1.227500,3.000000,4.000000,-0.000000,0.000000
0.050000,1.387365,4.705500,1.387500,3.200000,4.000000,0.000000,0.000000
0.050000,1.557365,4.705500,1.557500,3.400000,4.000000,-0.000000,0.000000
0.050000,1.737365,4.705500,1.737500,3.600000,4.000000,-0.000000,0.000000
0.050000,1.927365,4.705500,1.927500,3.800000,4.000000,-0.000000,0.000000
0.050000,2.127365,4.705500,2.127500,4.000000,4.000000,0.000000,0.000000
0.050000,2.337365,4.705500,2.337500,4.200000,4.000000,-0.000000,0.000000
0.050000,2.557365,4.705500,2.557500,4.400000,4.000000,0.000000,0.000000
0.050000,2.787365,4.705500,2.787500,4.600000,4.000000,-0.000000,0.000000
0.050000,3.027365,4.705500,3.027500,4.800000,4.000000,0.000000,0.000000
0.050000,3.277365,4.705500,3.277500,5.000000,4.000000,0.000000,0.000000
0.050000,3.537365,4.705500,3.537500,5.200000,4.000000,-0.000000,0.000000
0.050000,3.807365,4.705500,3.807500,5.400000,4.000000,0.000000,0.000000
0.050000,4.087365,4.705500,4.087500,5.600000,4.000000,-0.000000,0.000000
0.050000,4.377365,4.705500,4.377500,5.800000,4.000000,0.000000,0.000000
0.050000,4.677365,4.705500,4.677500,6.000000,4.000000,-0.000000,0.000000
0.050000,4.987365,4.705500,4.987500,6.200000,4.000000,0.000000,0.000000
0.050000,5.307365,4.705500,5.307500,6.400000,4.000000,0.000000,0.000000
0.050000,5.637365,4.705500,5.637500,6.600000,4.000000,0.000000,0.000000
0.050000,5.977365,4.705500,5.977500,6.800000,4.000000,-0.000000,0.000000
0.050000,6.327365,4.705500,6.327500,7.000000,4.000000,0.000000,0.000000
0.050000,6.687365,4.705500,6.687500,7.200000,4.000000,0.000000,0.000000
0.050000,7.057365,4.705500,7.057500,7.400000,4.000000,0.000000,0.000000
0.050000,7.437365,4.705500,7.437500,7.600000,4.000000,-0.000000,0.000000
0.050000,7.827365,4.705500,7.827500,7.800000,4.000000,-0.000000,0.000000
0.050000,8.227365,4.705500,8.227500,8.000000,4.000000,-0.000000,0.000000
0.050000,8.637365,4.705500,8.637500,8.200000,4.000000,0.000000,0.000000
0.050000,9.057365,4.705500,9.057500,8.400000,4.000000,0.000000,0.000000
0.050000,9.487365,4.705500,9.487500,8.600000,4.000000,0.000000,0.000000
0.050000,9.927365,4.705500,9.927500,8.800000,4.000000,-0.000000,0.000000
0.050000,10.377365,4.705500,10.377500,9.000000,4.000000,0.000000,0.000000
0.050000,10.837365,4.705500,10.837500,9.200000,4.000000,-0.000000,0.000000
0.050000,11.306740,4.705500,11.306875,9.387500,3.750000,-5.000000,0.000000
0.050000,11.784240,4.705500,11.784375,9.550000,3.250000,-10.000000,0.000000
0.050000,12.268615,4.705500,12.268750,9.687500,2.750000,-10.000000,0.000000
0.050000,12.758615,4.705500,12.758750,9.800000,2.250000,-10.000000,0.000000
0.050000,13.252990,4.705500,13.253125,9.887500,1.750000,-10.000000,0.000000
0.050000,13.727860,4.707589,13.728000,9.497501,-7.799971,-190.999412,0.018593
0.050000,14.176657,4.725018,14.177135,8.982694,-10.296140,-49.923380,0.060242
0.050000,14.615995,4.761997,14.618026,8.817833,-3.297232,139.978142,0.109238
0.050000,15.041856,4.820840,15.047933,8.598138,-4.393903,-21.933402,0.167332
0.050000,15.449750,4.903855,15.464189,8.325117,-5.460419,-21.330331,0.236732
0.050000,15.834108,5.013034,15.863753,7.991277,-6.676790,-24.327424,0.319951
0.050000,16.188645,5.149646,16.243700,7.598932,-7.846902,-23.402239,0.419409
0.050000,16.507494,5.313979,16.602406,7.174127,-8.496108,-12.984115,0.536447
0.050000,16.787151,5.505843,16.941551,6.782904,-7.824447,13.433220,0.669672
0.050000,17.028081,5.726161,17.268029,6.529553,-5.067036,55.148219,0.813381
0.050000,17.233902,5.978320,17.593523,6.509874,-0.393572,93.469275,0.957903
0.050000,17.408244,6.266755,17.930554,6.740622,4.614969,100.170826,1.092878
0.050000,17.552800,6.593439,18.287791,7.144753,8.082613,69.352874,1.211131
0.050000,17.668220,6.956141,18.668416,7.612485,9.354632,25.440390,1.310028
0.050000,17.755733,7.349674,19.071562,8.062926,9.008821,-6.916230,1.390282
0.050000,17.817723,7.768053,19.494508,8.458928,7.920040,-21.775615,1.454141
0.050000,17.857438,8.205923,19.934176,8.793346,6.688374,-24.633327,1.504151
0.050000,17.878507,8.659083,20.387825,9.072983,5.592741,-21.912660,1.542577
0.050000,17.884598,9.124490,20.853272,9.308948,4.719287,-17.469065,1.571226
0.050000,17.879257,9.600082,21.328894,9.512433,4.069709,-12.991571,1.591442
0.050000,17.865873,10.084567,21.813563,9.693387,3.619078,-9.012621,1.604157
0.050000,17.847722,10.577254,22.306584,9.860423,3.340715,-5.567250,1.609945
0.050000,17.828076,11.077363,22.807079,10.009901,2.989563,-7.023042,1.609071
0.050000,17.810310,11.583823,23.313851,10.135435,2.510684,-9.577577,1.601544
0.050000,17.797957,12.095731,23.825908,10.241145,2.114205,-7.929592,1.587148
0.050000,17.794500,12.605854,24.336043,10.202691,-0.769082,-57.665744,1.570796
0.050000,17.794500,13.090827,24.821016,9.699456,-10.064716,-185.912679,1.570796
0.050000,17.794500,13.569058,25.299246,9.564612,-2.696864,147.357042,1.570796
0.050000,17.794500,14.039296,25.769485,9.404769,-3.196864,-10.000000,1.570796
0.050000,17.794500,14.500292,26.230481,9.219926,-3.696864,-10.000000,1.570796
0.050000,17.794500,14.951355,26.681544,9.021254,-3.973432,-5.531357,1.570796
0.050000,17.794500,15.392418,27.122606,8.821254,-4.000000,-0.531357,1.570796
0.050000,17.794500,15.823481,27.553669,8.621254,-4.000000,0.000000,1.570796
0.050000,17.795392,16.253225,27.983414,8.594899,-0.527101,69.457984,1.563510
0.050000,17.801763,16.683280,28.413516,8.602046,0.142945,13.400922,1.547713
0.050000,17.815719,17.108524,28.838990,8.509466,-1.851619,-39.891293,1.527457
0.050000,17.839084,17.529274,29.260388,8.427964,-1.630035,4.431686,1.502284
0.050000,17.873896,17.945904,29.678469,8.361631,-1.326652,6.067653,1.471562
0.050000,17.922509,18.358805,30.094223,8.315074,-0.931142,7.910209,1.434469
0.050000,17.987716,18.768314,30.508891,8.293351,-0.434457,9.933693,1.389974
0.050000,18.072874,19.174562,30.923969,8.301556,0.164086,11.970867,1.336831
0.050000,18.182020,19.577216,31.341153,8.343682,0.842522,13.568724,1.273628
0.050000,18.319867,19.975020,31.762164,8.420218,1.530735,13.764265,1.198932
0.050000,18.491525,20.365117,32.188359,8.523906,2.073746,10.860215,1.111609
0.050000,18.701648,20.742227,32.620057,8.633969,2.201267,2.550421,1.011388
0.050000,18.952789,21.098135,33.055652,8.711885,1.558316,-12.859026,0.899602
0.050000,19.243252,21.422328,33.490933,8.705621,-0.125276,-33.671833,0.779752
0.050000,19.565689,21.704407,33.919341,8.568176,-2.748907,-52.472626,0.657301
0.050000,19.908026,21.937479,34.333488,8.282927,-5.704976,-59.121375,0.538406
0.050000,20.256709,22.120317,34.727200,7.874254,-8.173451,-49.369516,0.428203
0.050000,20.600175,22.256896,35.096825,7.392490,-9.635285,-29.236667,0.329729
0.050000,20.930574,22.354158,35.441243,6.888368,-10.082451,-8.943315,0.243904
0.050000,21.243635,22.419754,35.761102,6.397173,-9.823891,5.171188,0.170185
0.050000,21.537640,22.460672,36.057941,5.936778,-9.207898,12.319866,0.107286
0.050000,21.812389,22.482728,36.333573,5.512651,-8.482549,14.506984,0.053696
0.050000,22.068444,22.490542,36.589748,5.123500,-7.783012,13.990734,0.007960
0.050000,22.306687,22.487710,36.828007,4.765182,-7.166366,12.332912,6.251981
0.050000,22.528070,22.477019,37.049649,4.432836,-6.646923,10.388860,6.218311
0.050000,22.733512,22.460635,37.255743,4.121866,-6.219389,8.550692,6.189246
0.050000,22.923838,22.440256,37.447158,3.828298,-5.871355,6.960683,6.164064
0.050000,23.099779,22.417222,37.624599,3.548839,-5.589197,5.643163,6.142178
0.050000,23.261962,22.392606,37.788640,3.280814,-5.360486,4.574202,6.123115
0.050000,23.410927,22.367272,37.939744,3.022077,-5.174742,3.714891,6.106489
0.050000,23.547134,22.341923,38.078289,2.770904,-5.023456,3.025709,6.091986
0.050000,23.670973,22.317133,38.204585,2.525911,-4.899863,2.471859,6.079349
0.050000,23.782776,22.293378,38.318884,2.285980,-4.798634,2.024589,6.068369
0.050000,23.882824,22.271048,38.421394,2.050200,-4.715591,1.660859,6.058873
0.050000,23.971355,22.250468,38.512285,1.817827,-4.647465,1.362516,6.050719
0.050000,24.048567,22.231904,38.591697,1.588242,-4.591701,1.115277,6.043793
0.050000,24.114625,22.215577,38.659744,1.360926,-4.546304,0.907954,6.038000
0.050000,24.169666,22.201666,38.716516,1.135441,-4.509717,0.731735,6.033264
0.050000,24.213800,22.190312,38.762086,0.911404,-4.480739,0.579553,6.029525
0.050000,24.247708,22.181470,38.797128,0.700854,-4.210992,5.394945,6.026686
0.050000,24.272720,22.174883,38.822993,0.517282,-3.671435,10.791150,6.024612
0.050000,24.290207,22.170244,38.841085,0.361852,-3.108601,11.256668,6.023171
0.050000,24.301529,22.167226,38.852803,0.234347,-2.550101,11.170004,6.022242
0.050000,24.308032,22.165488,38.859534,0.134624,-1.994462,11.112778,6.021710
0.050000,24.311056,22.164678,38.862664,0.062596,-1.440563,11.077985,6.021464
0.050000,24.311935,22.164443,38.863574,0.018217,-0.887583,11.059590,6.021392
0.050000,24.312006,22.164424,38.863648,0.001468,-0.334978,11.052109,6.021386
