dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000490,2.294500,0.000625,0.025000,0.500000,10.000000,0.000000
0.050000,0.002990,2.294500,0.003125,0.050000,0.500000,0.000000,0.000000
0.050000,0.008615,2.294500,0.008750,0.112500,1.250000,15.000000,0.000000
0.050000,0.018615,2.294500,0.018750,0.200000,1.750000,10.000000,0.000000
0.050000,0.034240,2.294500,0.034375,0.312500,2.250000,10.000000,0.000000
0.050000,0.056740,2.294500,0.056875,0.450000,2.750000,10.000000,0.000000
0.050000,0.087365,2.294500,0.087500,0.612500,3.250000,10.000000,0.000000
0.050000,0.127365,2.294500,0.127500,0.800000,3.750000,10.000000,0.000000
0.050000,0.177365,2.294500,0.177500,1.000000,4.000000,5.000000,0.000000
0.050000,0.237365,2.294500,0.237500,1.200000,4.000000,0.000000,0.000000
0.050000,0.307365,2.294500,0.307500,1.400000,4.000000,0.000000,0.000000
0.050000,0.387365,2.294500,0.387500,1.600000,4.000000,0.000000,0.000000
0.050000,0.477365,2.294500,0.477500,1.800000,4.000000,-0.000000,0.000000
0.050000,0.577365,2.294500,0.577500,2.000000,4.000000,0.000000,0.000000
0.050000,0.687365,2.294500,0.687500,2.200000,4.000000,0.000000,0.000000
0.050000,0.807365,2.294500,0.807500,2.400000,4.000000,0.000000,0.000000
0.050000,0.937365,2.294500,0.937500,2.600000,4.000000,0.000000,0.000000
0.050000,1.077365,2.294500,1.077500,2.800000,4.000000,-0.000000,0.000000
0.050000,1.227365,2.294500,1.227500,3.000000,4.000000,-0.000000,0.000000
0.050000,1.387365,2.294500,1.387500,3.200000,4.000000,0.000000,0.000000
0.050000,1.557365,2.294500,1.557500,3.400000,4.000000,-0.000000,0.000000
0.050000,1.737365,2.294500,1.737500,3.600000,4.000000,-0.000000,0.000000
0.050000,1.927365,2.294500,1.927500,3.800000,4.000000,-0.000000,0.000000
0.050000,2.127365,2.294500,2.127500,4.000000,4.000000,0.000000,0.000000
0.050000,2.337365,2.294500,2.337500,4.200000,4.000000,-0.000000,0.000000
0.050000,2.557365,2.294500,2.557500,4.400000,4.000000,0.000000,0.000000
0.050000,2.787365,2.294500,2.787500,4.600000,4.000000,-0.000000,0.000000
0.050000,3.027365,2.294500,3.027500,4.800000,4.000000,0.000000,0.000000
0.050000,3.277365,2.294500,3.277500,5.000000,4.000000,0.000000,0.000000
0.050000,3.537365,2.294500,3.537500,5.200000,4.000000,-0.000000,0.000000
0.050000,3.807365,2.294500,3.807500,5.400000,4.000000,0.000000,0.000000
0.050000,4.087365,2.294500,4.087500,5.600000,4.000000,-0.000000,0.000000
0.050000,4.377365,2.294500,4.377500,5.800000,4.000000,0.000000,0.000000
0.050000,4.677365,2.294500,4.677500,6.000000,4.000000,-0.000000,0.000000
0.050000,4.987365,2.294500,4.987500,6.200000,4.000000,0.000000,0.000000
0.050000,5.307365,2.294500,5.307500,6.400000,4.000000,0.000000,0.000000
0.050000,5.637365,2.294500,5.637500,6.600000,4.000000,0.000000,0.000000
0.050000,5.977365,2.294500,5.977500,6.800000,4.000000,-0.000000,0.000000
0.050000,6.327365,2.294500,6.327500,7.000000,4.000000,0.000000,0.000000
0.050000,6.687365,2.294500,6.687500,7.200000,4.000000,0.000000,0.000000
0.050000,7.057365,2.294500,7.057500,7.400000,4.000000,0.000000,0.000000
0.050000,7.437365,2.294500,7.437500,7.600000,4.000000,-0.000000,0.000000
0.050000,7.827365,2.294500,7.827500,7.800000,4.000000,-0.000000,0.000000
0.050000,8.227365,2.294500,8.227500,8.000000,4.000000,-0.000000,0.000000
0.050000,8.637365,2.294500,8.637500,8.200000,4.000000,0.000000,0.000000
0.050000,9.057365,2.294500,9.057500,8.400000,4.000000,0.000000,0.000000
0.050000,9.487365,2.294500,9.487500,8.600000,4.000000,0.000000,0.000000
