dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000490,3.500000,0.000625,0.025000,0.500000,10.000000,0.000000
0.050000,0.002990,3.500000,0.003125,0.075000,1.000000,10.000000,0.000000
0.050000,0.008615,3.500000,0.008750,0.150000,1.500000,10.000000,0.000000
0.050000,0.018615,3.500000,0.018750,0.250000,2.000000,10.000000,0.000000
0.050000,0.034240,3.500000,0.034375,0.375000,2.500000,10.000000,0.000000
0.050000,0.056740,3.500000,0.056875,0.525000,3.000000,10.000000,0.000000
0.050000,0.087365,3.500000,0.087500,0.700000,3.500000,10.000000,0.000000
0.050000,0.127365,3.500000,0.127500,0.900000,4.000000,10.000000,0.000000
0.050000,0.177365,3.500000,0.177500,1.100000,4.000000,0.000000,0.000000
0.050000,0.237365,3.500000,0.237500,1.300000,4.000000,-0.000000,0.000000
0.050000,0.307365,3.500000,0.307500,1.500000,4.000000,0.000000,0.000000
0.050000,0.387365,3.500000,0.387500,1.700000,4.000000,0.000000,0.000000
0.050000,0.477365,3.500000,0.477500,1.900000,4.000000,-0.000000,0.000000
0.050000,0.577365,3.500000,0.577500,2.100000,4.000000,0.000000,0.000000
0.050000,0.687365,3.500000,0.687500,2.300000,4.000000,0.000000,0.000000
0.050000,0.807365,3.500000,0.807500,2.500000,4.000000,-0.000000,0.000000
0.050000,0.937365,3.500000,0.937500,2.700000,4.000000,0.000000,0.000000
0.050000,1.077365,3.500000,1.077500,2.900000,4.000000,-0.000000,0.000000
0.050000,1.227365,3.500000,1.227500,3.100000,4.000000,0.000000,0.000000
0.050000,1.387365,3.500000,1.387500,3.300000,4.000000,0.000000,0.000000
0.050000,1.557365,3.500000,1.557500,3.500000,4.000000,-0.000000,0.000000
0.050000,1.737365,3.500000,1.737500,3.700000,4.000000,0.000000,0.000000
0.050000,1.927365,3.500000,1.927500,3.900000,4.000000,0.000000,0.000000
0.050000,2.127365,3.500000,2.127500,4.100000,4.000000,-0.000000,0.000000
0.050000,2.337365,3.500000,2.337500,4.300000,4.000000,0.000000,0.000000
0.050000,2.557365,3.500000,2.557500,4.500000,4.000000,0.000000,0.000000
0.050000,2.787365,3.500000,2.787500,4.700000,4.000000,-0.000000,0.000000
0.050000,3.027365,3.500000,3.027500,4.900000,4.000000,0.000000,0.000000
0.050000,3.277365,3.500000,3.277500,5.100000,4.000000,-0.000000,0.000000
0.050000,3.537365,3.500000,3.537500,5.300000,4.000000,0.000000,0.000000
0.050000,3.807365,3.500000,3.807500,5.500000,4.000000,-0.000000,0.000000
0.050000,4.087365,3.500000,4.087500,5.700000,4.000000,0.000000,0.000000
0.050000,4.377365,3.500000,4.377500,5.900000,4.000000,0.000000,0.000000
0.050000,4.677365,3.500000,4.677500,6.100000,4.000000,0.000000,0.000000
0.050000,4.987365,3.500000,4.987500,6.300000,4.000000,0.000000,0.000000
0.050000,5.307365,3.500000,5.307500,6.500000,4.000000,0.000000,0.000000
0.050000,5.637365,3.500000,5.637500,6.700000,4.000000,0.000000,0.000000
0.050000,5.977365,3.500000,5.977500,6.900000,4.000000,-0.000000,0.000000
0.050000,6.327365,3.500000,6.327500,7.100000,4.000000,0.000000,0.000000
0.050000,6.687365,3.500000,6.687500,7.300000,4.000000,0.000000,0.000000
0.050000,7.057365,3.500000,7.057500,7.500000,4.000000,0.000000,0.000000
0.050000,7.437365,3.500000,7.437500,7.700000,4.000000,0.000000,0.000000
0.050000,7.827365,3.500000,7.827500,7.900000,4.000000,0.000000,0.000000
0.050000,8.227365,3.500000,8.227500,8.100000,4.000000,0.000000,0.000000
0.050000,8.637365,3.500000,8.637500,8.300000,4.000000,-0.000000,0.000000
0.050000,9.057365,3.500000,9.057500,8.500000,4.000000,0.000000,0.000000
0.050000,9.487365,3.500000,9.487500,8.700000,4.000000,-0.000000,0.000000
0.050000,9.927365,3.500000,9.927500,8.900000,4.000000,0.000000,0.000000
0.050000,10.377365,3.500000,10.377500,9.100000,4.000000,-0.000000,0.000000
0.050000,10.837365,3.500000,10.837500,9.300000,4.000000,0.000000,0.000000
0.050000,11.306740,3.500000,11.306875,9.475000,3.500000,-10.000000,0.000000
0.050000,11.784240,3.500000,11.784375,9.625000,3.000000,-10.000000,0.000000
0.050000,12.268615,3.500000,12.268750,9.750000,2.500000,-10.000000,0.000000
0.050000,12.758615,3.500000,12.758750,9.850000,2.000000,-10.000000,0.000000
0.050000,13.252990,3.500000,13.253125,9.925000,1.500000,-10.000000,0.000000
0.050000,13.750274,3.502298,13.750625,9.975000,1.000000,-10.000000,0.018593
