dt,x,y,position,velocity,acceleration,jerk,heading
0.015000,0.000014,11.083330,0.000075,0.009950,0.663350,44.223328,6.283173
0.015000,0.000154,11.083330,0.000215,0.009386,-0.037590,-46.729302,0.000017
0.015000,0.000753,11.083330,0.000814,0.039925,2.035896,138.232352,0.000084
0.015000,0.001751,11.083330,0.001812,0.066540,1.774328,-17.437863,0.000196
0.015000,0.003149,11.083331,0.003210,0.093152,1.774166,-0.010765,0.000353
0.015000,0.004945,11.083331,0.005006,0.119761,1.773936,-0.015332,0.000555
0.015000,0.007141,11.083333,0.007202,0.146366,1.773643,-0.019575,0.000802
0.015000,0.009735,11.083335,0.009796,0.172965,1.773287,-0.023727,0.001093
0.015000,0.012728,11.083339,0.012789,0.199558,1.772858,-0.028578,0.001430
0.015000,0.016121,11.083345,0.016182,0.226144,1.772369,-0.032636,0.001812
0.015000,0.019911,11.083352,0.019972,0.252721,1.771811,-0.037173,0.002239
0.015000,0.024101,11.083363,0.024162,0.279289,1.771190,-0.041400,0.002712
0.015000,0.028688,11.083376,0.028749,0.305846,1.770497,-0.046164,0.003230
0.015000,0.033674,11.083394,0.033735,0.332392,1.769743,-0.050304,0.003795
0.015000,0.039058,11.083416,0.039119,0.358926,1.768918,-0.055001,0.004405
0.015000,0.044840,11.083443,0.044901,0.385446,1.768026,-0.059472,0.005061
0.015000,0.051019,11.083477,0.051080,0.411952,1.767067,-0.063941,0.005763
0.015000,0.057595,11.083517,0.057657,0.438443,1.766040,-0.068435,0.006512
0.015000,0.064569,11.083565,0.064631,0.464917,1.764941,-0.073265,0.007308
0.015000,0.071939,11.083622,0.072001,0.491374,1.763777,-0.077633,0.008151
0.015000,0.079706,11.083689,0.079768,0.517812,1.762540,-0.082468,0.009041
0.015000,0.087869,11.083767,0.087932,0.544230,1.761233,-0.087107,0.009978
0.015000,0.096428,11.083856,0.096491,0.570628,1.759859,-0.091613,0.010964
0.015000,0.105383,11.083959,0.105446,0.597004,1.758408,-0.096748,0.011997
0.015000,0.114732,11.084076,0.114797,0.623358,1.756888,-0.101308,0.013079
0.015000,0.124477,11.084209,0.124542,0.649687,1.755296,-0.106163,0.014210
0.015000,0.134616,11.084359,0.134682,0.675992,1.753629,-0.111107,0.015389
0.015000,0.145148,11.084528,0.145216,0.702270,1.751890,-0.115923,0.016619
0.015000,0.156074,11.084716,0.156144,0.728521,1.750073,-0.121138,0.017898
0.015000,0.167394,11.084927,0.167465,0.754744,1.748186,-0.125790,0.019227
0.015000,0.179105,11.085160,0.179179,0.780937,1.746221,-0.131010,0.020607
0.015000,0.191209,11.085418,0.191285,0.807100,1.744176,-0.136368,0.022038
0.015000,0.203704,11.085703,0.203784,0.833231,1.742060,-0.141064,0.023520
0.015000,0.216590,11.086016,0.216674,0.859329,1.739860,-0.146624,0.025055
0.015000,0.229867,11.086359,0.229955,0.885392,1.737585,-0.151665,0.026642
0.015000,0.243533,11.086734,0.243626,0.911421,1.735227,-0.157192,0.028281
0.015000,0.257588,11.087144,0.257687,0.937413,1.732796,-0.162106,0.029975
0.015000,0.272032,11.087589,0.272138,0.963367,1.730274,-0.168110,0.031722
0.015000,0.286863,11.088073,0.286977,0.989282,1.727680,-0.172912,0.033523
0.015000,0.302082,11.088598,0.302204,1.015157,1.724995,-0.179044,0.035380
0.015000,0.317686,11.089165,0.317819,1.040990,1.722233,-0.184127,0.037293
0.015000,0.333676,11.089778,0.333821,1.066781,1.719384,-0.189918,0.039261
0.015000,0.350051,11.090437,0.350209,1.092528,1.716450,-0.195636,0.041286
0.015000,0.366809,11.091147,0.366982,1.118229,1.713435,-0.200970,0.043369
0.015000,0.383950,11.091909,0.384140,1.143884,1.710330,-0.207015,0.045510
0.015000,0.401474,11.092727,0.401683,1.169491,1.707137,-0.212885,0.047710
