dt,x,y,position,velocity,acceleration,jerk,heading
0.015000,-0.000014,8.916670,0.000075,0.009950,0.663350,44.223328,6.283173
0.015000,0.000192,8.916670,0.000280,0.013698,0.249864,-27.565751,0.000017
0.015000,0.000936,8.916670,0.001025,0.049627,2.395281,143.027806,0.000084
0.015000,0.002177,8.916670,0.002265,0.082714,2.205770,-12.634031,0.000196
0.015000,0.003914,8.916671,0.004002,0.115803,2.205935,0.010990,0.000353
0.015000,0.006147,8.916672,0.006236,0.148895,2.206161,0.015077,0.000555
0.015000,0.008877,8.916674,0.008966,0.181992,2.206455,0.019581,0.000802
0.015000,0.012104,8.916677,0.012192,0.215095,2.206818,0.024220,0.001093
0.015000,0.015827,8.916681,0.015915,0.248203,2.207238,0.028012,0.001430
0.015000,0.020047,8.916688,0.020135,0.281319,2.207731,0.032819,0.001812
0.015000,0.024763,8.916698,0.024851,0.314443,2.208287,0.037063,0.002239
0.015000,0.029977,8.916711,0.030065,0.347577,2.208913,0.041729,0.002712
0.015000,0.035688,8.916728,0.035776,0.380721,2.209599,0.045767,0.003230
0.015000,0.041896,8.916749,0.041984,0.413876,2.210359,0.050627,0.003795
0.015000,0.048601,8.916777,0.048690,0.447044,2.211181,0.054844,0.004405
0.015000,0.055805,8.916811,0.055893,0.480225,2.212072,0.059394,0.005061
0.015000,0.063506,8.916853,0.063594,0.513421,2.213032,0.064005,0.005763
0.015000,0.071705,8.916903,0.071794,0.546632,2.214062,0.068648,0.006512
0.015000,0.080403,8.916963,0.080492,0.579859,2.215156,0.072935,0.007308
0.015000,0.089599,8.917034,0.089688,0.613104,2.216324,0.077868,0.008151
0.015000,0.099294,8.917117,0.099384,0.646367,2.217558,0.082292,0.009041
0.015000,0.109489,8.917214,0.109579,0.679650,2.218864,0.087037,0.009978
0.015000,0.120182,8.917326,0.120273,0.712954,2.220244,0.092030,0.010964
0.015000,0.131376,8.917455,0.131467,0.746279,2.221689,0.096319,0.011997
