dt,x,y,position,velocity,acceleration,jerk,heading
0.015000,0.000000,10.000000,0.000075,0.009950,0.663350,44.223328,6.283173
0.015000,0.000173,10.000000,0.000373,0.029851,1.326700,44.223328,0.000017
0.015000,0.000845,10.000000,0.001045,0.059701,1.990050,44.223328,0.000084
0.015000,0.001964,10.000000,0.002164,0.089552,1.990050,-0.000000,0.000196
0.015000,0.003531,10.000001,0.003731,0.119403,1.990050,0.000000,0.000353
0.015000,0.005546,10.000002,0.005746,0.149254,1.990050,0.000000,0.000555
0.015000,0.008009,10.000003,0.008209,0.179104,1.990050,-0.000000,0.000802
0.015000,0.010919,10.000006,0.011119,0.208955,1.990050,0.000000,0.001093
0.015000,0.014278,10.000010,0.014478,0.238806,1.990050,-0.000000,0.001430
0.015000,0.018084,10.000016,0.018284,0.268657,1.990050,0.000000,0.001812
0.015000,0.022337,10.000025,0.022537,0.298507,1.990050,0.000000,0.002239
0.015000,0.027039,10.000037,0.027239,0.328358,1.990050,-0.000000,0.002712
0.015000,0.032188,10.000052,0.032388,0.358209,1.990050,0.000000,0.003230
0.015000,0.037785,10.000072,0.037985,0.388060,1.990050,0.000000,0.003795
0.015000,0.043830,10.000096,0.044030,0.417910,1.990050,0.000000,0.004405
0.015000,0.050322,10.000127,0.050522,0.447761,1.990050,-0.000000,0.005061
0.015000,0.057262,10.000165,0.057463,0.477612,1.990050,0.000000,0.005763
0.015000,0.064650,10.000210,0.064851,0.507463,1.990050,0.000000,0.006512
0.015000,0.072486,10.000264,0.072687,0.537313,1.990050,-0.000000,0.007308
0.015000,0.080769,10.000328,0.080970,0.567164,1.990050,0.000000,0.008151
0.015000,0.089500,10.000403,0.089701,0.597015,1.990050,0.000000,0.009041
0.015000,0.098679,10.000491,0.098881,0.626866,1.990050,-0.000000,0.009978
0.015000,0.108305,10.000591,0.108507,0.656716,1.990050,0.000000,0.010964
0.015000,0.118379,10.000707,0.118582,0.686567,1.990050,0.000000,0.011997
0.015000,0.128901,10.000839,0.129104,0.716418,1.990050,-0.000000,0.013079
0.015000,0.139870,10.000989,0.140075,0.746269,1.990050,0.000000,0.014210
0.015000,0.151287,10.001158,0.151493,0.776119,1.990050,0.000000,0.015389
0.015000,0.163151,10.001347,0.163358,0.805970,1.990050,-0.000000,0.016619
