dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000522,4.000000,0.000622,0.024888,0.497766,9.955326,0.000000
0.050000,0.003011,4.000000,0.003111,0.074665,0.995533,9.955326,0.000000
0.050000,0.008611,4.000000,0.008711,0.149330,1.493299,9.955326,0.000000
0.050000,0.018566,4.000000,0.018666,0.248883,1.991065,9.955326,0.000000
0.050000,0.034121,4.000000,0.034221,0.373325,2.488831,9.955326,0.000000
0.050000,0.056521,4.000000,0.056621,0.522655,2.986598,9.955326,0.000000
0.050000,0.087009,4.000000,0.087109,0.696873,3.484364,9.955326,0.000000
0.050000,0.126830,4.000000,0.126930,0.895979,3.982130,9.955326,0.000000
0.050000,0.176607,4.000000,0.176707,1.095086,3.982130,-0.000000,0.000000
0.050000,0.236339,4.000000,0.236439,1.294192,3.982130,0.000000,0.000000
0.050000,0.306026,4.000000,0.306126,1.493299,3.982130,-0.000000,0.000000
0.050000,0.385669,4.000000,0.385769,1.692405,3.982130,0.000000,0.000000
0.050000,0.475267,4.000000,0.475367,1.891512,3.982130,0.000000,0.000000
0.050000,0.574820,4.000000,0.574920,2.090618,3.982130,-0.000000,0.000000
0.050000,0.684329,4.000000,0.684429,2.289725,3.982130,-0.000000,0.000000
0.050000,0.803793,4.000000,0.803893,2.488831,3.982130,0.000000,0.000000
0.050000,0.933212,4.000000,0.933312,2.687938,3.982130,0.000000,0.000000
0.050000,1.072586,4.000000,1.072686,2.887044,3.982130,0.000000,0.000000
0.050000,1.221916,4.000000,1.222016,3.086151,3.982130,-0.000000,0.000000
0.050000,1.381201,4.000000,1.381301,3.285257,3.982130,0.000000,0.000000
0.050000,1.550442,4.000000,1.550542,3.484364,3.982130,0.000000,0.000000
0.050000,1.729638,4.000000,1.729738,3.683470,3.982130,0.000000,0.000000
0.050000,1.918789,4.000000,1.918889,3.882577,3.982130,-0.000000,0.000000
0.050000,2.117896,4.000000,2.117996,4.081684,3.982130,0.000000,0.000000
0.050000,2.326957,4.000000,2.327057,4.280790,3.982130,0.000000,0.000000
0.050000,2.545975,4.000000,2.546075,4.479897,3.982130,0.000000,0.000000
0.050000,2.774947,4.000000,2.775047,4.679003,3.982130,-0.000000,0.000000
0.050000,3.013875,4.000000,3.013975,4.878110,3.982130,0.000000,0.000000
0.050000,3.262136,4.000000,3.262236,5.052328,3.484364,-9.955326,0.000000
0.050000,3.518485,4.000000,3.518585,5.201658,2.986598,-9.955326,0.000000
0.050000,3.781679,4.000000,3.781779,5.326099,2.488831,-9.955326,0.000000
0.050000,4.050473,4.000000,4.050573,5.425652,1.991065,-9.955326,0.000000
0.050000,4.323622,4.000000,4.323722,5.500317,1.493299,-9.955326,0.000000
0.050000,4.599883,4.000000,4.599983,5.550094,0.995533,-9.955326,0.000000
0.050000,4.878010,4.000000,4.878110,5.574982,0.497766,-9.955326,0.000000
0.050000,5.156681,4.000000,5.156781,5.571869,-0.062265,-11.200620,0.000000
0.050000,5.434574,4.000000,5.434674,5.543868,-0.560031,-9.955326,0.000000
0.050000,5.710445,4.000000,5.710545,5.490978,-1.057797,-9.955326,0.000000
0.050000,5.983050,4.000000,5.983150,5.413200,-1.555564,-9.955326,0.000000
0.050000,6.251143,4.000000,6.251243,5.310533,-2.053330,-9.955326,0.000000
0.050000,6.513481,4.000000,6.513581,5.182978,-2.551096,-9.955326,0.000000
0.050000,6.768819,4.000000,6.768919,5.030535,-3.048862,-9.955326,0.000000
0.050000,7.015912,4.000000,7.016012,4.853204,-3.546629,-9.955326,0.000000
0.050000,7.253595,4.000000,7.253695,4.654097,-3.982130,-8.710032,0.000000
0.050000,7.481322,4.000000,7.481422,4.454991,-3.982130,0.000000,0.000000
0.050000,7.699094,4.000000,7.699194,4.255884,-3.982130,0.000000,0.000000
0.050000,7.906910,4.000000,7.907010,4.056778,-3.982130,-0.000000,0.000000
0.050000,8.104772,4.000000,8.104872,3.857671,-3.982130,0.000000,0.000000
0.050000,8.292677,4.000000,8.292777,3.658565,-3.982130,-0.000000,0.000000
0.050000,8.470628,4.000000,8.470728,3.459458,-3.982130,0.000000,0.000000
0.050000,8.638623,4.000000,8.638723,3.260352,-3.982130,0.000000,0.000000
0.050000,8.796663,4.000000,8.796763,3.061245,-3.982130,0.000000,0.000000
0.050000,8.944748,4.000000,8.944848,2.862139,-3.982130,0.000000,0.000000
0.050000,9.082877,4.000000,9.082977,2.663032,-3.982130,0.000000,0.000000
0.050000,9.211051,4.000000,9.211151,2.463926,-3.982130,-0.000000,0.000000
0.050000,9.329270,4.000000,9.329370,2.264819,-3.982130,0.000000,0.000000
0.050000,9.437533,4.000000,9.437633,2.065713,-3.982130,0.000000,0.000000
0.050000,9.535841,4.000000,9.535941,1.866606,-3.982130,-0.000000,0.000000
0.050000,9.624193,4.000000,9.624293,1.667499,-3.982130,0.000000,0.000000
0.050000,9.702591,4.000000,9.702691,1.468393,-3.982130,0.000000,0.000000
0.050000,9.771033,4.000000,9.771133,1.269286,-3.982130,-0.000000,0.000000
0.050000,9.829519,4.000000,9.829619,1.070180,-3.982130,0.000000,0.000000
0.050000,9.878051,4.000000,9.878151,0.871073,-3.982130,0.000000,0.000000
0.050000,9.916705,4.000000,9.916805,0.675080,-3.919866,1.245294,0.000000
0.050000,9.946181,4.000000,9.946281,0.503975,-3.422099,9.955326,0.000000
0.050000,9.967724,4.000000,9.967824,0.357759,-2.924333,9.955326,0.000000
0.050000,9.982579,4.000000,9.982679,0.236430,-2.426567,9.955326,0.000000
0.050000,9.991990,4.000000,9.992090,0.139990,-1.928800,9.955326,0.000000
0.050000,9.997200,4.000000,9.997300,0.068438,-1.431034,9.955326,0.000000
0.050000,9.999456,4.000000,9.999556,0.021775,-0.933268,9.955326,0.000000
0.050000,10.000000,4.000000,10.000100,0.000000,-0.435502,9.955326,0.000000
0.050000,10.000000,4.000000,10.000100,0.000000,0.000000,8.710032,0.000000
