dt,x,y,position,velocity,acceleration,jerk,heading
0.015000,0.000008,13.583333,0.000090,0.011999,0.799915,53.327698,6.283178
0.015000,0.000250,13.583333,0.000332,0.016141,0.276165,-34.916677,0.000070
0.015000,0.000870,13.583333,0.000952,0.041359,1.681190,93.668312,0.000245
0.015000,0.001973,13.583334,0.002055,0.073521,2.144150,30.864009,0.000557
0.015000,0.003696,13.583335,0.003778,0.114862,2.756040,40.792633,0.001043
0.015000,0.006108,13.583338,0.006190,0.160776,3.060919,20.325288,0.001724
0.015000,0.009208,13.583345,0.009290,0.206659,3.058855,-0.137568,0.002601
0.015000,0.012995,13.583357,0.013077,0.252502,3.056212,-0.176241,0.003673
0.015000,0.017470,13.583376,0.017552,0.298297,3.052989,-0.214860,0.004942
0.015000,0.022630,13.583405,0.022712,0.344034,3.049197,-0.252786,0.006409
0.015000,0.028475,13.583448,0.028558,0.389707,3.044838,-0.290606,0.008074
0.015000,0.035005,13.583507,0.035087,0.435306,3.039927,-0.327372,0.009938
0.015000,0.042217,13.583586,0.042300,0.480823,3.034470,-0.363818,0.012003
0.015000,0.050110,13.583689,0.050194,0.526250,3.028483,-0.399162,0.014269
0.015000,0.058682,13.583822,0.058767,0.571580,3.021978,-0.433659,0.016738
0.015000,0.067933,13.583989,0.068019,0.616804,3.014971,-0.467156,0.019412
0.015000,0.077860,13.584196,0.077948,0.661917,3.007483,-0.499136,0.022292
0.015000,0.088460,13.584449,0.088552,0.706910,2.999532,-0.530066,0.025380
0.015000,0.099733,13.584754,0.099828,0.751777,2.991145,-0.559156,0.028677
0.015000,0.111675,13.585117,0.111776,0.796512,2.982347,-0.586552,0.032185
0.015000,0.124284,13.585547,0.124393,0.841110,2.973171,-0.611748,0.035906
0.015000,0.137558,13.586050,0.137676,0.885564,2.963644,-0.635082,0.039843
0.015000,0.151494,13.586634,0.151624,0.929872,2.953812,-0.655493,0.043997
0.015000,0.166089,13.587309,0.166235,0.974027,2.943712,-0.673332,0.048370
0.015000,0.181340,13.588082,0.181505,1.018028,2.933392,-0.688012,0.052964
0.015000,0.197243,13.588964,0.197433,1.061872,2.922905,-0.699114,0.057783
0.015000,0.213796,13.589963,0.214016,1.105556,2.912303,-0.706800,0.062827
0.015000,0.230996,13.591091,0.231253,1.149081,2.901656,-0.709842,0.068099
0.015000,0.248838,13.592357,0.249139,1.192446,2.891027,-0.708569,0.073601
0.015000,0.267318,13.593773,0.267674,1.235654,2.880493,-0.702266,0.079336
0.015000,0.286434,13.595350,0.286855,1.278706,2.870137,-0.690377,0.085305
0.015000,0.306181,13.597100,0.306679,1.321607,2.860050,-0.672520,0.091511
0.015000,0.326554,13.599036,0.327144,1.364362,2.850325,-0.648320,0.097955
0.015000,0.347551,13.601170,0.348249,1.406978,2.841071,-0.616929,0.104640
0.015000,0.369166,13.603516,0.369991,1.449464,2.832398,-0.578171,0.111568
0.015000,0.391395,13.606087,0.392368,1.491830,2.824431,-0.531158,0.118740
0.015000,0.414234,13.608897,0.415380,1.534089,2.817298,-0.475545,0.126157
0.015000,0.437678,13.611962,0.439024,1.576257,2.811138,-0.410676,0.133821
0.015000,0.461724,13.615296,0.463299,1.618348,2.806096,-0.336086,0.141733
0.015000,0.486365,13.618915,0.488205,1.660383,2.802333,-0.250904,0.149894
0.015000,0.511598,13.622834,0.513740,1.702383,2.800004,-0.155245,0.158303
0.015000,0.537419,13.627071,0.539906,1.744372,2.799286,-0.047902,0.166962
0.015000,0.563822,13.631641,0.566702,1.786378,2.800352,0.071121,0.175870
0.015000,0.590803,13.636563,0.594128,1.828428,2.803387,0.202301,0.185027
0.015000,0.618358,13.641855,0.622186,1.870557,2.808575,0.345853,0.194431
0.015000,0.646482,13.647534,0.650878,1.912799,2.816110,0.502340,0.204080
0.015000,0.675171,13.653620,0.680206,1.955191,2.826178,0.671248,0.213974
0.015000,0.704422,13.660131,0.710173,1.997776,2.838975,0.853119,0.224108
0.015000,0.734230,13.667088,0.740782,2.040596,2.854688,1.047542,0.234480
0.015000,0.764591,13.674511,0.772037,2.083699,2.873498,1.253942,0.245086
0.015000,0.795502,13.682421,0.803944,2.127132,2.895582,1.472286,0.255921
0.015000,0.826960,13.690838,0.836508,2.170949,2.921103,1.701424,0.266981
0.015000,0.858961,13.699785,0.869736,2.215202,2.950213,1.940656,0.278258
0.015000,0.891502,13.709283,0.903636,2.259948,2.983046,2.188833,0.289746
0.015000,0.924581,13.719357,0.938214,2.305244,3.019713,2.444477,0.301438
0.015000,0.958195,13.730027,0.973482,2.351148,3.060304,2.706079,0.313325
0.015000,0.992342,13.741319,1.009447,2.397721,3.104884,2.971982,0.325398
0.015000,1.027020,13.753257,1.046123,2.445024,3.153482,3.239889,0.337646
0.015000,1.062228,13.765864,1.083519,2.493115,3.206101,3.507907,0.350059
0.015000,1.097963,13.779166,1.121650,2.542056,3.262703,3.773513,0.362626
0.015000,1.134225,13.793189,1.160529,2.591904,3.323217,4.034276,0.375332
0.015000,1.171012,13.807957,1.200170,2.642717,3.387532,4.287658,0.388166
0.015000,1.208323,13.823497,1.240588,2.694549,3.455497,4.530957,0.401113
0.015000,1.246158,13.839836,1.281800,2.747453,3.526921,4.761630,0.414158
0.015000,1.284515,13.856999,1.323822,2.801477,3.601577,4.977095,0.427286
0.015000,1.323395,13.875014,1.366672,2.856665,3.679199,5.174800,0.440480
0.015000,1.362795,13.893906,1.410368,2.913057,3.759488,5.352583,0.453724
0.015000,1.402716,13.913704,1.454928,2.970689,3.842112,5.508263,0.467001
0.015000,1.443156,13.934433,1.500372,3.029590,3.926714,5.640108,0.480292
0.015000,1.484116,13.956121,1.546719,3.089783,4.012913,5.746595,0.493582
0.015000,1.525593,13.978793,1.593988,3.151288,4.100312,5.826597,0.506850
0.015000,1.567587,14.002476,1.642200,3.214115,4.188503,5.879418,0.520079
0.015000,1.610097,14.027194,1.691374,3.278272,4.277074,5.904725,0.533250
0.015000,1.653121,14.052974,1.741530,3.343756,4.365613,5.902618,0.546345
0.015000,1.696658,14.079839,1.792688,3.410562,4.453718,5.873651,0.559346
0.015000,1.740706,14.107813,1.844869,3.478677,4.540999,5.818761,0.572234
0.015000,1.785263,14.136920,1.898090,3.548083,4.627089,5.739292,0.584993
0.015000,1.830327,14.167180,1.952371,3.618758,4.711643,5.636954,0.597603
0.015000,1.875897,14.198614,2.007731,3.690673,4.794349,5.513738,0.610048
0.015000,1.921969,14.231244,2.064188,3.763797,4.874929,5.371990,0.622311
0.015000,1.968544,14.265086,2.121760,3.838094,4.953141,5.214171,0.634377
0.015000,2.015617,14.300159,2.180463,3.913526,5.028786,5.042974,0.646228
0.015000,2.063188,14.336479,2.240313,3.990051,5.101705,4.861247,0.657851
0.015000,2.111255,14.374061,2.301328,4.067628,5.171781,4.671751,0.669230
0.015000,2.159816,14.412917,2.363521,4.146212,5.238942,4.477409,0.680352
0.015000,2.208871,14.453060,2.426907,4.225759,5.303157,4.281016,0.691203
0.015000,2.258419,14.494500,2.491501,4.306226,5.364437,4.085298,0.701771
0.015000,2.308460,14.537247,2.557314,4.387568,5.422830,3.892883,0.712043
0.015000,2.358995,14.581308,2.624360,4.469745,5.478423,3.706220,0.722008
0.015000,2.410025,14.626690,2.692651,4.552715,5.531338,3.527634,0.731655
0.015000,2.461554,14.673397,2.762198,4.636441,5.581726,3.359183,0.740973
0.015000,2.513584,14.721433,2.833011,4.720887,5.629769,3.202885,0.749952
0.015000,2.566119,14.770799,2.905101,4.806022,5.675674,3.060357,0.758584
0.015000,2.619166,14.821497,2.978479,4.891817,5.719672,2.933198,0.766858
0.015000,2.672730,14.873526,3.053152,4.978248,5.762013,2.822739,0.774767
0.015000,2.726821,14.926884,3.129132,5.065292,5.802965,2.730141,0.782300
0.015000,2.781448,14.981567,3.206426,5.152934,5.842812,2.656462,0.789451
0.015000,2.836622,15.037572,3.285043,5.241162,5.881850,2.602529,0.796211
0.015000,2.892355,15.094893,3.364993,5.329968,5.920386,2.569075,0.802572
0.015000,2.948664,15.153523,3.446283,5.419349,5.958739,2.556844,0.808527
0.015000,3.005564,15.213454,3.528923,5.509307,5.997233,2.566242,0.814066
0.015000,3.063073,15.274677,3.612920,5.599850,6.036201,2.597891,0.819182
0.015000,3.121213,15.337182,3.698285,5.690990,6.075983,2.652132,0.823867
0.015000,3.180006,15.400958,3.785026,5.782744,6.116924,2.729391,0.828113
0.015000,3.239477,15.465993,3.873153,5.875135,6.159375,2.830077,0.831909
0.015000,3.299654,15.532273,3.962676,5.968190,6.203692,2.954475,0.835248
0.015000,3.360567,15.599784,4.053605,6.061944,6.250237,3.103019,0.838120
0.015000,3.422249,15.668510,4.145952,6.156434,6.299377,3.275991,0.840514
0.015000,3.484677,15.738368,4.239639,6.245819,5.958986,-22.692742,0.842418
0.015000,3.547769,15.809206,4.334500,6.324087,5.217838,-49.409872,0.843820
0.015000,3.611448,15.880866,4.430366,6.391013,4.461738,-50.406644,0.844710
0.015000,3.675632,15.953188,4.527061,6.446376,3.690870,-51.391215,0.845083
0.015000,3.740208,16.025967,4.624359,6.486539,2.677561,-67.553957,0.844936
0.015000,3.805059,16.098997,4.722027,6.511205,1.644390,-68.878045,0.844270
0.015000,3.870101,16.172105,4.819880,6.523531,0.821765,-54.841663,0.843090
0.015000,3.935245,16.245117,4.917730,6.523298,-0.015565,-55.822042,0.841404
0.015000,4.000399,16.317858,5.015384,6.510282,-0.867758,-56.812846,0.839222
0.015000,4.065505,16.390190,5.112701,6.487772,-1.500675,-42.194453,0.836557
0.015000,4.130558,16.462044,5.209628,6.461851,-1.728064,-15.159252,0.833421
0.015000,4.195584,16.533383,5.306157,6.435215,-1.775704,-3.176047,0.829822
0.015000,4.260606,16.604171,5.402275,6.407901,-1.820957,-3.016852,0.825771
0.015000,4.325644,16.674373,5.497974,6.379938,-1.864186,-2.881917,0.821277
0.015000,4.390720,16.743955,5.593244,6.351352,-1.905749,-2.770889,0.816347
0.015000,4.455851,16.812883,5.688077,6.322162,-1.946001,-2.683438,0.810991
0.015000,4.521057,16.881124,5.782463,6.292382,-1.985288,-2.619126,0.805217
0.015000,4.586353,16.948647,5.876393,6.262023,-2.023953,-2.577665,0.799032
0.015000,4.651755,17.015420,5.969859,6.231088,-2.062331,-2.558558,0.792446
0.015000,4.717274,17.081412,6.062853,6.199577,-2.100752,-2.561368,0.785464
0.015000,4.782924,17.146593,6.155365,6.167484,-2.139536,-2.585622,0.778096
0.015000,4.848715,17.210934,6.247387,6.134799,-2.178995,-2.630624,0.770351
0.015000,4.914653,17.274404,6.338910,6.101507,-2.219431,-2.695736,0.762235
0.015000,4.980747,17.336975,6.429924,6.067590,-2.261134,-2.780160,0.753758
0.015000,5.047000,17.398619,6.520419,6.033025,-2.304377,-2.882891,0.744930
0.015000,5.113414,17.459308,6.610386,5.997783,-2.349420,-3.002852,0.735758
0.015000,5.179992,17.519013,6.699813,5.961836,-2.396501,-3.138775,0.726254
0.015000,5.246729,17.577709,6.788691,5.925148,-2.445839,-3.289200,0.716426
0.015000,5.313624,17.635369,6.877006,5.887684,-2.497627,-3.452483,0.706287
0.015000,5.380670,17.691967,6.964747,5.849403,-2.552029,-3.626838,0.695847
0.015000,5.447859,17.747478,7.051901,5.810266,-2.609181,-3.810142,0.685119
0.015000,5.515180,17.801879,7.138454,5.770228,-2.669185,-4.000270,0.674114
0.015000,5.582620,17.855145,7.224393,5.729246,-2.732107,-4.194742,0.662846
0.015000,5.650164,17.907255,7.309702,5.687277,-2.797973,-4.391103,0.651328
0.015000,5.717795,17.958187,7.394366,5.644275,-2.866772,-4.586609,0.639575
0.015000,5.785493,18.007922,7.478369,5.600198,-2.938449,-4.778445,0.627601
0.015000,5.853235,18.056441,7.561694,5.555005,-3.012907,-4.963850,0.615423
0.015000,5.920997,18.103727,7.644324,5.508655,-3.090005,-5.139913,0.603056
0.015000,5.988753,18.149764,7.726241,5.461111,-3.169563,-5.303819,0.590516
0.015000,6.056474,18.194540,7.807426,5.412341,-3.251355,-5.452839,0.577821
0.015000,6.124130,18.238041,7.887861,5.362314,-3.335121,-5.584379,0.564988
0.015000,6.191689,18.280259,7.967526,5.311006,-3.420561,-5.696036,0.552034
0.015000,6.259116,18.321185,8.046402,5.258396,-3.507347,-5.785677,0.538979
0.015000,6.326377,18.360814,8.124469,5.204469,-3.595118,-5.851447,0.525839
0.015000,6.393435,18.399142,8.201707,5.149216,-3.683496,-5.891848,0.512634
0.015000,6.460251,18.436168,8.278096,5.092635,-3.772082,-5.905757,0.499381
0.015000,6.526787,18.471894,8.353617,5.034728,-3.860469,-5.892456,0.486100
0.015000,6.593005,18.506323,8.428250,4.975504,-3.948244,-5.851664,0.472808
0.015000,6.658862,18.539460,8.501975,4.914979,-4.034996,-5.783454,0.459523
0.015000,6.724320,18.571315,8.574772,4.853175,-4.120323,-5.688468,0.446263
0.015000,6.789339,18.601897,8.646624,4.790117,-4.203837,-5.567570,0.433046
0.015000,6.853877,18.631221,8.717512,4.725840,-4.285169,-5.422176,0.419888
0.015000,6.917895,18.659301,8.787417,4.660380,-4.363977,-5.253850,0.406806
0.015000,6.981354,18.686155,8.856324,4.593781,-4.439946,-5.064613,0.393815
0.015000,7.044214,18.711802,8.924215,4.526089,-4.512797,-4.856724,0.380931
0.015000,7.106439,18.736263,8.991076,4.457354,-4.582284,-4.632462,0.368168
0.015000,7.167992,18.759562,9.056890,4.387631,-4.648200,-4.394433,0.355540
0.015000,7.228836,18.781724,9.121645,4.316976,-4.710379,-4.145237,0.343059
0.015000,7.288937,18.802775,9.185326,4.245445,-4.768690,-3.887422,0.330738
0.015000,7.348264,18.822743,9.247923,4.173100,-4.823047,-3.623800,0.318588
0.015000,7.406783,18.841657,9.309423,4.099999,-4.873396,-3.356591,0.306620
0.015000,7.464466,18.859546,9.369816,4.026203,-4.919722,-3.088359,0.294843
0.015000,7.521283,18.876443,9.429092,3.951772,-4.962045,-2.821550,0.283265
0.015000,7.577209,18.892378,9.487244,3.876766,-5.000412,-2.557817,0.271896
0.015000,7.632217,18.907385,9.544263,3.801243,-5.034905,-2.299533,0.260741
0.015000,7.686285,18.921495,9.600142,3.725258,-5.065623,-2.047852,0.249808
0.015000,7.739391,18.934742,9.654875,3.648868,-5.092695,-1.804832,0.239102
0.015000,7.791514,18.947159,9.708456,3.572124,-5.116260,-1.571009,0.228628
0.015000,7.842636,18.958779,9.760883,3.495077,-5.136482,-1.348116,0.218391
0.015000,7.892740,18.969636,9.812149,3.417774,-5.153527,-1.136297,0.208392
0.015000,7.941810,18.979762,9.862253,3.340260,-5.167577,-0.936675,0.198637
0.015000,7.989832,18.989191,9.911192,3.262578,-5.178819,-0.749517,0.189126
0.015000,8.036793,18.997955,9.958963,3.184766,-5.187439,-0.574663,0.179862
0.015000,8.082681,19.006085,10.005566,3.106862,-5.193635,-0.413055,0.170846
0.015000,8.127486,19.013613,10.051000,3.028898,-5.197592,-0.263807,0.162079
0.015000,8.171200,19.020570,10.095263,2.950905,-5.199501,-0.127214,0.153561
0.015000,8.213813,19.026985,10.138357,2.872912,-5.199545,-0.002972,0.145293
0.015000,8.255320,19.032888,10.180281,2.794943,-5.197905,0.109371,0.137273
0.015000,8.295713,19.038308,10.221036,2.717022,-5.194755,0.209973,0.129502
0.015000,8.334988,19.043273,10.260624,2.639168,-5.190256,0.299926,0.121977
0.015000,8.373140,19.047809,10.299045,2.561400,-5.184574,0.378802,0.114699
0.015000,8.410166,19.051943,10.336301,2.483732,-5.177853,0.448052,0.107666
0.015000,8.446063,19.055699,10.372393,2.406178,-5.170241,0.507460,0.100876
0.015000,8.480828,19.059103,10.407325,2.328750,-5.161868,0.558222,0.094327
0.015000,8.514460,19.062178,10.441097,2.251457,-5.152858,0.600642,0.088018
0.015000,8.546956,19.064946,10.473711,2.174307,-5.143333,0.635039,0.081946
0.015000,8.578318,19.067429,10.505171,2.097306,-5.133397,0.662413,0.076110
0.015000,8.608543,19.069649,10.535478,2.020459,-5.123154,0.682847,0.070507
0.015000,8.637633,19.071625,10.564634,1.943769,-5.112692,0.697441,0.065135
0.015000,8.665587,19.073376,10.592643,1.867237,-5.102101,0.706077,0.059993
0.015000,8.692405,19.074921,10.619506,1.790865,-5.091458,0.709536,0.055077
0.015000,8.718089,19.076276,10.645226,1.714653,-5.080834,0.708258,0.050385
0.015000,8.742640,19.077459,10.669805,1.638598,-5.070295,0.702626,0.045916
0.015000,8.766058,19.078486,10.693245,1.562700,-5.059901,0.692927,0.041668
0.015000,8.788345,19.079370,10.715549,1.486954,-5.049703,0.679832,0.037637
0.015000,8.809501,19.080126,10.736720,1.411358,-5.039753,0.663356,0.033822
0.015000,8.829530,19.080768,10.756758,1.335907,-5.030094,0.643970,0.030222
0.015000,8.848431,19.081307,10.775667,1.260595,-5.020764,0.621979,0.026833
0.015000,8.866207,19.081756,10.793449,1.185418,-5.011803,0.597416,0.023655
0.015000,8.882858,19.082125,10.810104,1.110370,-5.003234,0.571216,0.020685
0.015000,8.898387,19.082425,10.825636,1.035443,-4.995096,0.542553,0.017922
0.015000,8.912794,19.082665,10.840045,0.960632,-4.987406,0.512666,0.015365
0.015000,8.926082,19.082853,10.853334,0.885929,-4.980190,0.481078,0.013010
0.015000,8.938251,19.082998,10.865504,0.811327,-4.973470,0.448020,0.010859
0.015000,8.949303,19.083107,10.876556,0.736818,-4.967255,0.414332,0.008908
0.015000,8.959238,19.083187,10.886492,0.662395,-4.961572,0.378864,0.007157
0.015000,8.968059,19.083244,10.895313,0.588049,-4.956421,0.343400,0.005604
0.015000,8.975765,19.083282,10.903020,0.513771,-4.951823,0.306504,0.004250
0.015000,8.982359,19.083306,10.909613,0.439554,-4.947789,0.268964,0.003092
0.015000,8.987839,19.083320,10.915094,0.365390,-4.944316,0.231518,0.002130
0.015000,8.992208,19.083328,10.919463,0.291268,-4.941422,0.192935,0.001365
0.015000,8.995466,19.083331,10.922720,0.217182,-4.939109,0.154171,0.000794
0.015000,8.997676,19.083333,10.924930,0.147319,-4.657535,18.771591,0.000407
0.015000,8.999012,19.083333,10.926266,0.089073,-3.883044,51.632796,0.000173
0.015000,8.999697,19.083333,10.926951,0.045642,-2.895395,65.843212,0.000053
0.015000,8.999952,19.083333,10.927206,0.017020,-1.908108,65.819156,0.000008
0.015000,9.000000,19.083333,10.927254,0.003206,-0.920975,65.808886,6.283185
0.015000,9.000000,19.083333,10.927254,0.000000,-0.213718,47.150421,6.283185
