dt,x,y,position,velocity,acceleration,jerk,heading
0.015000,-0.000008,11.416667,0.000090,0.011999,0.799915,53.327698,6.283178
0.015000,0.000403,11.416667,0.000501,0.027371,1.024818,14.993484,0.000070
0.015000,0.001402,11.416667,0.001500,0.066630,2.617235,106.161123,0.000245
0.015000,0.003179,11.416668,0.003277,0.118458,3.455259,55.868265,0.000557
0.015000,0.005956,11.416670,0.006053,0.185106,4.443199,65.862691,0.001043
0.015000,0.009843,11.416675,0.009941,0.259180,4.938238,33.002596,0.001724
0.015000,0.014843,11.416686,0.014940,0.333284,4.940297,0.137258,0.002601
0.015000,0.020954,11.416705,0.021052,0.407429,4.942942,0.176367,0.003673
0.015000,0.028178,11.416737,0.028276,0.481621,4.946163,0.214694,0.004942
0.015000,0.036516,11.416784,0.036614,0.555870,4.949958,0.253051,0.006409
0.015000,0.045969,11.416852,0.046067,0.630185,4.954312,0.290254,0.008074
0.015000,0.056537,11.416948,0.056636,0.704573,4.959226,0.327580,0.009938
0.015000,0.068222,11.417076,0.068321,0.779044,4.964679,0.363564,0.012003
0.015000,0.081025,11.417244,0.081125,0.853604,4.970667,0.399172,0.014269
0.015000,0.094947,11.417460,0.095049,0.928261,4.977172,0.433657,0.016738
0.015000,0.109990,11.417732,0.110095,1.003024,4.984175,0.466903,0.019412
0.015000,0.126155,11.418069,0.126263,1.077899,4.991666,0.499352,0.022292
0.015000,0.143443,11.418481,0.143556,1.152893,4.999613,0.529806,0.025380
0.015000,0.161857,11.418979,0.161977,1.228013,5.007999,0.559064,0.028677
0.015000,0.181397,11.419574,0.181526,1.303265,5.016794,0.586364,0.032185
0.015000,0.202065,11.420277,0.202205,1.378654,5.025973,0.611956,0.035906
0.015000,0.223862,11.421103,0.224018,1.454187,5.035493,0.634648,0.039843
0.015000,0.246790,11.422065,0.246966,1.529867,5.045326,0.655494,0.043997
0.015000,0.270849,11.423177,0.271052,1.605698,5.055423,0.673166,0.048370
0.015000,0.296042,11.424454,0.296277,1.681684,5.065740,0.687815,0.052964
0.015000,0.322369,11.425914,0.322644,1.757828,5.076229,0.699254,0.057783
0.015000,0.349831,11.427572,0.350156,1.834130,5.086823,0.706268,0.062827
0.015000,0.378429,11.429447,0.378815,1.910592,5.097471,0.709866,0.068099
0.015000,0.408162,11.431557,0.408623,1.987214,5.108097,0.708422,0.073601
0.015000,0.439032,11.433922,0.439583,2.063993,5.118627,0.701960,0.079336
0.015000,0.471037,11.436562,0.471697,2.140928,5.128980,0.690180,0.085305
0.015000,0.504177,11.439500,0.504967,2.218014,5.139066,0.672426,0.091511
0.015000,0.538451,11.442756,0.539396,2.295245,5.148786,0.647970,0.097955
0.015000,0.573858,11.446355,0.574985,2.372616,5.158038,0.616819,0.104640
0.015000,0.610395,11.450320,0.611737,2.450117,5.166705,0.577813,0.111568
0.015000,0.648060,11.454677,0.649653,2.527737,5.174669,0.530951,0.118740
0.015000,0.686850,11.459450,0.688735,2.605464,5.181799,0.475297,0.126157
0.015000,0.726759,11.464668,0.728984,2.683283,5.187955,0.410435,0.133821
0.015000,0.767784,11.470356,0.770402,2.761178,5.192990,0.335644,0.141733
0.015000,0.809919,11.476543,0.812989,2.839129,5.196754,0.250930,0.149894
0.015000,0.853158,11.483260,0.856746,2.917115,5.199074,0.154685,0.158303
0.015000,0.897492,11.490534,0.901672,2.995112,5.199789,0.047653,0.166962
0.015000,0.942912,11.498397,0.947769,3.073093,5.198719,-0.071357,0.175870
0.015000,0.989410,11.506879,0.995034,3.151028,5.195680,-0.202546,0.185027
0.015000,1.036975,11.516014,1.043467,3.228885,5.190485,-0.346355,0.194431
0.015000,1.085593,11.525831,1.093067,3.306630,5.182950,-0.502369,0.204080
0.015000,1.135251,11.536365,1.143830,3.384223,5.172874,-0.671728,0.213974
0.015000,1.185935,11.547648,1.195755,3.461624,5.160073,-0.853403,0.224108
0.015000,1.237627,11.559713,1.248836,3.538789,5.144358,-1.047609,0.234480
0.015000,1.290311,11.572593,1.303072,3.615672,5.125542,-1.254401,0.245086
0.015000,1.343965,11.586322,1.358455,3.692224,5.103456,-1.472409,0.255921
0.015000,1.398570,11.600933,1.414981,3.768393,5.077931,-1.701668,0.266981
0.015000,1.454103,11.616459,1.472643,3.844125,5.048818,-1.940868,0.278258
0.015000,1.510538,11.632932,1.531433,3.919365,5.015985,-2.188891,0.289746
0.015000,1.567851,11.650384,1.591344,3.994055,4.979316,-2.444588,0.301438
0.015000,1.626012,11.668848,1.652366,4.068136,4.938722,-2.706261,0.313325
0.015000,1.684994,11.688352,1.714489,4.141548,4.894144,-2.971876,0.325398
0.015000,1.744766,11.708927,1.777703,4.214231,4.845545,-3.239956,0.337646
0.015000,1.805294,11.730601,1.841995,4.286125,4.792928,-3.507805,0.350059
0.015000,1.866546,11.753401,1.907352,4.357170,4.736327,-3.773378,0.362626
0.015000,1.928485,11.777353,1.973762,4.427307,4.675815,-4.034115,0.375332
0.015000,1.991077,11.802481,2.041209,4.496480,4.611505,-4.287379,0.388166
0.015000,2.054284,11.828806,2.109678,4.564633,4.543544,-4.530686,0.401113
0.015000,2.118066,11.856349,2.179154,4.631715,4.472125,-4.761278,0.414158
0.015000,2.182386,11.885129,2.249619,4.697677,4.397476,-4.976605,0.427286
0.015000,2.247204,11.915162,2.321056,4.762475,4.319861,-5.174360,0.440480
0.015000,2.312479,11.946461,2.393447,4.826068,4.239580,-5.352022,0.453724
0.015000,2.378171,11.979039,2.466774,4.888423,4.156965,-5.507690,0.467001
0.015000,2.444240,12.012904,2.541016,4.949508,4.072373,-5.639448,0.480292
0.015000,2.510645,12.048065,2.616156,5.009301,3.986185,-5.745882,0.493582
0.015000,2.577348,12.084524,2.692173,5.067783,3.898797,-5.825876,0.506850
0.015000,2.644308,12.122286,2.769047,5.124942,3.810617,-5.878649,0.520079
0.015000,2.711488,12.161349,2.846758,5.180773,3.722058,-5.903915,0.533250
0.015000,2.778851,12.201711,2.925288,5.235276,3.633531,-5.901800,0.546345
0.015000,2.846360,12.243368,3.004614,5.288458,3.545439,-5.872811,0.559346
0.015000,2.913981,12.286312,3.084719,5.340330,3.458170,-5.817917,0.572234
0.015000,2.981681,12.330535,3.165583,5.390912,3.372094,-5.738453,0.584993
0.015000,3.049428,12.376026,3.247186,5.440225,3.287552,-5.636106,0.597603
0.015000,3.117194,12.422771,3.329511,5.488298,3.204858,-5.512941,0.610048
0.015000,3.184951,12.470756,3.412538,5.535162,3.124290,-5.371174,0.622311
0.015000,3.252674,12.519964,3.496251,5.580854,3.046089,-5.213396,0.634377
0.015000,3.320339,12.570379,3.580632,5.625411,2.970455,-5.042274,0.646228
0.015000,3.387926,12.621979,3.665665,5.668874,2.897547,-4.860520,0.657851
0.015000,3.455416,12.674746,3.751335,5.711286,2.827481,-4.671112,0.669230
0.015000,3.522793,12.728656,3.837625,5.752691,2.760329,-4.476812,0.680352
0.015000,3.590044,12.783688,3.924522,5.793133,2.696122,-4.280463,0.691203
0.015000,3.657155,12.839817,4.012012,5.832655,2.634850,-4.084808,0.701771
0.015000,3.724120,12.897019,4.100081,5.871302,2.576463,-3.892438,0.712043
0.015000,3.790929,12.955268,4.188718,5.909115,2.520875,-3.705847,0.722008
0.015000,3.857579,13.014539,4.277910,5.946135,2.467966,-3.527294,0.731655
0.015000,3.924067,13.074804,4.367646,5.982399,2.417581,-3.358962,0.740973
0.015000,3.990392,13.136037,4.457915,6.017942,2.369542,-3.202648,0.749952
0.015000,4.056557,13.198209,4.548707,6.052796,2.323639,-3.060215,0.758584
0.015000,4.122564,13.261293,4.640012,6.086991,2.279642,-2.933111,0.766858
0.015000,4.188420,13.325260,4.731820,6.120551,2.237301,-2.822706,0.774767
0.015000,4.254132,13.390081,4.824123,6.153496,2.196348,-2.730192,0.782300
0.015000,4.319709,13.455725,4.916910,6.185843,2.156500,-2.656529,0.789451
0.015000,4.385162,13.522163,5.010174,6.217605,2.117461,-2.602649,0.796211
0.015000,4.450504,13.589365,5.103906,6.248789,2.078921,-2.569315,0.802572
0.015000,4.515749,13.657299,5.198097,6.279397,2.040565,-2.557050,0.808527
0.015000,4.580913,13.725934,5.292739,6.309428,2.002066,-2.566582,0.814066
0.015000,4.646013,13.795236,5.387822,6.338875,1.963093,-2.598237,0.819182
0.015000,4.711066,13.865174,5.483338,6.367724,1.923305,-2.652556,0.823867
0.015000,4.776094,13.935713,5.579277,6.395960,1.882356,-2.729901,0.828113
0.015000,4.841117,14.006818,5.675630,6.423558,1.839897,-2.830607,0.831909
0.015000,4.906158,14.078455,5.772388,6.450492,1.795570,-2.955116,0.835248
0.015000,4.971239,14.150585,5.869539,6.476727,1.749015,-3.103699,0.838120
0.015000,5.036385,14.223170,5.967072,6.502225,1.699863,-3.276787,0.840514
0.015000,5.101562,14.296104,6.064885,6.520830,1.240326,-30.635795,0.842418
0.015000,5.166674,14.369210,6.162783,6.526554,0.381629,-57.246494,0.843820
0.015000,5.231634,14.442312,6.260577,6.519622,-0.462120,-56.249873,0.844710
0.015000,5.296355,14.515238,6.358081,6.500256,-1.291100,-55.265392,0.845083
0.015000,5.360719,14.587779,6.455060,6.465288,-2.331167,-69.337801,0.844936
0.015000,5.424612,14.659730,6.551286,6.415018,-3.351373,-68.013724,0.844270
0.015000,5.487954,14.730928,6.646582,6.353089,-4.128598,-51.814982,0.843090
0.015000,5.550666,14.801214,6.740778,6.279722,-4.891116,-50.834521,0.841404
0.015000,5.612667,14.870434,6.833705,6.195141,-5.638769,-49.843574,0.839222
0.015000,5.673909,14.938474,6.925248,6.102858,-6.152171,-34.226769,0.836557
0.015000,5.734401,15.005291,7.015380,6.008790,-6.271184,-7.934172,0.833421
0.015000,5.794175,15.070868,7.104111,5.915437,-6.223554,3.175320,0.829822
0.015000,5.853259,15.135193,7.191453,5.822762,-6.178311,3.016193,0.825771
0.015000,5.911679,15.198251,7.277414,5.730736,-6.135091,2.881333,0.821277
0.015000,5.969459,15.260033,7.362004,5.639333,-6.093535,2.770383,0.816347
0.015000,6.026620,15.320526,7.445232,5.548534,-6.053291,2.682960,0.810991
0.015000,6.083182,15.379723,7.527107,5.458323,-6.014009,2.618761,0.805217
0.015000,6.139163,15.437613,7.607637,5.368693,-5.975350,2.577316,0.799032
0.015000,6.194578,15.494190,7.686832,5.279639,-5.936975,2.558280,0.792446
0.015000,6.249440,15.549449,7.764699,5.191160,-5.898558,2.561172,0.785464
0.015000,6.303761,15.603383,7.841248,5.103264,-5.859776,2.585427,0.778096
0.015000,6.357552,15.655990,7.916487,5.015959,-5.820318,2.630523,0.770351
0.015000,6.410822,15.707267,7.990426,4.929261,-5.779883,2.695707,0.762235
0.015000,6.463578,15.757212,8.063074,4.843188,-5.738181,2.780152,0.753758
0.015000,6.515826,15.805826,8.134440,4.757764,-5.694936,2.882948,0.744930
0.015000,6.567571,15.853110,8.204536,4.673015,-5.649892,3.002972,0.735758
0.015000,6.618816,15.899068,8.273370,4.588973,-5.602808,3.138950,0.726254
0.015000,6.669566,15.943702,8.340955,4.505671,-5.553466,3.289440,0.716426
0.015000,6.719820,15.987020,8.407303,4.423146,-5.501674,3.452801,0.706287
0.015000,6.769582,16.029028,8.472424,4.341437,-5.447266,3.627163,0.695847
0.015000,6.818850,16.069734,8.536333,4.260586,-5.390108,3.810566,0.685119
0.015000,6.867624,16.109148,8.599042,4.180634,-5.330097,4.000723,0.674114
0.015000,6.915905,16.147283,8.660567,4.101627,-5.267168,4.195301,0.662846
0.015000,6.963691,16.184150,8.720921,4.023607,-5.201293,4.391676,0.651328
0.015000,7.010979,16.219763,8.780120,3.946620,-5.132484,4.587210,0.639575
0.015000,7.057770,16.254139,8.838181,3.870708,-5.060797,4.779140,0.627601
0.015000,7.104059,16.287294,8.895120,3.795913,-4.986329,4.964565,0.615423
0.015000,7.149847,16.319247,8.950954,3.722275,-4.909219,5.140663,0.603056
0.015000,7.195130,16.350016,9.005701,3.649830,-4.829650,5.304606,0.590516
0.015000,7.239907,16.379621,9.059380,3.578612,-4.747845,5.453651,0.577821
0.015000,7.284175,16.408086,9.112010,3.508651,-4.664067,5.585206,0.564988
0.015000,7.327933,16.435431,9.163610,3.439972,-4.578614,5.696880,0.552034
0.015000,7.371179,16.461680,9.214199,3.372595,-4.491816,5.786519,0.538979
0.015000,7.413911,16.486858,9.263797,3.306534,-4.404032,5.852287,0.525839
0.015000,7.456128,16.510989,9.312424,3.241800,-4.315641,5.892678,0.512634
0.015000,7.497829,16.534098,9.360099,3.178394,-4.227043,5.906570,0.499381
0.015000,7.539013,16.556211,9.406844,3.116315,-4.138644,5.893245,0.486100
0.015000,7.579678,16.577354,9.452677,3.055552,-4.050858,5.852397,0.472808
0.015000,7.619823,16.597555,9.497619,2.996090,-3.964095,5.784193,0.459523
0.015000,7.659449,16.616839,9.541687,2.937909,-3.878758,5.689126,0.446263
0.015000,7.698553,16.635233,9.584902,2.880980,-3.795235,5.568207,0.433046
