dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000076,12.500000,0.000200,0.019998,0.999894,49.994717,0.000016
0.020000,0.000876,12.500000,0.001000,0.059994,1.999789,49.994717,0.000189
0.020000,0.002676,12.500001,0.002800,0.119987,2.999683,49.994717,0.000578
0.020000,0.005876,12.500004,0.005999,0.199979,3.999577,49.994717,0.001270
0.020000,0.010675,12.500012,0.010799,0.279970,3.999577,0.000000,0.002308
0.020000,0.017075,12.500032,0.017198,0.359962,3.999577,0.000000,0.003695
0.020000,0.025074,12.500068,0.025197,0.439954,3.999577,0.000000,0.005431
0.020000,0.034672,12.500130,0.034796,0.519945,3.999577,0.000000,0.007519
0.020000,0.045871,12.500228,0.045995,0.599937,3.999577,0.000000,0.009960
0.020000,0.058669,12.500373,0.058794,0.679928,3.999577,0.000000,0.012758
0.020000,0.073066,12.500580,0.073192,0.759920,3.999577,0.000000,0.015914
0.020000,0.089061,12.500863,0.089191,0.839911,3.999577,0.000000,0.019434
0.020000,0.106655,12.501239,0.106789,0.919903,3.999577,0.000000,0.023320
0.020000,0.125847,12.501727,0.125987,0.999894,3.999577,0.000000,0.027576
0.020000,0.146636,12.502349,0.146784,1.079886,3.999577,-0.000000,0.032207
0.020000,0.169020,12.503126,0.169182,1.159877,3.999577,0.000000,0.037217
0.020000,0.192998,12.504083,0.193180,1.239869,3.999577,0.000000,0.042610
0.020000,0.218569,12.505248,0.218777,1.319861,3.999577,0.000000,0.048393
0.020000,0.245730,12.506647,0.245974,1.399852,3.999577,0.000000,0.054568
0.020000,0.274479,12.508312,0.274771,1.479844,3.999577,0.000000,0.061143
0.020000,0.304812,12.510275,0.305168,1.559835,3.999577,0.000000,0.068122
0.020000,0.336726,12.512571,0.337164,1.639827,3.999577,0.000000,0.075510
0.020000,0.370217,12.515236,0.370761,1.719818,3.999577,-0.000000,0.083312
0.020000,0.405278,12.518309,0.405957,1.799810,3.999577,0.000000,0.091534
0.020000,0.441905,12.521831,0.442753,1.879801,3.999577,0.000000,0.100180
0.020000,0.480091,12.525844,0.481149,1.959793,3.999577,0.000000,0.109256
0.020000,0.519827,12.530394,0.521145,2.039784,3.999577,0.000000,0.118764
0.020000,0.561104,12.535527,0.562741,2.119776,3.999577,-0.000000,0.128708
0.020000,0.603913,12.541294,0.605936,2.199768,3.999577,0.000000,0.139092
0.020000,0.648241,12.547744,0.650731,2.279759,3.999577,-0.000000,0.149918
0.020000,0.694076,12.554931,0.697126,2.359751,3.999577,0.000000,0.161186
0.020000,0.741403,12.562911,0.745121,2.439742,3.999577,-0.000000,0.172898
0.020000,0.790205,12.571740,0.794716,2.519734,3.999577,0.000000,0.185051
0.020000,0.840465,12.581476,0.845911,2.599725,3.999577,-0.000000,0.197645
0.020000,0.892162,12.592179,0.898705,2.679717,3.999577,0.000000,0.210674
0.020000,0.945276,12.603912,0.953099,2.759708,3.999577,-0.000000,0.224133
0.020000,0.999781,12.616735,1.009093,2.839700,3.999577,0.000000,0.238014
0.020000,1.055653,12.630714,1.066687,2.919691,3.999577,-0.000000,0.252309
0.020000,1.112862,12.645912,1.125881,2.999683,3.999577,0.000000,0.267006
0.020000,1.171378,12.662394,1.186675,3.079675,3.999577,-0.000000,0.282089
0.020000,1.231168,12.680224,1.249068,3.159666,3.999577,0.000000,0.297543
0.020000,1.292199,12.699468,1.313061,3.239658,3.999577,-0.000000,0.313350
0.020000,1.354432,12.720190,1.378654,3.319649,3.999577,0.000000,0.329486
0.020000,1.417829,12.742453,1.445847,3.399641,3.999577,-0.000000,0.345928
0.020000,1.482348,12.766319,1.514640,3.479632,3.999577,0.000000,0.362650
0.020000,1.547947,12.791849,1.585032,3.559624,3.999577,-0.000000,0.379621
0.020000,1.614581,12.819102,1.657025,3.639615,3.999577,0.000000,0.396810
0.020000,1.682204,12.848133,1.730617,3.719607,3.999577,-0.000000,0.414182
0.020000,1.750769,12.878996,1.805809,3.799598,3.999577,0.000000,0.431700
0.020000,1.820228,12.911742,1.882601,3.879590,3.999577,-0.000000,0.449327
0.020000,1.890533,12.946417,1.960993,3.959582,3.999577,0.000000,0.467023
0.020000,1.961634,12.983064,2.040984,4.039573,3.999577,-0.000000,0.484745
0.020000,2.033484,13.021724,2.122576,4.119565,3.999577,0.000000,0.502452
0.020000,2.106035,13.062430,2.205767,4.199556,3.999577,-0.000000,0.520100
0.020000,2.179239,13.105215,2.290558,4.279548,3.999577,0.000000,0.537645
0.020000,2.253051,13.150103,2.376949,4.359539,3.999577,-0.000000,0.555044
0.020000,2.327427,13.197117,2.464940,4.439531,3.999577,0.000000,0.572254
0.020000,2.402327,13.246273,2.554530,4.519522,3.999577,-0.000000,0.589232
0.020000,2.477710,13.297584,2.645720,4.599514,3.999577,0.000000,0.605937
0.020000,2.553542,13.351058,2.738511,4.679505,3.999577,-0.000000,0.622329
0.020000,2.629788,13.406697,2.832901,4.759497,3.999577,0.000000,0.638368
0.020000,2.706421,13.464502,2.928890,4.839489,3.999577,-0.000000,0.654019
0.020000,2.783414,13.524465,3.026480,4.919480,3.999577,0.000000,0.669246
0.020000,2.860746,13.586579,3.125670,4.999472,3.999577,-0.000000,0.684014
0.020000,2.938401,13.650829,3.226459,5.079463,3.999577,0.000000,0.698294
0.020000,3.016365,13.717198,3.328848,5.159455,3.999577,-0.000000,0.712056
0.020000,3.094631,13.785667,3.432837,5.239446,3.999577,0.000000,0.725272
0.020000,3.173196,13.856211,3.538426,5.319438,3.999577,-0.000000,0.737915
0.020000,3.252061,13.928803,3.645615,5.399429,3.999577,0.000000,0.749963
0.020000,3.331233,14.003413,3.754403,5.479421,3.999577,-0.000000,0.761392
0.020000,3.410723,14.080008,3.864792,5.559412,3.999577,0.000000,0.772181
0.020000,3.490548,14.158553,3.976780,5.639404,3.999577,-0.000000,0.782309
0.020000,3.570729,14.239008,4.090368,5.719396,3.999577,0.000000,0.791756
0.020000,3.651294,14.321333,4.205556,5.799387,3.999577,-0.000000,0.800504
0.020000,3.732276,14.405483,4.322343,5.879379,3.999577,0.000000,0.808533
0.020000,3.813710,14.491413,4.440731,5.959370,3.999577,-0.000000,0.815824
0.020000,3.895642,14.579072,4.560718,6.039362,3.999577,0.000000,0.822359
0.020000,3.978118,14.668409,4.682305,6.119353,3.999577,-0.000000,0.828117
0.020000,4.061193,14.759369,4.805492,6.199345,3.999577,0.000000,0.833077
0.020000,4.144926,14.851891,4.930279,6.279336,3.999577,-0.000000,0.837218
0.020000,4.229384,14.945915,5.056666,6.359328,3.999577,0.000000,0.840516
0.020000,4.314505,15.041224,5.184452,6.419322,2.999683,-49.994717,0.842942
0.020000,4.400102,15.137448,5.313239,6.459317,1.999789,-49.994717,0.844471
0.020000,4.485993,15.234213,5.442625,6.479315,0.999894,-49.994717,0.845083
0.020000,4.571914,15.331039,5.572076,6.465812,-0.675154,-83.752437,0.844772
0.020000,4.657597,15.427448,5.701057,6.432311,-1.675049,-49.994717,0.843541
0.020000,4.742863,15.523062,5.829169,6.378812,-2.674943,-49.994717,0.841406
0.020000,4.827527,15.617512,5.956010,6.305316,-3.674837,-49.994717,0.838391
0.020000,4.911487,15.710529,6.081316,6.225324,-3.999577,-16.236996,0.834524
0.020000,4.994768,15.802004,6.205023,6.145333,-3.999577,-0.000000,0.829829
0.020000,5.077431,15.891875,6.327130,6.065341,-3.999577,0.000000,0.824330
0.020000,5.159533,15.980087,6.447636,5.985349,-3.999577,-0.000000,0.818047
0.020000,5.241122,16.066585,6.566544,5.905358,-3.999577,0.000000,0.811002
