dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000116,13.583333,0.000199,0.019900,0.995005,49.750257,6.283167
0.020000,0.001080,13.583333,0.001164,0.048235,1.416732,21.086363,6.283011
0.020000,0.003251,13.583332,0.003334,0.108529,3.014714,79.899090,6.282661
0.020000,0.007110,13.583329,0.007193,0.192943,4.220719,60.300256,6.282038
0.020000,0.012898,13.583320,0.012982,0.289422,4.823928,30.160437,6.281103
0.020000,0.020616,13.583299,0.020700,0.385908,4.824324,0.019797,6.279857
0.020000,0.030264,13.583259,0.030348,0.482405,4.824825,0.025052,6.278299
0.020000,0.041842,13.583192,0.041926,0.578913,4.825409,0.029209,6.276428
0.020000,0.055351,13.583086,0.055435,0.675434,4.826047,0.031909,6.274246
0.020000,0.070789,13.582928,0.070874,0.771968,4.826705,0.032897,6.271750
0.020000,0.088158,13.582705,0.088244,0.868515,4.827343,0.031890,6.268942
0.020000,0.107457,13.582400,0.107546,0.965073,4.827913,0.028485,6.265821
0.020000,0.128686,13.581995,0.128779,1.061641,4.828362,0.022442,6.262386
0.020000,0.151844,13.581470,0.151943,1.158213,4.828631,0.013466,6.258638
0.020000,0.176931,13.580803,0.177039,1.254786,4.828654,0.001139,6.254577
0.020000,0.203946,13.579971,0.204066,1.351353,4.828357,-0.014816,6.250203
0.020000,0.232886,13.578948,0.233024,1.447907,4.827664,-0.034679,6.245515
0.020000,0.263749,13.577708,0.263913,1.544436,4.826484,-0.058984,6.240515
0.020000,0.296534,13.576221,0.296731,1.640931,4.824729,-0.087739,6.235203
0.020000,0.331237,13.574456,0.331479,1.737377,4.822297,-0.121639,6.229581
0.020000,0.367854,13.572383,0.368154,1.833759,4.819083,-0.160670,6.223648
0.020000,0.406379,13.569966,0.406755,1.930058,4.814976,-0.205342,6.217407
0.020000,0.446807,13.567170,0.447280,2.026255,4.809859,-0.255884,6.210859
0.020000,0.489132,13.563957,0.489727,2.122327,4.803609,-0.312475,6.204008
0.020000,0.533345,13.560290,0.534092,2.218249,4.796101,-0.375418,6.196855
0.020000,0.579438,13.556128,0.580372,2.313994,4.787204,-0.444855,6.189404
0.020000,0.627399,13.551429,0.628562,2.409529,4.776786,-0.520873,6.181659
0.020000,0.677216,13.546152,0.678659,2.504824,4.764715,-0.603580,6.173624
0.020000,0.728877,13.540251,0.730656,2.599841,4.750857,-0.692898,6.165305
0.020000,0.782367,13.533683,0.784546,2.694542,4.735080,-0.788857,6.156707
0.020000,0.837667,13.526402,0.840324,2.788887,4.717258,-0.891081,6.147836
0.020000,0.894760,13.518361,0.897981,2.882833,4.697268,-0.999516,6.138701
0.020000,0.953626,13.509513,0.957507,2.976333,4.674996,-1.113576,6.129309
0.020000,1.014241,13.499812,1.018894,3.069339,4.650338,-1.232921,6.119669
0.020000,1.076582,13.489210,1.082130,3.161804,4.623201,-1.356834,6.109792
0.020000,1.140622,13.477659,1.147204,3.253674,4.593508,-1.484668,6.099689
0.020000,1.206333,13.465112,1.214102,3.344898,4.561197,-1.615561,6.089371
0.020000,1.273684,13.451524,1.282810,3.435422,4.526226,-1.748545,6.078851
0.020000,1.342644,13.436848,1.353314,3.525194,4.488574,-1.882603,6.068143
0.020000,1.413177,13.421039,1.425597,3.614158,4.448242,-2.016591,6.057263
0.020000,1.485248,13.404054,1.499642,3.702264,4.405256,-2.149284,6.046225
0.020000,1.558818,13.385850,1.575432,3.789457,4.359667,-2.279465,6.035048
0.020000,1.633849,13.366388,1.652945,3.875688,4.311551,-2.405784,6.023747
0.020000,1.710299,13.345628,1.732164,3.960908,4.261012,-2.526977,6.012343
0.020000,1.788125,13.323535,1.813065,4.045072,4.208176,-2.641795,6.000855
0.020000,1.867284,13.300075,1.895628,4.128136,4.153196,-2.748972,5.989303
0.020000,1.947732,13.275216,1.979829,4.210061,4.096248,-2.847426,5.977708
0.020000,2.029424,13.248931,2.065645,4.290811,4.037525,-2.936130,5.966092
0.020000,2.112313,13.221193,2.153052,4.370356,3.977241,-3.014224,5.954477
0.020000,2.196355,13.191981,2.242026,4.448668,3.915620,-3.081022,5.942885
0.020000,2.281502,13.161276,2.332540,4.525726,3.852899,-3.136033,5.931340
0.020000,2.367710,13.129063,2.424570,4.601513,3.789320,-3.178985,5.919866
0.020000,2.454934,13.095329,2.518091,4.676015,3.725123,-3.209822,5.908486
0.020000,2.543131,13.060066,2.613075,4.749226,3.660549,-3.228737,5.897224
0.020000,2.632256,13.023269,2.709498,4.821143,3.595826,-3.236148,5.886104
0.020000,2.722270,12.984937,2.807333,4.891766,3.531172,-3.232703,5.875149
0.020000,2.813131,12.945073,2.906555,4.961102,3.466786,-3.219269,5.864384
0.020000,2.904804,12.903682,3.007139,5.029159,3.402848,-3.196910,5.853833
0.020000,2.997250,12.860775,3.109058,5.095949,3.339511,-3.166870,5.843517
0.020000,3.090439,12.816364,3.212287,5.161487,3.276900,-3.130540,5.833461
0.020000,3.184337,12.770467,3.316803,5.225789,3.215111,-3.089448,5.823688
0.020000,3.278918,12.723103,3.422581,5.288873,3.154207,-3.045206,5.814220
0.020000,3.374156,12.674297,3.529596,5.350758,3.094217,-2.999495,5.805079
0.020000,3.470027,12.624075,3.637825,5.411460,3.035136,-2.954046,5.796286
0.020000,3.566513,12.572468,3.747245,5.470999,2.976924,-2.910576,5.787864
0.020000,3.663596,12.519510,3.857833,5.529389,2.919508,-2.870828,5.779834
0.020000,3.761262,12.465238,3.969566,5.586645,2.862778,-2.836472,5.772216
0.020000,3.859502,12.409691,4.082421,5.642776,2.806595,-2.809156,5.765032
0.020000,3.958306,12.352914,4.196377,5.697792,2.750786,-2.790438,5.758301
0.020000,4.057671,12.294954,4.311411,5.751695,2.695150,-2.781819,5.752045
0.020000,4.157595,12.235860,4.427500,5.804484,2.639456,-2.784693,5.746284
0.020000,4.258078,12.175685,4.544624,5.856153,2.583449,-2.800357,5.741038
0.020000,4.359125,12.114488,4.662757,5.906690,2.526848,-2.830031,5.736329
0.020000,4.460742,12.052328,4.781879,5.956077,2.469353,-2.874786,5.732178
0.020000,4.562939,11.989270,4.901965,6.004290,2.410641,-2.935601,5.728606
0.020000,4.665728,11.925381,5.022991,6.051298,2.350374,-3.013328,5.725637
0.020000,4.769122,11.860734,5.144932,6.097062,2.288201,-3.108658,5.723291
0.020000,4.872969,11.795512,5.267561,6.131466,1.720216,-28.399263,5.721597
0.020000,4.976950,11.730009,5.390455,6.144693,0.661371,-52.942260,5.720577
0.020000,5.080752,11.664520,5.513188,6.136670,-0.401146,-53.125806,5.720246
0.020000,5.183900,11.599447,5.635148,6.097961,-1.935482,-76.716827,5.720612
0.020000,5.285940,11.535173,5.755743,6.029765,-3.409785,-73.715124,5.721666
0.020000,5.386591,11.471970,5.874594,5.942531,-4.361689,-47.595196,5.723394
0.020000,5.485586,11.410089,5.991337,5.837194,-5.266884,-45.259751,5.725771
0.020000,5.582821,11.349672,6.105814,5.723820,-5.668699,-20.090773,5.728771
0.020000,5.678346,11.290754,6.218048,5.611687,-5.606643,3.102794,5.732372
0.020000,5.772207,11.233365,6.328063,5.500757,-5.546473,3.008483,5.736552
0.020000,5.864445,11.177532,6.435883,5.391001,-5.487839,2.931742,5.741288
0.020000,5.955097,11.123277,6.541531,5.282393,-5.430402,2.871848,5.746560
0.020000,6.044198,11.070618,6.645029,5.174916,-5.373842,2.827970,5.752346
0.020000,6.131777,11.019568,6.746400,5.068558,-5.317860,2.799109,5.758626
0.020000,6.217861,10.970138,6.845666,4.963315,-5.262176,2.784194,5.765380
0.020000,6.302475,10.922335,6.942850,4.859184,-5.206536,2.781994,5.772586
0.020000,6.385640,10.876162,7.037973,4.756170,-5.150712,2.791222,5.780225
0.020000,6.467376,10.831617,7.131059,4.654280,-5.094503,2.810461,5.788275
0.020000,6.547699,10.788698,7.222130,4.553525,-5.037738,2.838227,5.796716
0.020000,6.626624,10.747397,7.311208,4.453920,-4.980280,2.872930,5.805526
0.020000,6.704164,10.707703,7.398318,4.355479,-4.922020,2.912955,5.814684
0.020000,6.780332,10.669605,7.483482,4.258221,-4.862888,2.956596,5.824168
0.020000,6.855136,10.633085,7.566725,4.162164,-4.802846,3.002135,5.833955
0.020000,6.928587,10.598125,7.648072,4.067327,-4.741889,3.047833,5.844024
0.020000,7.000692,10.564702,7.727546,3.973726,-4.680050,3.091982,5.854351
0.020000,7.071459,10.532795,7.805174,3.881378,-4.617392,3.132887,5.864914
0.020000,7.140894,10.502375,7.880980,3.790298,-4.554013,3.168943,5.875689
0.020000,7.209002,10.473414,7.954990,3.700497,-4.490040,3.198635,5.886652
