dt,x,y,position,velocity,acceleration,jerk,heading
0.015000,0.000003,11.416667,0.000089,0.011901,0.793428,52.895204,0.000003
0.015000,0.000270,11.416667,0.000356,0.017802,0.393363,-26.671027,6.283118
0.015000,0.000903,11.416667,0.000989,0.042207,1.626977,82.240932,6.282961
0.015000,0.002029,11.416666,0.002115,0.075033,2.188434,37.430473,6.282682
0.015000,0.003787,11.416665,0.003873,0.117237,2.813605,41.678060,6.282245
0.015000,0.006249,11.416662,0.006335,0.164128,3.126052,20.829808,6.281634
0.015000,0.009414,11.416656,0.009501,0.211015,3.125789,-0.017522,6.280848
0.015000,0.013283,11.416645,0.013369,0.257897,3.125461,-0.021833,6.279887
0.015000,0.017854,11.416627,0.017941,0.304773,3.125077,-0.025597,6.278751
0.015000,0.023129,11.416601,0.023215,0.351642,3.124647,-0.028704,6.277441
0.015000,0.029106,11.416562,0.029193,0.398505,3.124180,-0.031113,6.275955
0.015000,0.035787,11.416508,0.035873,0.445361,3.123693,-0.032450,6.274294
0.015000,0.043169,11.416436,0.043256,0.492209,3.123199,-0.032970,6.272458
0.015000,0.051255,11.416341,0.051342,0.539049,3.122716,-0.032177,6.270446
0.015000,0.060042,11.416219,0.060130,0.585883,3.122263,-0.030230,6.268259
0.015000,0.069531,11.416066,0.069621,0.632711,3.121861,-0.026755,6.265896
0.015000,0.079723,11.415877,0.079814,0.679534,3.121534,-0.021808,6.263358
0.015000,0.090615,11.415646,0.090709,0.726354,3.121307,-0.015187,6.260644
0.015000,0.102210,11.415368,0.102307,0.773172,3.121207,-0.006658,6.257755
0.015000,0.114505,11.415037,0.114607,0.819991,3.121262,0.003663,6.254689
0.015000,0.127501,11.414645,0.127609,0.866813,3.121505,0.016244,6.251448
0.015000,0.141198,11.414187,0.141314,0.913643,3.121970,0.030988,6.248032
0.015000,0.155596,11.413655,0.155721,0.960483,3.122691,0.048066,6.244440
0.015000,0.170693,11.413041,0.170831,1.007339,3.123707,0.067720,6.240673
0.015000,0.186491,11.412338,0.186644,1.054215,3.125057,0.090002,6.236731
0.015000,0.202988,11.411537,0.203161,1.101117,3.126783,0.115070,6.232615
0.015000,0.220185,11.410629,0.220382,1.148050,3.128929,0.143056,6.228324
0.015000,0.238081,11.409606,0.238307,1.195024,3.131540,0.174085,6.223860
0.015000,0.256677,11.408459,0.256938,1.242044,3.134664,0.208277,6.219223
0.015000,0.275971,11.407176,0.276274,1.289119,3.138351,0.245782,6.214414
0.015000,0.295964,11.405749,0.296318,1.336259,3.142650,0.286622,6.209434
0.015000,0.316655,11.404167,0.317070,1.383473,3.147615,0.331009,6.204283
0.015000,0.338046,11.402418,0.338532,1.430772,3.153299,0.378879,6.198963
0.015000,0.360134,11.400492,0.360705,1.478169,3.159756,0.430457,6.193476
0.015000,0.382922,11.398378,0.383590,1.525674,3.167040,0.485646,6.187823
0.015000,0.406407,11.396062,0.407189,1.573302,3.175209,0.544614,6.182005
0.015000,0.430591,11.393534,0.431505,1.621067,3.184319,0.607276,6.176024
0.015000,0.455474,11.390780,0.456540,1.668983,3.194423,0.673652,6.169883
0.015000,0.481056,11.387787,0.482296,1.717067,3.205579,0.743699,6.163584
0.015000,0.507336,11.384543,0.508776,1.765335,3.217840,0.817394,6.157129
0.015000,0.534316,11.381033,0.535983,1.813804,3.231258,0.894572,6.150522
0.015000,0.561995,11.377244,0.563920,1.862492,3.245885,0.975135,6.143764
0.015000,0.590374,11.373161,0.592592,1.911418,3.261770,1.058981,6.136860
0.015000,0.619454,11.368771,0.622001,1.960603,3.278958,1.145855,6.129813
0.015000,0.649234,11.364058,0.652152,2.010065,3.297491,1.235516,6.122628
0.015000,0.679716,11.359006,0.683049,2.059826,3.317407,1.327768,6.115307
0.015000,0.710900,11.353602,0.714698,2.109907,3.338741,1.422279,6.107855
0.015000,0.742786,11.347828,0.747103,2.160330,3.361521,1.518671,6.100278
0.015000,0.775376,11.341670,0.780269,2.211117,3.385771,1.616663,6.092580
0.015000,0.808671,11.335111,0.814204,2.262289,3.411507,1.715737,6.084767
0.015000,0.842670,11.328134,0.848912,2.313871,3.438741,1.815597,6.076844
0.015000,0.877376,11.320724,0.884400,2.365883,3.467476,1.915646,6.068817
0.015000,0.912789,11.312863,0.920675,2.418348,3.497708,2.015467,6.060693
0.015000,0.948911,11.304534,0.957745,2.471290,3.529426,2.114545,6.052478
0.015000,0.985742,11.295721,0.995616,2.524729,3.562611,2.212330,6.044179
0.015000,1.023284,11.286406,1.034296,2.578687,3.597235,2.308282,6.035803
0.015000,1.061538,11.276573,1.073794,2.633186,3.633264,2.401902,6.027357
0.015000,1.100506,11.266203,1.114117,2.688246,3.670653,2.492583,6.018850
0.015000,1.140188,11.255279,1.155276,2.743886,3.709350,2.579853,6.010290
0.015000,1.180586,11.243784,1.197278,2.800126,3.749298,2.663146,6.001684
0.015000,1.221702,11.231701,1.240132,2.856982,3.790428,2.742007,5.993042
0.015000,1.263537,11.219012,1.283849,2.914472,3.832667,2.815928,5.984371
0.015000,1.306093,11.205700,1.328439,2.972611,3.875935,2.884534,5.975682
0.015000,1.349371,11.191748,1.373910,3.031413,3.920146,2.947398,5.966983
0.015000,1.393372,11.177139,1.420273,3.090892,3.965209,3.004204,5.958283
0.015000,1.438099,11.161855,1.467539,3.151057,4.011029,3.054691,5.949593
0.015000,1.483553,11.145882,1.515718,3.211920,4.057509,3.098630,5.940922
0.015000,1.529735,11.129202,1.564820,3.273488,4.104547,3.135871,5.932279
0.015000,1.576648,11.111799,1.614857,3.335768,4.152042,3.166356,5.923674
0.015000,1.624292,11.093658,1.665838,3.398767,4.199893,3.190066,5.915118
0.015000,1.672671,11.074763,1.717775,3.462487,4.247999,3.207077,5.906620
0.015000,1.721785,11.055101,1.770679,3.526931,4.296262,3.217530,5.898190
0.015000,1.771637,11.034656,1.824561,3.592100,4.344587,3.221643,5.889839
0.015000,1.822229,11.013415,1.879431,3.657993,4.392882,3.219701,5.881576
0.015000,1.873563,10.991365,1.935300,3.724609,4.441063,3.212061,5.873412
0.015000,1.925641,10.968494,1.992179,3.791945,4.489050,3.199138,5.865356
0.015000,1.978466,10.944788,2.050079,3.859996,4.536771,3.181413,5.857418
0.015000,2.032040,10.920238,2.109010,3.928759,4.584163,3.159422,5.849609
0.015000,2.086366,10.894832,2.168984,3.998226,4.631169,3.133733,5.841937
0.015000,2.141448,10.868561,2.230010,4.068392,4.677743,3.104969,5.834413
0.015000,2.197289,10.841416,2.292098,4.139250,4.723850,3.073800,5.827047
0.015000,2.253891,10.813389,2.355260,4.210792,4.769463,3.040883,5.819846
0.015000,2.311261,10.784472,2.419505,4.283010,4.814568,3.006940,5.812822
0.015000,2.369402,10.754660,2.484844,4.355898,4.859158,2.972673,5.805983
0.015000,2.428318,10.723946,2.551286,4.429446,4.903240,2.938827,5.799339
0.015000,2.488016,10.692326,2.618840,4.503649,4.946832,2.906102,5.792898
0.015000,2.548501,10.659797,2.687518,4.578498,4.989960,2.875231,5.786669
0.015000,2.609780,10.626356,2.757328,4.653988,5.032664,2.846942,5.780662
0.015000,2.671860,10.592002,2.828279,4.730113,5.074993,2.821895,5.774884
0.015000,2.734749,10.556734,2.900382,4.806868,5.117005,2.800816,5.769346
0.015000,2.798455,10.520553,2.973646,4.884250,5.158770,2.784324,5.764055
0.015000,2.862989,10.483460,3.048080,4.962255,5.200366,2.773080,5.759020
0.015000,2.928359,10.445458,3.123693,5.040883,5.241881,2.767686,5.754250
0.015000,2.994577,10.406552,3.200495,5.120135,5.283412,2.768709,5.749754
0.015000,3.061655,10.366746,3.278495,5.200011,5.325063,2.776721,5.745539
0.015000,3.129607,10.326047,3.357703,5.280515,5.366946,2.792230,5.741615
0.015000,3.198447,10.284463,3.438128,5.361652,5.409182,2.815706,5.737990
0.015000,3.268189,10.242002,3.519779,5.443431,5.451896,2.847613,5.734674
0.015000,3.338851,10.198674,3.602667,5.525859,5.495221,2.888372,5.731676
0.015000,3.410451,10.154492,3.686801,5.608949,5.539297,2.938336,5.729003
0.015000,3.483008,10.109469,3.772192,5.692713,5.584264,2.997844,5.726667
0.015000,3.556541,10.063618,3.858850,5.777167,5.630272,3.067188,5.724676
0.015000,3.631075,10.016956,3.946785,5.862329,5.677471,3.146592,5.723040
0.015000,3.706556,9.969547,4.035920,5.942345,5.334420,-22.870062,5.721771
0.015000,3.782861,9.921506,4.126088,6.011227,4.592138,-49.485438,5.720879
0.015000,3.859863,9.872952,4.217120,6.068778,3.836743,-50.359709,5.720371
0.015000,3.937402,9.824024,4.308806,6.112408,2.908678,-61.870985,5.720254
0.015000,4.015244,9.774914,4.400844,6.135892,1.565547,-89.542053,5.720528
0.015000,4.093177,9.725797,4.492964,6.141290,0.359895,-80.376783,5.721190
0.015000,4.171063,9.676803,4.584979,6.134335,-0.463695,-54.906039,5.722234
0.015000,4.248762,9.628060,4.676701,6.114828,-1.300428,-55.782191,5.723650
0.015000,4.326160,9.579678,4.767976,6.085022,-1.987091,-45.777525,5.725429
0.015000,4.403217,9.531718,4.858740,6.050883,-2.275939,-19.256526,5.727559
0.015000,4.479940,9.484211,4.948980,6.016043,-2.322649,-3.113985,5.730031
0.015000,4.556335,9.437186,5.038688,5.980520,-2.368227,-3.038570,5.732834
0.015000,4.632405,9.390671,5.127853,5.944327,-2.412824,-2.973144,5.735961
0.015000,4.708155,9.344692,5.216465,5.907479,-2.456586,-2.917432,5.739401
0.015000,4.783588,9.299276,5.304515,5.869984,-2.499653,-2.871157,5.743146
0.015000,4.858707,9.254448,5.391993,5.831851,-2.542162,-2.833937,5.747187
0.015000,4.933511,9.210229,5.478889,5.793088,-2.584243,-2.805407,5.751515
0.015000,5.008003,9.166644,5.565195,5.753697,-2.626020,-2.785132,5.756122
0.015000,5.082180,9.123714,5.650900,5.713683,-2.667610,-2.772644,5.760998
0.015000,5.156043,9.081458,5.735995,5.673046,-2.709122,-2.767452,5.766136
0.015000,5.229589,9.039896,5.820472,5.631787,-2.750657,-2.769023,5.771527
0.015000,5.302813,8.999046,5.904321,5.589902,-2.792309,-2.776791,5.777161
0.015000,5.375713,8.958925,5.987532,5.547389,-2.834161,-2.790174,5.783031
