dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000095,12.500000,0.000199,0.019900,0.995005,49.750257,6.283167
0.020000,0.000891,12.500000,0.000995,0.059700,1.990010,49.750257,6.283011
0.020000,0.002682,12.499999,0.002786,0.119401,2.985015,49.750257,6.282661
0.020000,0.005866,12.499997,0.005970,0.199001,3.980021,49.750257,6.282038
0.020000,0.010642,12.499989,0.010746,0.278601,3.980021,0.000000,6.281103
0.020000,0.017010,12.499972,0.017114,0.358202,3.980021,-0.000000,6.279857
0.020000,0.024970,12.499939,0.025074,0.437802,3.980021,0.000000,6.278299
0.020000,0.034522,12.499883,0.034626,0.517403,3.980021,0.000000,6.276428
0.020000,0.045666,12.499796,0.045770,0.597003,3.980021,0.000000,6.274246
0.020000,0.058401,12.499666,0.058506,0.676604,3.980021,0.000000,6.271750
0.020000,0.072728,12.499482,0.072834,0.756204,3.980021,0.000000,6.268942
0.020000,0.088646,12.499231,0.088754,0.835804,3.980021,-0.000000,6.265821
0.020000,0.106155,12.498896,0.106267,0.915405,3.980021,0.000000,6.262386
0.020000,0.125254,12.498463,0.125371,0.995005,3.980021,-0.000000,6.258638
0.020000,0.145943,12.497913,0.146067,1.074606,3.980021,0.000000,6.254577
0.020000,0.168221,12.497227,0.168355,1.154206,3.980021,0.000000,6.250203
0.020000,0.192086,12.496384,0.192235,1.233806,3.980021,0.000000,6.245515
0.020000,0.217538,12.495361,0.217707,1.313407,3.980021,0.000000,6.240515
0.020000,0.244574,12.494134,0.244771,1.393007,3.980021,0.000000,6.235203
0.020000,0.273193,12.492680,0.273427,1.472608,3.980021,0.000000,6.229581
0.020000,0.303393,12.490969,0.303676,1.552208,3.980021,-0.000000,6.223648
0.020000,0.335170,12.488976,0.335516,1.631808,3.980021,0.000000,6.217407
0.020000,0.368523,12.486669,0.368948,1.711409,3.980021,0.000000,6.210859
0.020000,0.403446,12.484018,0.403972,1.791009,3.980021,-0.000000,6.204008
0.020000,0.439937,12.480991,0.440588,1.870610,3.980021,0.000000,6.196855
0.020000,0.477991,12.477555,0.478796,1.950210,3.980021,0.000000,6.189404
0.020000,0.517601,12.473675,0.518597,2.029811,3.980021,0.000000,6.181659
0.020000,0.558763,12.469314,0.559989,2.109411,3.980021,0.000000,6.173624
0.020000,0.601469,12.464436,0.602973,2.189011,3.980021,0.000000,6.165305
0.020000,0.645713,12.459003,0.647549,2.268612,3.980021,0.000000,6.156707
0.020000,0.691486,12.452977,0.693718,2.348212,3.980021,0.000000,6.147836
0.020000,0.738779,12.446316,0.741478,2.427813,3.980021,0.000000,6.138701
0.020000,0.787583,12.438980,0.790830,2.507413,3.980021,0.000000,6.129309
0.020000,0.837887,12.430929,0.841774,2.587013,3.980021,0.000000,6.119669
0.020000,0.889679,12.422121,0.894311,2.666614,3.980021,0.000000,6.109792
0.020000,0.942948,12.412513,0.948439,2.746214,3.980021,0.000000,6.099689
0.020000,0.997679,12.402063,1.004159,2.825815,3.980021,0.000000,6.089371
0.020000,1.053859,12.390728,1.061471,2.905415,3.980021,0.000000,6.078851
0.020000,1.111473,12.378467,1.120376,2.985015,3.980021,0.000000,6.068143
0.020000,1.170504,12.365236,1.180872,3.064616,3.980021,0.000000,6.057263
0.020000,1.230937,12.350993,1.242960,3.144216,3.980021,0.000000,6.046225
0.020000,1.292753,12.335698,1.306641,3.223817,3.980021,0.000000,6.035048
0.020000,1.355934,12.319309,1.371913,3.303417,3.980021,0.000000,6.023747
0.020000,1.420461,12.301787,1.438777,3.383018,3.980021,0.000000,6.012343
0.020000,1.486315,12.283092,1.507234,3.462618,3.980021,0.000000,6.000855
0.020000,1.553475,12.263188,1.577282,3.542218,3.980021,0.000000,5.989303
0.020000,1.621922,12.242037,1.648923,3.621819,3.980021,0.000000,5.977708
0.020000,1.691634,12.219606,1.722155,3.701419,3.980021,0.000000,5.966092
0.020000,1.762590,12.195862,1.796979,3.781020,3.980021,0.000000,5.954477
0.020000,1.834770,12.170773,1.873396,3.860620,3.980021,-0.000000,5.942885
0.020000,1.908153,12.144310,1.951404,3.940220,3.980021,0.000000,5.931340
0.020000,1.982717,12.116447,2.031005,4.019821,3.980021,-0.000000,5.919866
0.020000,2.058443,12.087160,2.112197,4.099421,3.980021,0.000000,5.908486
0.020000,2.135310,12.056426,2.194981,4.179022,3.980021,0.000000,5.897224
0.020000,2.213300,12.024226,2.279358,4.258622,3.980021,0.000000,5.886104
0.020000,2.292395,11.990544,2.365326,4.338222,3.980021,0.000000,5.875149
0.020000,2.372577,11.955365,2.452887,4.417823,3.980021,0.000000,5.864384
0.020000,2.453831,11.918678,2.542039,4.497423,3.980021,0.000000,5.853833
0.020000,2.536141,11.880474,2.632784,4.577024,3.980021,0.000000,5.843517
0.020000,2.619496,11.840750,2.725120,4.656624,3.980021,0.000000,5.833461
0.020000,2.703882,11.799502,2.819049,4.736225,3.980021,0.000000,5.823688
0.020000,2.789291,11.756730,2.914569,4.815825,3.980021,0.000000,5.814220
0.020000,2.875716,11.712440,3.011682,4.895425,3.980021,0.000000,5.805079
0.020000,2.963149,11.666638,3.110386,4.975026,3.980021,0.000000,5.796286
0.020000,3.051590,11.619334,3.210683,5.054626,3.980021,0.000000,5.787864
0.020000,3.141035,11.570542,3.312571,5.134227,3.980021,0.000000,5.779834
0.020000,3.231488,11.520278,3.416052,5.213827,3.980021,0.000000,5.772216
0.020000,3.322952,11.468562,3.521124,5.293427,3.980021,0.000000,5.765032
0.020000,3.415434,11.415417,3.627789,5.373028,3.980021,0.000000,5.758301
0.020000,3.508944,11.360872,3.736045,5.452628,3.980021,0.000000,5.752045
0.020000,3.603496,11.304954,3.845894,5.532229,3.980021,0.000000,5.746284
0.020000,3.699103,11.247699,3.957334,5.611829,3.980021,0.000000,5.741038
0.020000,3.795787,11.189144,4.070367,5.691429,3.980021,0.000000,5.736329
0.020000,3.893568,11.129331,4.184992,5.771030,3.980021,0.000000,5.732178
0.020000,3.992472,11.068304,4.301208,5.850630,3.980021,0.000000,5.728606
0.020000,4.092528,11.006114,4.419017,5.930231,3.980021,0.000000,5.725637
0.020000,4.193768,10.942814,4.538417,6.009831,3.980021,0.000000,5.723291
0.020000,4.296060,10.878568,4.659211,6.069531,2.985015,-49.750257,5.721597
0.020000,4.399106,10.813654,4.781000,6.109332,1.990010,-49.750257,5.720577
0.020000,4.502605,10.748356,4.903375,6.128211,0.943991,-52.300962,5.720246
0.020000,4.606088,10.683071,5.025730,6.107291,-1.046019,-99.500515,5.720612
0.020000,4.709094,10.618189,5.147468,6.066471,-2.041024,-49.750257,5.721666
0.020000,4.811331,10.553990,5.268190,6.005750,-3.036030,-49.750257,5.723394
0.020000,4.912510,10.490745,5.387509,5.926150,-3.980021,-47.199553,5.725771
0.020000,5.012506,10.428613,5.505236,5.846549,-3.980021,0.000000,5.728771
0.020000,5.111351,10.367647,5.621371,5.766949,-3.980021,0.000000,5.732372
0.020000,5.209075,10.307896,5.735914,5.687348,-3.980021,0.000000,5.736552
0.020000,5.305702,10.249407,5.848865,5.607748,-3.980021,0.000000,5.741288
0.020000,5.401255,10.192219,5.960224,5.528148,-3.980021,-0.000000,5.746560
0.020000,5.495752,10.136370,6.069991,5.448547,-3.980021,0.000000,5.752346
0.020000,5.589209,10.081895,6.178166,5.368947,-3.980021,0.000000,5.758626
0.020000,5.681639,10.028822,6.284749,5.289346,-3.980021,0.000000,5.765380
0.020000,5.773050,9.977179,6.389740,5.209746,-3.980021,0.000000,5.772586
0.020000,5.863450,9.926989,6.493139,5.130145,-3.980021,0.000000,5.780225
0.020000,5.952844,9.878272,6.594945,5.050545,-3.980021,0.000000,5.788275
