dt,x,y,position,velocity,acceleration,jerk,heading
0.015000,0.000002,24.333300,0.000090,0.011976,0.798403,53.226880,6.283184
0.015000,0.000310,24.333300,0.000398,0.020572,0.573080,-15.021553,0.000013
0.015000,0.001074,24.333300,0.001163,0.050940,2.024501,96.761434,0.000047
0.015000,0.002433,24.333300,0.002521,0.090561,2.641382,41.125391,0.000106
0.015000,0.004555,24.333300,0.004643,0.141503,3.396175,50.319525,0.000198
0.015000,0.007527,24.333301,0.007615,0.198109,3.773737,25.170799,0.000327
0.015000,0.011348,24.333303,0.011436,0.254720,3.774058,0.021365,0.000493
0.015000,0.016018,24.333306,0.016106,0.311337,3.774470,0.027477,0.000695
0.015000,0.021537,24.333310,0.021625,0.367962,3.774974,0.033605,0.000935
0.015000,0.027906,24.333317,0.027994,0.424595,3.775570,0.039735,0.001210
0.015000,0.035125,24.333327,0.035213,0.481239,3.776258,0.045883,0.001522
0.015000,0.043193,24.333340,0.043281,0.537895,3.777039,0.052039,0.001871
0.015000,0.052112,24.333359,0.052200,0.594563,3.777912,0.058217,0.002255
0.015000,0.061880,24.333383,0.061968,0.651247,3.778878,0.064404,0.002676
0.015000,0.072499,24.333414,0.072588,0.707946,3.779937,0.070614,0.003132
0.015000,0.083969,24.333453,0.084058,0.764662,3.781090,0.076842,0.003624
0.015000,0.096290,24.333500,0.096379,0.821397,3.782336,0.083098,0.004151
0.015000,0.109462,24.333559,0.109551,0.878152,3.783677,0.089363,0.004714
0.015000,0.123486,24.333629,0.123575,0.934929,3.785112,0.095665,0.005311
0.015000,0.138362,24.333713,0.138451,0.991728,3.786641,0.101983,0.005943
0.015000,0.154090,24.333812,0.154179,1.048552,3.788267,0.108336,0.006609
0.015000,0.170670,24.333927,0.170760,1.105402,3.789987,0.114704,0.007310
0.015000,0.188104,24.334061,0.188194,1.162279,3.791804,0.121110,0.008044
0.015000,0.206391,24.334215,0.206482,1.219185,3.793717,0.127544,0.008812
0.015000,0.225532,24.334391,0.225624,1.276121,3.795727,0.134002,0.009613
0.015000,0.245527,24.334592,0.245620,1.333088,3.797834,0.140491,0.010446
0.015000,0.266378,24.334819,0.266471,1.390089,3.800040,0.147018,0.011312
0.015000,0.288083,24.335074,0.288178,1.447124,3.802343,0.153565,0.012210
0.015000,0.310644,24.335360,0.310741,1.504195,3.804745,0.160153,0.013140
0.015000,0.334061,24.335679,0.334161,1.561304,3.807247,0.166762,0.014101
0.015000,0.358336,24.336033,0.358438,1.618452,3.809848,0.173413,0.015092
0.015000,0.383467,24.336425,0.383572,1.675640,3.812549,0.180086,0.016114
0.015000,0.409457,24.336858,0.409565,1.732870,3.815351,0.186792,0.017166
0.015000,0.436305,24.337333,0.436417,1.790144,3.818254,0.193531,0.018247
0.015000,0.464012,24.337854,0.464129,1.847463,3.821259,0.200299,0.019356
0.015000,0.492578,24.338424,0.492702,1.904828,3.824365,0.207094,0.020495
0.015000,0.522005,24.339044,0.522135,1.962242,3.827574,0.213915,0.021660
0.015000,0.552294,24.339718,0.552431,2.019705,3.830885,0.220771,0.022853
0.015000,0.583443,24.340449,0.583589,2.077220,3.834300,0.227646,0.024073
0.015000,0.615455,24.341240,0.615611,2.134787,3.837818,0.234551,0.025319
0.015000,0.648330,24.342094,0.648497,2.192409,3.841440,0.241476,0.026590
0.015000,0.682069,24.343013,0.682249,2.250086,3.845167,0.248427,0.027886
0.015000,0.716672,24.344001,0.716866,2.307821,3.848998,0.255395,0.029206
0.015000,0.752141,24.345061,0.752350,2.365615,3.852934,0.262387,0.030549
0.015000,0.788475,24.346196,0.788702,2.423470,3.856974,0.269391,0.031915
0.015000,0.825676,24.347410,0.825923,2.481387,3.861121,0.276415,0.033304
0.015000,0.863745,24.348705,0.864013,2.539367,3.865372,0.283452,0.034713
0.015000,0.902681,24.350085,0.902975,2.597413,3.869730,0.290499,0.036144
0.015000,0.942487,24.351553,0.942807,2.655526,3.874193,0.297558,0.037594
0.015000,0.983163,24.353113,0.983513,2.713708,3.878763,0.304624,0.039063
0.015000,1.024709,24.354768,1.025092,2.771959,3.883438,0.311694,0.040551
0.015000,1.067127,24.356521,1.067547,2.830282,3.888220,0.318768,0.042056
0.015000,1.110418,24.358376,1.110877,2.888679,3.893107,0.325844,0.043578
0.015000,1.154582,24.360335,1.155084,2.947151,3.898101,0.332915,0.045116
0.015000,1.199620,24.362404,1.200170,3.005699,3.903201,0.339985,0.046668
0.015000,1.245533,24.364584,1.246135,3.064325,3.908406,0.347048,0.048235
0.015000,1.292322,24.366880,1.292980,3.123030,3.913718,0.354101,0.049815
0.015000,1.339988,24.369295,1.340707,3.181817,3.919135,0.361145,0.051407
0.015000,1.388532,24.371831,1.389318,3.240687,3.924658,0.368172,0.053011
0.015000,1.437955,24.374494,1.438812,3.299642,3.930285,0.375187,0.054625
0.015000,1.488258,24.377285,1.489192,3.358682,3.936018,0.382180,0.056249
0.015000,1.539442,24.380209,1.540460,3.417810,3.941856,0.389155,0.057881
0.015000,1.591507,24.383269,1.592615,3.477027,3.947797,0.396106,0.059520
0.015000,1.644456,24.386468,1.645660,3.536334,3.953843,0.403032,0.061166
0.015000,1.698288,24.389810,1.699596,3.595734,3.959992,0.409932,0.062817
0.015000,1.753005,24.393297,1.754424,3.655228,3.966244,0.416802,0.064473
0.015000,1.808609,24.396934,1.810147,3.714817,3.972598,0.423642,0.066132
0.015000,1.865100,24.400722,1.866764,3.774503,3.979055,0.430449,0.067793
0.015000,1.922478,24.404666,1.924278,3.834287,3.985613,0.437222,0.069455
0.015000,1.980747,24.408768,1.982691,3.894171,3.992273,0.443960,0.071118
0.015000,2.039906,24.413032,2.042003,3.954156,3.999033,0.450661,0.072779
0.015000,2.099956,24.417461,2.102217,4.014245,4.005892,0.457324,0.074437
0.015000,2.160900,24.422056,2.163334,4.074438,4.012852,0.463949,0.076092
0.015000,2.222737,24.426822,2.225355,4.134736,4.019910,0.470535,0.077743
0.015000,2.285470,24.431761,2.288282,4.195142,4.027066,0.477080,0.079387
0.015000,2.349100,24.436876,2.352117,4.255657,4.034320,0.483586,0.081025
0.015000,2.413628,24.442169,2.416861,4.316282,4.041670,0.490051,0.082654
0.015000,2.479054,24.447642,2.482516,4.377019,4.049118,0.496477,0.084273
0.015000,2.545382,24.453299,2.549084,4.437869,4.056661,0.502863,0.085881
0.015000,2.612611,24.459141,2.616567,4.498833,4.064299,0.509210,0.087478
0.015000,2.680743,24.465171,2.684965,4.559914,4.072031,0.515519,0.089060
0.015000,2.749780,24.471391,2.754282,4.621112,4.079858,0.521792,0.090628
0.015000,2.819723,24.477802,2.824518,4.682428,4.087779,0.528030,0.092180
0.015000,2.890574,24.484406,2.895676,4.743865,4.095792,0.534234,0.093714
0.015000,2.962334,24.491206,2.967758,4.805424,4.103898,0.540407,0.095230
0.015000,3.035005,24.498203,3.040764,4.867105,4.112097,0.546551,0.096725
0.015000,3.108587,24.505397,3.114698,4.928911,4.120387,0.552668,0.098198
0.015000,3.183084,24.512791,3.189561,4.990842,4.128768,0.558762,0.099649
0.015000,3.258496,24.520385,3.265354,5.052901,4.137241,0.564834,0.101074
0.015000,3.334825,24.528181,3.342081,5.115088,4.145804,0.570889,0.102474
0.015000,3.412074,24.536179,3.419742,5.177405,4.154458,0.576931,0.103847
0.015000,3.490242,24.544379,3.498339,5.239853,4.163202,0.582961,0.105190
0.015000,3.569334,24.552782,3.577876,5.302433,4.172037,0.588986,0.106504
0.015000,3.649349,24.561389,3.658353,5.365148,4.180962,0.595009,0.107785
0.015000,3.730291,24.570198,3.739773,5.427998,4.189978,0.601034,0.109033
0.015000,3.812162,24.579211,3.822138,5.490984,4.199084,0.607067,0.110246
0.015000,3.894962,24.588426,3.905449,5.554108,4.208280,0.613111,0.111422
0.015000,3.978695,24.597843,3.989710,5.617372,4.217568,0.619172,0.112561
0.015000,4.063362,24.607462,4.074922,5.680776,4.226947,0.625254,0.113660
