dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000084,21.666700,0.000200,0.020000,1.000000,50.000000,0.000003
0.020000,0.000927,21.666700,0.001044,0.042191,1.109573,5.478647,0.000036
0.020000,0.002826,21.666700,0.002942,0.094930,2.636916,76.367173,0.000110
0.020000,0.006201,21.666701,0.006318,0.168761,3.691544,52.731369,0.000241
0.020000,0.011264,21.666702,0.011380,0.253133,4.218608,26.353215,0.000438
0.020000,0.018014,21.666706,0.018130,0.337495,4.218118,-0.024521,0.000701
0.020000,0.026451,21.666714,0.026567,0.421844,4.217463,-0.032715,0.001029
0.020000,0.036574,21.666726,0.036691,0.506177,4.216645,-0.040927,0.001421
0.020000,0.048384,21.666745,0.048500,0.590491,4.215662,-0.049157,0.001879
0.020000,0.061880,21.666774,0.061996,0.674781,4.214513,-0.057420,0.002400
0.020000,0.077060,21.666815,0.077177,0.759045,4.213199,-0.065707,0.002986
0.020000,0.093926,21.666871,0.094043,0.843279,4.211719,-0.074027,0.003635
0.020000,0.112475,21.666945,0.112592,0.927481,4.210071,-0.082388,0.004347
0.020000,0.132708,21.667041,0.132825,1.011646,4.208255,-0.090783,0.005122
0.020000,0.154623,21.667162,0.154740,1.095771,4.206271,-0.099226,0.005959
0.020000,0.178220,21.667314,0.178338,1.179853,4.204116,-0.107713,0.006857
0.020000,0.203497,21.667499,0.203615,1.263889,4.201791,-0.116247,0.007815
0.020000,0.230453,21.667723,0.230573,1.347875,4.199295,-0.124832,0.008833
0.020000,0.259088,21.667992,0.259209,1.431808,4.196625,-0.133469,0.009910
0.020000,0.289400,21.668309,0.289523,1.515683,4.193782,-0.142159,0.011046
0.020000,0.321388,21.668682,0.321513,1.599499,4.190764,-0.150904,0.012238
0.020000,0.355050,21.669115,0.355178,1.683250,4.187570,-0.159704,0.013487
0.020000,0.390385,21.669615,0.390516,1.766934,4.184199,-0.168560,0.014791
0.020000,0.427392,21.670187,0.427527,1.850547,4.180649,-0.177472,0.016149
0.020000,0.466068,21.670839,0.466209,1.934085,4.176921,-0.186436,0.017560
0.020000,0.506412,21.671577,0.506560,2.017546,4.173012,-0.195457,0.019024
0.020000,0.548423,21.672408,0.548578,2.100924,4.168921,-0.204531,0.020538
0.020000,0.592097,21.673340,0.592263,2.184217,4.164648,-0.213653,0.022101
0.020000,0.637433,21.674378,0.637611,2.267421,4.160191,-0.222827,0.023712
0.020000,0.684430,21.675532,0.684622,2.350532,4.155551,-0.232045,0.025370
0.020000,0.733084,21.676808,0.733293,2.433546,4.150724,-0.241308,0.027073
0.020000,0.783394,21.678214,0.783622,2.516461,4.145712,-0.250612,0.028820
0.020000,0.835356,21.679759,0.835607,2.599271,4.140513,-0.259951,0.030610
0.020000,0.888969,21.681450,0.889247,2.681973,4.135127,-0.269324,0.032439
0.020000,0.944229,21.683295,0.944538,2.764564,4.129552,-0.278725,0.034308
0.020000,1.001135,21.685302,1.001479,2.847040,4.123789,-0.288151,0.036213
0.020000,1.059682,21.687480,1.060067,2.929397,4.117837,-0.297593,0.038154
0.020000,1.119869,21.689838,1.120299,3.011631,4.111696,-0.307053,0.040129
0.020000,1.181691,21.692382,1.182174,3.093738,4.105366,-0.316519,0.042135
