dt,x,y,position,velocity,acceleration,jerk,heading
0.015000,0.000000,23.000000,0.000090,0.011976,0.798403,53.226880,6.283184
0.015000,0.000328,23.000000,0.000449,0.035928,1.596806,53.226880,0.000013
0.015000,0.001137,23.000000,0.001257,0.071856,2.395210,53.226880,0.000047
0.015000,0.002574,23.000000,0.002695,0.119760,3.193613,53.226880,0.000106
0.015000,0.004819,23.000000,0.004940,0.179641,3.992016,53.226880,0.000198
0.015000,0.007963,23.000001,0.008084,0.239521,3.992016,0.000000,0.000327
0.015000,0.012005,23.000003,0.012126,0.299401,3.992016,-0.000000,0.000493
0.015000,0.016945,23.000006,0.017066,0.359281,3.992016,0.000000,0.000695
0.015000,0.022783,23.000011,0.022904,0.419162,3.992016,-0.000000,0.000935
0.015000,0.029520,23.000018,0.029641,0.479042,3.992016,0.000000,0.001210
0.015000,0.037155,23.000028,0.037275,0.538922,3.992016,0.000000,0.001522
0.015000,0.045688,23.000043,0.045808,0.598802,3.992016,-0.000000,0.001871
0.015000,0.055119,23.000062,0.055240,0.658683,3.992016,0.000000,0.002255
0.015000,0.065448,23.000088,0.065569,0.718563,3.992016,0.000000,0.002676
0.015000,0.076675,23.000120,0.076796,0.778443,3.992016,-0.000000,0.003132
0.015000,0.088801,23.000161,0.088922,0.838323,3.992016,-0.000000,0.003624
0.015000,0.101825,23.000212,0.101946,0.898204,3.992016,0.000000,0.004151
0.015000,0.115747,23.000274,0.115868,0.958084,3.992016,0.000000,0.004714
0.015000,0.130567,23.000348,0.130689,1.017964,3.992016,0.000000,0.005311
0.015000,0.146285,23.000436,0.146407,1.077844,3.992016,0.000000,0.005943
0.015000,0.162902,23.000541,0.163024,1.137725,3.992016,0.000000,0.006609
0.015000,0.180416,23.000663,0.180539,1.197605,3.992016,-0.000000,0.007310
0.015000,0.198829,23.000804,0.198952,1.257485,3.992016,0.000000,0.008044
0.015000,0.218140,23.000967,0.218263,1.317365,3.992016,-0.000000,0.008812
0.015000,0.238349,23.001153,0.238473,1.377246,3.992016,0.000000,0.009613
0.015000,0.259455,23.001365,0.259581,1.437126,3.992016,-0.000000,0.010446
