dt,x,y,position,velocity,acceleration,jerk,heading
0.015000,21.999965,21.000000,0.000089,0.011889,0.792619,52.841271,3.141603
0.015000,21.999609,21.000000,0.000446,0.035668,1.585238,52.841271,3.141711
0.015000,21.998806,21.000000,0.001248,0.071336,2.377857,52.841271,3.141954
0.015000,21.997379,20.999999,0.002675,0.118893,3.170476,52.841271,3.142387
0.015000,21.995150,20.999996,0.004904,0.178339,3.963095,52.841271,3.143062
0.015000,21.992029,20.999990,0.008025,0.237786,3.963095,-0.000000,3.144007
0.015000,21.988017,20.999978,0.012038,0.297232,3.963095,0.000000,3.145222
0.015000,21.983112,20.999957,0.016942,0.356679,3.963095,0.000000,3.146706
0.015000,21.977316,20.999922,0.022738,0.416125,3.963095,0.000000,3.148458
0.015000,21.970629,20.999869,0.029426,0.475571,3.963095,-0.000000,3.150479
0.015000,21.963050,20.999793,0.037005,0.535018,3.963095,0.000000,3.152768
0.015000,21.954579,20.999688,0.045477,0.594464,3.963095,0.000000,3.155324
0.015000,21.945218,20.999546,0.054839,0.653911,3.963095,0.000000,3.158146
0.015000,21.934965,20.999361,0.065094,0.713357,3.963095,0.000000,3.161233
0.015000,21.923821,20.999123,0.076240,0.772804,3.963095,0.000000,3.164584
0.015000,21.911787,20.998825,0.088278,0.832250,3.963095,0.000000,3.168197
0.015000,21.898863,20.998456,0.101208,0.891696,3.963095,0.000000,3.172071
0.015000,21.885049,20.998006,0.115029,0.951143,3.963095,-0.000000,3.176205
0.015000,21.870346,20.997464,0.129742,1.010589,3.963095,0.000000,3.180595
0.015000,21.854754,20.996820,0.145347,1.070036,3.963095,0.000000,3.185241
0.015000,21.838275,20.996059,0.161843,1.129482,3.963095,0.000000,3.190138
0.015000,21.820910,20.995171,0.179231,1.188929,3.963095,0.000000,3.195286
0.015000,21.802659,20.994141,0.197511,1.248375,3.963095,-0.000000,3.200679
0.015000,21.783525,20.992955,0.216682,1.307821,3.963095,0.000000,3.206315
0.015000,21.763507,20.991598,0.236745,1.367268,3.963095,-0.000000,3.212190
0.015000,21.742609,20.990056,0.257700,1.426714,3.963095,0.000000,3.218299
0.015000,21.720833,20.988313,0.279547,1.486161,3.963095,0.000000,3.224638
0.015000,21.698179,20.986352,0.302285,1.545607,3.963095,0.000000,3.231201
0.015000,21.674651,20.984158,0.325915,1.605054,3.963095,-0.000000,3.237983
0.015000,21.650252,20.981712,0.350437,1.664500,3.963095,0.000000,3.244977
0.015000,21.624984,20.978999,0.375850,1.723946,3.963095,-0.000000,3.252176
0.015000,21.598851,20.975999,0.402155,1.783393,3.963095,0.000000,3.259573
0.015000,21.571855,20.972695,0.429352,1.842839,3.963095,-0.000000,3.267161
0.015000,21.544002,20.969069,0.457440,1.902286,3.963095,-0.000000,3.274931
0.015000,21.515295,20.965102,0.486420,1.961732,3.963095,0.000000,3.282873
0.015000,21.485738,20.960776,0.516292,2.021179,3.963095,-0.000000,3.290979
0.015000,21.455336,20.956071,0.547056,2.080625,3.963095,0.000000,3.299237
