dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000082,5.333300,0.000200,0.019963,0.998142,49.907106,6.283184
0.020000,0.000902,5.333300,0.001020,0.041031,1.053397,2.762729,6.283167
0.020000,0.002749,5.333300,0.002867,0.092319,2.564397,75.550020,6.283130
0.020000,0.006031,5.333300,0.006149,0.164120,3.590082,51.284247,6.283064
0.020000,0.010955,5.333299,0.011073,0.246176,4.102792,25.635505,6.282964
0.020000,0.017519,5.333297,0.017637,0.328227,4.102532,-0.013012,6.282832
0.020000,0.025724,5.333293,0.025842,0.410271,4.102185,-0.017351,6.282667
0.020000,0.035571,5.333287,0.035689,0.492306,4.101751,-0.021694,6.282469
0.020000,0.047057,5.333278,0.047175,0.574330,4.101230,-0.026038,6.282238
0.020000,0.060184,5.333264,0.060302,0.656343,4.100623,-0.030387,6.281975
0.020000,0.074951,5.333243,0.075069,0.738341,4.099928,-0.034739,6.281680
0.020000,0.091357,5.333216,0.091475,0.820324,4.099146,-0.039095,6.281353
0.020000,0.109403,5.333180,0.109521,0.902290,4.098277,-0.043456,6.280994
0.020000,0.129088,5.333133,0.129206,0.984236,4.097320,-0.047822,6.280604
0.020000,0.150411,5.333073,0.150529,1.066162,4.096276,-0.052194,6.280182
0.020000,0.173372,5.332999,0.173490,1.148064,4.095145,-0.056571,6.279730
0.020000,0.197971,5.332908,0.198089,1.229943,4.093926,-0.060955,6.279247
0.020000,0.224206,5.332798,0.224325,1.311795,4.092619,-0.065346,6.278735
0.020000,0.252078,5.332667,0.252198,1.393620,4.091224,-0.069742,6.278193
0.020000,0.281586,5.332511,0.281706,1.475415,4.089741,-0.074146,6.277621
0.020000,0.312729,5.332328,0.312849,1.557178,4.088170,-0.078556,6.277021
0.020000,0.345507,5.332116,0.345628,1.638908,4.086511,-0.082974,6.276393
0.020000,0.379918,5.331871,0.380040,1.720604,4.084763,-0.087398,6.275737
0.020000,0.415962,5.331590,0.416085,1.802262,4.082926,-0.091830,6.275054
0.020000,0.453639,5.331270,0.453763,1.883882,4.081001,-0.096268,6.274345
0.020000,0.492946,5.330908,0.493072,1.965462,4.078986,-0.100713,6.273609
0.020000,0.533884,5.330501,0.534012,2.046999,4.076883,-0.105165,6.272848
0.020000,0.576451,5.330044,0.576582,2.128493,4.074691,-0.109624,6.272063
0.020000,0.620647,5.329534,0.620780,2.209941,4.072409,-0.114088,6.271254
0.020000,0.666471,5.328968,0.666607,2.291342,4.070038,-0.118558,6.270421
0.020000,0.713920,5.328342,0.714061,2.372694,4.067577,-0.123034,6.269566
0.020000,0.762995,5.327652,0.763141,2.453994,4.065027,-0.127514,6.268689
0.020000,0.813695,5.326895,0.813846,2.535242,4.062387,-0.131999,6.267791
0.020000,0.866017,5.326065,0.866175,2.616435,4.059657,-0.136489,6.266873
0.020000,0.919961,5.325160,0.920126,2.697572,4.056837,-0.140981,6.265936
0.020000,0.975525,5.324175,0.975699,2.778650,4.053928,-0.145477,6.264981
0.020000,1.032708,5.323106,1.032892,2.859669,4.050928,-0.149974,6.264008
0.020000,1.091509,5.321949,1.091705,2.940626,4.047839,-0.154474,6.263018
0.020000,1.151927,5.320700,1.152135,3.021519,4.044659,-0.158974,6.262013
0.020000,1.213959,5.319354,1.214182,3.102347,4.041390,-0.163474,6.260993
0.020000,1.277605,5.317909,1.277844,3.183107,4.038030,-0.167975,6.259959
0.020000,1.342863,5.316358,1.343120,3.263799,4.034581,-0.172474,6.258913
0.020000,1.409730,5.314700,1.410009,3.344420,4.031042,-0.176971,6.257855
0.020000,1.478207,5.312928,1.478508,3.424968,4.027412,-0.181465,6.256787
0.020000,1.548290,5.311040,1.548617,3.505442,4.023693,-0.185957,6.255709
0.020000,1.619979,5.309030,1.620334,3.585840,4.019884,-0.190444,6.254624
0.020000,1.693271,5.306896,1.693657,3.666159,4.015986,-0.194927,6.253531
