dt,x,y,position,velocity,acceleration,jerk,heading
0.015000,0.000000,2.666700,0.000090,0.011938,0.795870,53.058020,0.000000
0.015000,0.000308,2.666700,0.000397,0.020512,0.571583,-14.952472,0.000000
0.015000,0.001113,2.666700,0.001203,0.053721,2.213963,109.491973,0.000000
0.015000,0.002546,2.666700,0.002636,0.095504,2.785546,38.105548,0.000000
0.015000,0.004784,2.666700,0.004874,0.149226,3.581416,53.058020,0.000000
0.015000,0.007918,2.666700,0.008008,0.208916,3.979351,26.529010,0.000000
0.015000,0.011947,2.666700,0.012037,0.268606,3.979351,-0.000000,0.000000
0.015000,0.016872,2.666700,0.016961,0.328296,3.979351,0.000000,0.000000
0.015000,0.022692,2.666700,0.022781,0.387987,3.979351,-0.000000,0.000000
0.015000,0.029407,2.666700,0.029496,0.447677,3.979351,0.000000,0.000000
0.015000,0.037017,2.666700,0.037107,0.507367,3.979351,-0.000000,0.000000
0.015000,0.045523,2.666700,0.045613,0.567058,3.979351,0.000000,0.000000
0.015000,0.054924,2.666700,0.055014,0.626748,3.979351,0.000000,0.000000
0.015000,0.065221,2.666700,0.065310,0.686438,3.979351,0.000000,0.000000
0.015000,0.076413,2.666700,0.076502,0.746128,3.979351,-0.000000,0.000000
0.015000,0.088500,2.666700,0.088590,0.805819,3.979351,-0.000000,0.000000
0.015000,0.101483,2.666700,0.101572,0.865509,3.979351,-0.000000,0.000000
0.015000,0.115361,2.666700,0.115450,0.925199,3.979351,0.000000,0.000000
0.015000,0.130134,2.666700,0.130224,0.984889,3.979351,-0.000000,0.000000
0.015000,0.145803,2.666700,0.145892,1.044580,3.979351,0.000000,0.000000
0.015000,0.162367,2.666700,0.162456,1.104270,3.979351,-0.000000,0.000000
0.015000,0.179826,2.666700,0.179916,1.163960,3.979351,0.000000,0.000000
0.015000,0.198181,2.666700,0.198270,1.223651,3.979351,-0.000000,0.000000
0.015000,0.217431,2.666700,0.217521,1.283341,3.979351,-0.000000,0.000000
0.015000,0.237577,2.666700,0.237666,1.343031,3.979351,-0.000000,0.000000
0.015000,0.258617,2.666700,0.258707,1.402721,3.979351,0.000000,0.000000
0.015000,0.280554,2.666700,0.280643,1.462412,3.979351,-0.000000,0.000000
0.015000,0.303385,2.666700,0.303475,1.522102,3.979351,0.000000,0.000000
0.015000,0.327112,2.666700,0.327201,1.581792,3.979351,-0.000000,0.000000
0.015000,0.351734,2.666700,0.351824,1.641482,3.979351,0.000000,0.000000
0.015000,0.377252,2.666700,0.377341,1.701173,3.979351,-0.000000,0.000000
0.015000,0.403665,2.666700,0.403754,1.760863,3.979351,0.000000,0.000000
0.015000,0.430973,2.666700,0.431063,1.820553,3.979351,-0.000000,0.000000
0.015000,0.459177,2.666700,0.459266,1.880244,3.979351,-0.000000,0.000000
0.015000,0.488276,2.666700,0.488365,1.939934,3.979351,0.000000,0.000000
0.015000,0.518270,2.666700,0.518360,1.999624,3.979351,0.000000,0.000000
0.015000,0.549160,2.666700,0.549249,2.059314,3.979351,-0.000000,0.000000
0.015000,0.580945,2.666700,0.581034,2.119005,3.979351,-0.000000,0.000000
0.015000,0.613625,2.666700,0.613715,2.178695,3.979351,0.000000,0.000000
0.015000,0.647201,2.666700,0.647291,2.238385,3.979351,-0.000000,0.000000
0.015000,0.681672,2.666700,0.681762,2.298075,3.979351,-0.000000,0.000000
0.015000,0.717039,2.666700,0.717128,2.357766,3.979351,0.000000,0.000000
0.015000,0.753300,2.666700,0.753390,2.417456,3.979351,-0.000000,0.000000
0.015000,0.790458,2.666700,0.790547,2.477146,3.979351,0.000000,0.000000
0.015000,0.828510,2.666700,0.828600,2.536837,3.979351,-0.000000,0.000000
0.015000,0.867458,2.666700,0.867548,2.596527,3.979351,-0.000000,0.000000
0.015000,0.907301,2.666700,0.907391,2.656217,3.979351,0.000000,0.000000
0.015000,0.948040,2.666700,0.948130,2.715907,3.979351,-0.000000,0.000000
0.015000,0.989674,2.666700,0.989763,2.775598,3.979351,-0.000000,0.000000
0.015000,1.032203,2.666700,1.032293,2.835288,3.979351,0.000000,0.000000
0.015000,1.075628,2.666700,1.075717,2.894978,3.979351,-0.000000,0.000000
0.015000,1.119948,2.666700,1.120037,2.954668,3.979351,-0.000000,0.000000
0.015000,1.165163,2.666700,1.165253,3.014359,3.979351,0.000000,0.000000
0.015000,1.211274,2.666700,1.211364,3.074049,3.979351,-0.000000,0.000000
0.015000,1.258280,2.666700,1.258370,3.133739,3.979351,0.000000,0.000000
0.015000,1.306182,2.666700,1.306271,3.193430,3.979351,0.000000,0.000000
0.015000,1.354978,2.666700,1.355068,3.253120,3.979351,0.000000,0.000000
0.015000,1.404671,2.666700,1.404760,3.312810,3.979351,-0.000000,0.000000
0.015000,1.455258,2.666700,1.455348,3.372500,3.979351,0.000000,0.000000
0.015000,1.506741,2.666700,1.506830,3.432191,3.979351,0.000000,0.000000
0.015000,1.559119,2.666700,1.559209,3.491881,3.979351,-0.000000,0.000000
0.015000,1.612393,2.666700,1.612482,3.551571,3.979351,0.000000,0.000000
0.015000,1.666562,2.666700,1.666651,3.611261,3.979351,-0.000000,0.000000
0.015000,1.721626,2.666700,1.721715,3.670952,3.979351,0.000000,0.000000
0.015000,1.777586,2.666700,1.777675,3.730642,3.979351,-0.000000,0.000000
0.015000,1.834441,2.666700,1.834530,3.790332,3.979351,-0.000000,0.000000
0.015000,1.892191,2.666700,1.892280,3.850023,3.979351,0.000000,0.000000
0.015000,1.950837,2.666700,1.950926,3.909713,3.979351,-0.000000,0.000000
0.015000,2.010378,2.666700,2.010467,3.969403,3.979351,0.000000,0.000000
0.015000,2.070814,2.666700,2.070904,4.029093,3.979351,0.000000,0.000000
0.015000,2.132146,2.666700,2.132235,4.088784,3.979351,-0.000000,0.000000
0.015000,2.194373,2.666700,2.194462,4.148474,3.979351,-0.000000,0.000000
0.015000,2.257495,2.666700,2.257585,4.208164,3.979351,0.000000,0.000000
0.015000,2.321513,2.666700,2.321603,4.267854,3.979351,0.000000,0.000000
0.015000,2.386426,2.666700,2.386516,4.327545,3.979351,-0.000000,0.000000
0.015000,2.452235,2.666700,2.452324,4.387235,3.979351,0.000000,0.000000
0.015000,2.518939,2.666700,2.519028,4.446925,3.979351,-0.000000,0.000000
0.015000,2.586538,2.666700,2.586627,4.506616,3.979351,0.000000,0.000000
0.015000,2.655033,2.666700,2.655122,4.566306,3.979351,-0.000000,0.000000
0.015000,2.724422,2.666700,2.724512,4.625996,3.979351,0.000000,0.000000
0.015000,2.794708,2.666700,2.794797,4.685686,3.979351,-0.000000,0.000000
0.015000,2.865888,2.666700,2.865978,4.745377,3.979351,0.000000,0.000000
0.015000,2.937964,2.666700,2.938054,4.805067,3.979351,-0.000000,0.000000
0.015000,3.010936,2.666700,3.011025,4.864757,3.979351,0.000000,0.000000
0.015000,3.084802,2.666700,3.084892,4.924447,3.979351,-0.000000,0.000000
0.015000,3.159565,2.666700,3.159654,4.984138,3.979351,0.000000,0.000000
