dt,x,y,position,velocity,acceleration,jerk,heading
0.015000,17.000037,7.500000,0.000089,0.011875,0.791683,52.778865,6.283177
0.015000,17.000393,7.500000,0.000445,0.035626,1.583366,52.778865,6.283098
0.015000,17.001195,7.500000,0.001247,0.071251,2.375049,52.778865,6.282920
0.015000,17.002620,7.499999,0.002672,0.118752,3.166732,52.778865,6.282604
0.015000,17.004847,7.499997,0.004899,0.178129,3.958415,52.778865,6.282111
0.015000,17.007964,7.499993,0.008016,0.237505,3.958415,0.000000,6.281420
0.015000,17.011972,7.499984,0.012024,0.296881,3.958415,0.000000,6.280533
0.015000,17.016870,7.499968,0.016922,0.356257,3.958415,-0.000000,6.279450
0.015000,17.022659,7.499943,0.022711,0.415634,3.958415,0.000000,6.278172
0.015000,17.029339,7.499905,0.029391,0.475010,3.958415,0.000000,6.276699
0.015000,17.036909,7.499849,0.036962,0.534386,3.958415,-0.000000,6.275034
0.015000,17.045370,7.499772,0.045423,0.593762,3.958415,0.000000,6.273176
0.015000,17.054721,7.499669,0.054775,0.653138,3.958415,-0.000000,6.271128
0.015000,17.064963,7.499534,0.065017,0.712515,3.958415,0.000000,6.268891
0.015000,17.076094,7.499362,0.076150,0.771891,3.958415,-0.000000,6.266466
0.015000,17.088116,7.499145,0.088174,0.831267,3.958415,0.000000,6.263856
0.015000,17.101028,7.498877,0.101088,0.890643,3.958415,0.000000,6.261062
0.015000,17.114829,7.498551,0.114893,0.950020,3.958415,0.000000,6.258087
0.015000,17.129519,7.498159,0.129589,1.009396,3.958415,-0.000000,6.254933
0.015000,17.145098,7.497693,0.145175,1.068772,3.958415,-0.000000,6.251603
0.015000,17.161566,7.497144,0.161652,1.128148,3.958415,0.000000,6.248100
0.015000,17.178922,7.496503,0.179019,1.187524,3.958415,0.000000,6.244426
0.015000,17.197165,7.495760,0.197277,1.246901,3.958415,-0.000000,6.240586
0.015000,17.216295,7.494906,0.216426,1.306277,3.958415,0.000000,6.236583
0.015000,17.236310,7.493931,0.236466,1.365653,3.958415,0.000000,6.232420
0.015000,17.257211,7.492824,0.257396,1.425029,3.958415,0.000000,6.228102
0.015000,17.278996,7.491574,0.279217,1.484406,3.958415,-0.000000,6.223634
0.015000,17.301664,7.490170,0.301928,1.543782,3.958415,0.000000,6.219019
0.015000,17.325214,7.488600,0.325530,1.603158,3.958415,-0.000000,6.214262
0.015000,17.349644,7.486854,0.350023,1.662534,3.958415,0.000000,6.209370
0.015000,17.374954,7.484918,0.375406,1.721910,3.958415,-0.000000,6.204347
0.015000,17.401141,7.482781,0.401680,1.781287,3.958415,0.000000,6.199200
0.015000,17.428203,7.480431,0.428845,1.840663,3.958415,0.000000,6.193933
0.015000,17.456140,7.477855,0.456900,1.900039,3.958415,-0.000000,6.188555
0.015000,17.484949,7.475041,0.485846,1.959415,3.958415,0.000000,6.183071
0.015000,17.514627,7.471976,0.515682,2.018792,3.958415,0.000000,6.177489
0.015000,17.545174,7.468647,0.546410,2.078168,3.958415,-0.000000,6.171816
0.015000,17.576585,7.465043,0.578028,2.137544,3.958415,0.000000,6.166059
0.015000,17.608860,7.461149,0.610536,2.196920,3.958415,0.000000,6.160227
0.015000,17.641995,7.456955,0.643935,2.256296,3.958415,0.000000,6.154328
0.015000,17.675987,7.452447,0.678225,2.315673,3.958415,-0.000000,6.148370
0.015000,17.710833,7.447614,0.713405,2.375049,3.958415,0.000000,6.142363
0.015000,17.746532,7.442443,0.749476,2.434425,3.958415,-0.000000,6.136315
0.015000,17.783079,7.436922,0.786438,2.493801,3.958415,0.000000,6.130236
0.015000,17.820471,7.431041,0.824290,2.553178,3.958415,-0.000000,6.124136
0.015000,17.858706,7.424787,0.863033,2.612554,3.958415,0.000000,6.118025
0.015000,17.897780,7.418151,0.902667,2.671930,3.958415,0.000000,6.111912
0.015000,17.937690,7.411122,0.943191,2.731306,3.958415,0.000000,6.105809
0.015000,17.978433,7.403690,0.984606,2.790682,3.958415,0.000000,6.099726
0.015000,18.020005,7.395846,1.026912,2.850059,3.958415,0.000000,6.093674
0.015000,18.062403,7.387580,1.070108,2.909435,3.958415,-0.000000,6.087664
0.015000,18.105624,7.378886,1.114195,2.968811,3.958415,0.000000,6.081708
0.015000,18.149664,7.369755,1.159172,3.028187,3.958415,0.000000,6.075816
0.015000,18.194522,7.360180,1.205040,3.087564,3.958415,-0.000000,6.070002
0.015000,18.240194,7.350155,1.251799,3.146940,3.958415,0.000000,6.064275
0.015000,18.286676,7.339676,1.299449,3.206316,3.958415,-0.000000,6.058650
0.015000,18.333968,7.328737,1.347989,3.265692,3.958415,0.000000,6.053136
0.015000,18.382065,7.317335,1.397419,3.325068,3.958415,0.000000,6.047748
0.015000,18.430967,7.305467,1.447741,3.384445,3.958415,0.000000,6.042497
0.015000,18.480671,7.293132,1.498953,3.443821,3.958415,-0.000000,6.037395
0.015000,18.531176,7.280329,1.551055,3.503197,3.958415,0.000000,6.032456
0.015000,18.582481,7.267057,1.604049,3.562573,3.958415,0.000000,6.027691
0.015000,18.634584,7.253319,1.657933,3.621950,3.958415,0.000000,6.023115
0.015000,18.687485,7.239117,1.712707,3.681326,3.958415,0.000000,6.018739
0.015000,18.741184,7.224454,1.768372,3.740702,3.958415,-0.000000,6.014577
0.015000,18.795682,7.209336,1.824928,3.800078,3.958415,0.000000,6.010641
0.015000,18.850979,7.193769,1.882375,3.859454,3.958415,-0.000000,6.006946
0.015000,18.907077,7.177760,1.940712,3.918831,3.958415,0.000000,6.003505
0.015000,18.963977,7.161318,1.999940,3.978207,3.958415,0.000000,6.000331
0.015000,19.021681,7.144454,2.060058,4.037583,3.958415,0.000000,5.997437
0.015000,19.080194,7.127180,2.121067,4.096959,3.958415,-0.000000,5.994839
0.015000,19.139517,7.109508,2.182967,4.156336,3.958415,0.000000,5.992550
0.015000,19.199656,7.091454,2.245757,4.215712,3.958415,0.000000,5.990584
0.015000,19.260615,7.073034,2.309438,4.275088,3.958415,-0.000000,5.988957
0.015000,19.322314,7.054293,2.373921,4.322589,3.166732,-52.778865,5.987683
0.015000,19.384589,7.035302,2.439027,4.358215,2.375049,-52.778865,5.986780
0.015000,19.447276,7.016137,2.504578,4.381965,1.583366,-52.778865,5.986259
0.015000,19.510185,6.996882,2.570368,4.389982,0.534480,-69.925709,5.986126
0.015000,19.573039,6.977648,2.636099,4.374249,-1.048886,-105.557729,5.986385
0.015000,19.635592,6.958537,2.701506,4.346641,-1.840569,-52.778865,5.987031
0.015000,19.697679,6.939625,2.766410,4.307157,-2.632252,-52.778865,5.988055
0.015000,19.759137,6.920986,2.830632,4.255798,-3.423935,-52.778865,5.989444
0.015000,19.819828,6.902683,2.894023,4.196422,-3.958415,-35.632020,5.991182
0.015000,19.879702,6.884751,2.956524,4.137045,-3.958415,-0.000000,5.993253
0.015000,19.938761,6.867206,3.018135,4.077669,-3.958415,0.000000,5.995644
0.015000,19.997011,6.850063,3.078855,4.018293,-3.958415,0.000000,5.998339
0.015000,20.054453,6.833335,3.138684,3.958917,-3.958415,-0.000000,6.001324
0.015000,20.111092,6.817032,3.197622,3.899540,-3.958415,0.000000,6.004585
0.015000,20.166929,6.801165,3.255670,3.840164,-3.958415,-0.000000,6.008110
0.015000,20.221967,6.785743,3.312827,3.780788,-3.958415,0.000000,6.011884
0.015000,20.276205,6.770772,3.369093,3.721412,-3.958415,-0.000000,6.015893
0.015000,20.329645,6.756258,3.424469,3.662036,-3.958415,0.000000,6.020126
0.015000,20.382286,6.742205,3.478955,3.602659,-3.958415,0.000000,6.024568
0.015000,20.434130,6.728618,3.532549,3.543283,-3.958415,0.000000,6.029206
0.015000,20.485175,6.715497,3.585253,3.483907,-3.958415,0.000000,6.034028
0.015000,20.535419,6.702845,3.637066,3.424531,-3.958415,-0.000000,6.039020
0.015000,20.584863,6.690661,3.687989,3.365154,-3.958415,0.000000,6.044171
0.015000,20.633503,6.678944,3.738021,3.305778,-3.958415,0.000000,6.049468
0.015000,20.681339,6.667692,3.787162,3.246402,-3.958415,0.000000,6.054898
0.015000,20.728368,6.656902,3.835413,3.187026,-3.958415,-0.000000,6.060448
0.015000,20.774587,6.646570,3.882773,3.127650,-3.958415,0.000000,6.066107
0.015000,20.819994,6.636692,3.929242,3.068273,-3.958415,-0.000000,6.071863
0.015000,20.864587,6.627261,3.974821,3.008897,-3.958415,0.000000,6.077703
0.015000,20.908361,6.618272,4.019509,2.949521,-3.958415,-0.000000,6.083616
0.015000,20.951315,6.609716,4.063307,2.890145,-3.958415,0.000000,6.089591
0.015000,20.993445,6.601588,4.106214,2.830768,-3.958415,-0.000000,6.095615
0.015000,21.034748,6.593878,4.148230,2.771392,-3.958415,0.000000,6.101677
0.015000,21.075220,6.586577,4.189356,2.712016,-3.958415,0.000000,6.107768
0.015000,21.114858,6.579676,4.229590,2.652640,-3.958415,0.000000,6.113874
0.015000,21.153660,6.573164,4.268935,2.593264,-3.958415,0.000000,6.119987
0.015000,21.191621,6.567032,4.307388,2.533887,-3.958415,-0.000000,6.126096
0.015000,21.228740,6.561268,4.344951,2.474511,-3.958415,0.000000,6.132189
0.015000,21.265011,6.555861,4.381624,2.415135,-3.958415,-0.000000,6.138259
0.015000,21.300433,6.550800,4.417405,2.355759,-3.958415,0.000000,6.144294
0.015000,21.335002,6.546073,4.452296,2.296382,-3.958415,-0.000000,6.150286
0.015000,21.368716,6.541667,4.486297,2.237006,-3.958415,0.000000,6.156225
0.015000,21.401571,6.537571,4.519407,2.177630,-3.958415,-0.000000,6.162103
0.015000,21.433566,6.533772,4.551626,2.118254,-3.958415,0.000000,6.167911
0.015000,21.464696,6.530258,4.582954,2.058878,-3.958415,0.000000,6.173641
